M,type,N1,N2,N3,N4
1,QUAD,13025,19605,15838,47.0
3,QUAD,56,19483,13061,19602.0
4,QUAD,21,14,60,19.0
5,QUAD,19533,13021,87,19532.0
6,QUAD,47,13061,19482,13025.0
7,QUAD,12586,19836,19557,63.0
8,QUAD,48,984,60,27.0
9,QUAD,41,19879,19893,19919.0
10,TRIA,11,25,33,
11,QUAD,19867,19513,57,61.0
13,QUAD,5,97,19539,31.0
14,QUAD,23,1017,19637,1021.0
15,QUAD,55,19539,13023,19326.0
16,QUAD,22,95,29,24.0
19,QUAD,1023,6,6237,19627.0
20,QUAD,19868,15810,19605,13057.0
21,QUAD,19470,19471,19557,19545.0
22,QUAD,18306,15861,19503,67.0
23,TRIA,18306,15861,19560,
24,QUAD,46,19554,23,1021.0
25,TRIA,1023,19627,1025,
26,TRIA,986,19687,988,
27,TRIA,6237,3894,19627,
28,QUAD,37,19704,6237,19465.0
29,QUAD,39,19108,27,19540.0
30,QUAD,72,40,978,42.0
31,QUAD,19466,19467,13057,13025.0
32,QUAD,19825,19817,19552,19553.0
33,TRIA,19498,19495,17050,
34,QUAD,5,31,1017,23.0
35,QUAD,8,19529,19535,18911.0
36,QUAD,19474,19615,12586,19472.0
37,QUAD,19836,19533,19803,49.0
39,TRIA,19557,19836,49,
40,QUAD,85,81,19111,75.0
41,TRIA,18299,19560,15861,
42,TRIA,19540,19072,4,
43,QUAD,9,48,27,19108.0
44,QUAD,19539,55,19139,31.0
45,QUAD,19773,85,75,69.0
46,QUAD,13,19773,69,71.0
47,QUAD,19542,32,6,1023.0
48,QUAD,989,7,19534,18413.0
49,TRIA,1021,19534,19637,
51,QUAD,15810,59,19873,19889.0
53,TRIA,19525,29,95,
54,QUAD,19867,19553,18403,19515.0
55,TRIA,79,13,71,
56,QUAD,19805,19119,81,85.0
58,QUAD,13,79,83,93.0
60,QUAD,19532,87,97,19753.0
61,QUAD,19734,83,89,1025.0
62,QUAD,91,19805,85,19773.0
63,QUAD,16,93,83,19734.0
64,QUAD,93,16,17,91.0
65,QUAD,19817,19787,19815,19552.0
66,TRIA,19560,17050,15884,
68,QUAD,19502,19498,17050,15884.0
69,TRIA,15884,19531,19502,
70,TRIA,15884,19560,15861,
71,QUAD,19704,37,10,28.0
