M,type,N1,N2,N3,N4
1,QUAD,13025,19605,15838,47.0
2,TRIA,19637,19352,19354,
3,TRIA,19483,13061,19602,
4,QUAD,27,19,21,19540.0
5,QUAD,19533,13021,87,19532.0
6,QUAD,47,13061,19482,13025.0
7,TRIA,19836,19812,12586,
8,TRIA,19,27,984,
9,QUAD,41,19879,19893,19919.0
10,TRIA,11,25,33,
11,QUAD,19867,19513,57,61.0
12,TRIA,19549,19505,19510,
13,QUAD,5,97,19539,31.0
14,QUAD,23,1017,19637,1021.0
15,QUAD,55,19539,13023,19326.0
16,QUAD,19532,95,29,19533.0
17,QUAD,19919,3,15,41.0
18,TRIA,15838,15,47,
19,QUAD,1023,19464,6237,19627.0
20,QUAD,19868,15810,19605,13057.0
21,QUAD,19470,19471,19557,19545.0
22,QUAD,18306,15861,19503,67.0
23,TRIA,18306,15861,19560,
24,QUAD,23,1021,19636,19554.0
25,QUAD,1023,19627,1025,19718.0
26,TRIA,986,19687,988,
27,TRIA,6237,3894,19627,
28,QUAD,37,19704,6237,19465.0
29,QUAD,39,19108,27,19540.0
30,QUAD,19086,39,43,978.0
31,QUAD,19466,19467,13057,13025.0
32,QUAD,19825,19817,19552,19553.0
33,TRIA,19498,19495,17050,
34,QUAD,5,31,1017,23.0
35,QUAD,19529,18911,18900,18862.0
36,QUAD,19474,19615,12586,19472.0
37,QUAD,19836,19533,19803,49.0
38,TRIA,19522,15861,18299,
39,QUAD,19812,19836,49,19557.0
40,QUAD,85,81,19111,75.0
41,TRIA,19522,19560,15861,
42,QUAD,39,19540,19072,43.0
43,QUAD,984,27,19108,9.0
44,QUAD,19539,55,19139,31.0
45,QUAD,19773,85,75,69.0
46,QUAD,13,19773,69,71.0
47,QUAD,19464,1023,19542,19339.0
48,QUAD,989,7,19534,18413.0
49,TRIA,1021,19534,19637,
50,TRIA,19477,19563,19476,
51,QUAD,15810,59,19873,19889.0
52,TRIA,77,29,95,
53,QUAD,73,19525,29,77.0
54,QUAD,19867,19553,18403,19515.0
55,TRIA,79,13,71,
56,QUAD,19805,19119,81,85.0
57,TRIA,19868,59,15810,
58,QUAD,13,79,83,93.0
59,QUAD,89,19644,19718,1025.0
60,QUAD,19532,87,97,19753.0
61,QUAD,19734,83,89,1025.0
62,QUAD,91,19805,85,19773.0
63,QUAD,93,83,19734,19772.0
64,QUAD,17,91,93,19772.0
65,QUAD,19817,19787,19815,19552.0
66,QUAD,19522,17050,15884,19560.0
67,TRIA,15884,17050,19495,
68,QUAD,19502,19498,17050,15884.0
69,TRIA,15884,19531,19502,
70,TRIA,15884,19560,15861,
72,QUAD,19495,19497,19531,15884.0
73,TRIA,18306,19560,19523,
74,QUAD,19523,19560,15884,19531.0
75,QUAD,19497,19496,19502,19531.0
76,QUAD,15,15838,19889,41.0
77,QUAD,15,3,35,47.0
78,TRIA,3,19919,18299,
79,QUAD,15861,35,3,18299.0
80,QUAD,51,18299,19919,53.0
81,TRIA,35,13061,47,
82,QUAD,13061,35,65,19602.0
85,QUAD,19503,15861,18299,51.0
86,QUAD,65,35,15861,18306.0
89,QUAD,18309,19602,65,19551.0
90,QUAD,18306,19549,19551,65.0
91,QUAD,67,19505,19549,18306.0
39277,TRIA,19108,39,19086,
39281,QUAD,19687,984,19535,19529.0
39282,TRIA,986,19529,19687,
39285,TRIA,18858,18703,19629,
39288,QUAD,18858,19629,19627,6237.0
39289,QUAD,988,19687,19529,18862.0
39290,TRIA,18911,19529,19535,
39291,TRIA,18657,19629,18703,
39294,QUAD,19629,18657,3894,19627.0
39296,TRIA,18631,18703,19629,
39297,QUAD,1023,18631,19629,19627.0
39303,TRIA,18751,19629,18703,
39307,QUAD,1025,19627,19629,18751.0
39309,QUAD,19636,19555,19644,19554.0
39312,QUAD,19534,7,1017,19637.0
39314,TRIA,19673,19563,19528,
39318,TRIA,18410,18403,19528,
39319,TRIA,19477,19528,19563,
39322,QUAD,19553,19552,19528,18403.0
39327,QUAD,19563,19673,19115,19476.0
39336,QUAD,19528,19477,19515,18403.0
39337,QUAD,18412,13023,19615,19530.0
39338,TRIA,18412,19520,19521,
39339,TRIA,19530,18412,19521,
39340,TRIA,19530,13021,19615,
39341,QUAD,13021,19836,12586,19615.0
39342,QUAD,19530,19519,19520,18412.0
39343,TRIA,12586,19530,19615,
39345,TRIA,19464,19465,6237,
39353,QUAD,19339,19542,19700,19354.0
39356,QUAD,19019,21,19704,37.0
39361,QUAD,19540,21,19019,19072.0
39368,QUAD,19352,19637,1017,19137.0
39372,TRIA,1023,19718,19542,
39375,QUAD,19637,19354,19700,1021.0
39379,QUAD,19542,19718,19555,19700.0
39383,QUAD,19,19717,19704,21.0
39386,QUAD,19636,1021,19700,19555.0
39388,QUAD,31,19139,19137,1017.0
39395,QUAD,3894,6237,19704,19717.0
39396,TRIA,19718,19644,19555,
39400,QUAD,1025,19627,3894,19734.0
39408,QUAD,23,19554,19738,5.0
39413,QUAD,19717,19,986,19772.0
39424,QUAD,19743,19738,19554,19644.0
39426,QUAD,986,19,984,19687.0
39432,QUAD,19742,19743,19644,89.0
39434,QUAD,19753,97,5,19738.0
39435,QUAD,988,17,19772,986.0
39436,TRIA,19742,19754,19743,
39438,QUAD,19717,19772,19734,3894.0
39439,QUAD,79,19742,89,83.0
39440,QUAD,19687,984,9,19082.0
39441,QUAD,19738,19743,19774,19753.0
39451,QUAD,97,87,13023,19539.0
39453,QUAD,19742,79,71,19754.0
39455,QUAD,19687,19082,19116,988.0
39457,QUAD,13,93,91,19773.0
39465,QUAD,19754,19781,19774,19743.0
39472,QUAD,19615,19474,19326,13023.0
39475,QUAD,71,19802,19781,19754.0
39476,QUAD,19532,19753,19774,19789.0
39481,QUAD,988,19116,19793,17.0
39483,QUAD,19774,19781,19795,19789.0
39486,QUAD,13021,19615,13023,87.0
39492,QUAD,19795,19781,19802,19811.0
39493,TRIA,19116,19136,19793,
39496,QUAD,19803,19533,19532,19789.0
39499,QUAD,91,17,19793,19805.0
39501,QUAD,19789,19795,19807,19803.0
39502,QUAD,71,69,19787,19802.0
39505,TRIA,13021,19533,19836,
39506,QUAD,19811,19820,19807,19795.0
39509,QUAD,19793,19136,19119,19805.0
39515,QUAD,19815,19787,69,75.0
39517,QUAD,19817,19811,19802,19787.0
39521,QUAD,11,49,19803,19807.0
39524,QUAD,19557,19471,63,19812.0
39526,QUAD,25,11,19807,19820.0
39527,QUAD,19825,19820,19811,19817.0
39539,QUAD,19820,19825,19829,25.0
39541,TRIA,19815,75,19673,
39545,TRIA,19833,19829,19825,
39554,QUAD,75,19111,19115,19673.0
39557,QUAD,19552,19815,19673,19528.0
39561,TRIA,19545,19557,19856,
39563,QUAD,25,19829,19863,33.0
39565,QUAD,49,11,19856,19557.0
39570,QUAD,19833,19825,19553,19867.0
39580,QUAD,59,33,19863,19873.0
39582,QUAD,19863,19829,19833,19870.0
39583,QUAD,19545,19868,19468,19470.0
39588,QUAD,19868,19545,19856,59.0
39591,QUAD,11,33,59,19856.0
39596,QUAD,19833,19867,61,19870.0
39599,TRIA,19867,19515,19513,
39601,QUAD,19863,19870,19879,19873.0
39612,QUAD,19468,19868,13057,19467.0
39624,QUAD,19879,19870,61,19893.0
39627,QUAD,15810,19889,15838,19605.0
39632,TRIA,13057,19605,13025,
39633,QUAD,19889,19873,19879,41.0
39634,QUAD,19893,61,57,19511.0
39649,QUAD,19511,53,19919,19893.0
39659,TRIA,13025,19482,19466,
39676,QUAD,13061,19602,19481,19482.0
39688,QUAD,19481,19602,18309,19508.0
39693,TRIA,19510,19558,19549,
39694,QUAD,19558,19510,19479,19509.0
39695,QUAD,19472,12586,19812,63.0
39698,TRIA,19601,19493,19490,
39701,QUAD,15810,19493,19601,19605.0
39702,TRIA,19491,19601,19490,
39708,QUAD,15838,19605,19601,19491.0
39709,TRIA,19488,19490,19601,
39710,QUAD,19601,19605,13057,19488.0
39717,TRIA,19485,19601,19490,
39719,QUAD,13025,19605,19601,19485.0
39734,QUAD,19484,19483,18308,19506.0
39735,QUAD,18308,19483,19602,18309.0
39738,TRIA,19551,19549,19558,
39739,QUAD,19558,19508,18309,19551.0
39740,TRIA,19508,19558,19509,
