N,X,Y,Z
3,839.9746,-728.243,574.5931
5,803.5734,-724.165,544.6446
7,799.3339,-727.253,539.8635
9,775.902,-725.896,576.8222
11,821.7547,-727.084,558.5739
13,796.5395,-727.619,565.3902
15,839.0262,-728.033,571.1612
17,786.9647,-727.184,570.0614
19,777.2043,-726.181,566.6197
21,773.4896,-725.643,563.2757
23,798.9776,-723.977,544.0328
25,820.334,-727.867,563.4521
27,773.3511,-725.801,570.0941
29,815.2988,-732.879,547.8369
31,804.3456,-723.0,540.7169
33,824.7475,-727.713,563.0151
35,844.3287,-727.925,573.6303
37,773.4318,-725.011,556.1131
39,766.7314,-724.928,571.546
41,835.0144,-728.375,572.5429
43,761.9241,-724.307,568.6975
47,842.7603,-727.593,568.9487
49,820.7328,-726.013,553.1248
51,839.3623,-728.498,582.5388
53,834.7092,-728.664,582.0567
55,810.3569,-721.711,537.252
57,824.6086,-728.815,581.0441
59,830.1737,-727.39,562.1631
61,824.6428,-728.811,576.5336
63,826.2888,-723.481,544.7175
65,847.8145,-727.812,575.5223
67,845.9096,-728.167,583.2283
69,801.8271,-728.113,569.2059
71,801.199,-727.679,563.6898
73,813.886,-732.846,547.6012
75,802.8005,-728.304,574.759
77,813.5408,-732.838,547.5436
79,796.9258,-727.258,561.3401
81,797.3676,-727.904,578.5541
83,792.4676,-726.956,560.6125
85,797.3738,-727.993,574.2347
87,813.3523,-724.443,546.0897
89,793.5467,-726.407,556.0726
91,792.0598,-727.572,569.7252
93,791.749,-727.327,565.1929
95,813.2289,-732.831,547.4915
97,808.5281,-724.337,545.3894
978,757.8871,-723.443,574.5986
984,777.8873,-726.313,571.0751
986,780.9143,-726.616,569.1252
988,783.0346,-726.84,571.8418
989,799.5695,-731.334,538.9263
1017,799.0906,-723.052,540.8329
1021,795.9297,-724.07,544.5364
1023,784.9489,-725.299,552.0566
1025,788.0495,-725.976,555.0745
3894,783.8741,-726.111,558.0187
6237,780.7604,-725.483,554.9767
12586,819.728,-723.681,544.241
13021,816.7817,-724.365,546.1629
13023,814.8589,-723.616,543.4193
13025,842.9736,-726.952,564.3083
13057,839.9622,-726.662,561.2669
13061,847.9279,-727.319,569.9222
15810,836.0881,-727.381,564.0624
15838,838.9259,-727.631,567.0931
15861,843.6982,-728.222,577.9222
15884,844.0921,-733.288,577.9762
17050,842.0365,-733.522,577.6364
18299,841.0054,-728.389,578.3372
18306,846.058,-728.123,579.2711
18308,852.0094,-731.2,574.8095
18309,851.7818,-727.534,575.9406
18403,813.0241,-728.059,576.8215
18410,810.0978,-730.79,574.7587
18412,815.903,-728.826,542.3357
18413,795.6443,-731.647,538.176
18631,785.862,-732.959,550.4772
18657,784.6807,-732.687,556.5436
18703,785.3441,-733.409,553.3746
18751,788.5616,-733.594,553.3644
18858,781.8844,-731.894,553.6571
18862,783.4284,-730.38,571.0905
18900,783.5075,-734.784,570.0805
18911,779.0262,-735.141,569.2239
19019,769.7645,-725.025,560.0831
19072,765.969,-724.806,564.2307
19082,780.2669,-726.393,577.1617
19086,764.731,-724.422,575.9743
19108,769.9865,-725.151,576.3699
19111,802.3557,-728.21,578.9835
19115,807.274,-728.121,579.5196
19116,784.8559,-726.867,577.5248
19119,792.7288,-727.563,578.1651
19136,788.59,-727.216,577.8256
19137,799.7825,-721.093,534.9488
19139,805.1881,-721.438,536.1183
19326,815.3576,-721.922,538.3632
19339,784.5128,-723.644,544.3262
19352,793.4537,-721.217,535.3007
19354,789.3794,-722.428,539.2478
19464,779.8934,-724.453,549.2024
19465,776.9029,-724.795,552.3875
19466,845.3851,-726.354,561.9807
19467,841.9146,-726.006,558.6906
19468,838.1236,-725.542,555.2233
19470,834.0141,-724.938,551.5575
19471,829.9868,-724.245,548.0359
19472,822.9779,-722.693,541.6911
19474,819.6194,-722.101,539.4425
19476,808.5029,-727.856,579.8311
19477,811.5261,-727.88,579.6059
19479,858.6592,-727.187,584.5879
19481,851.5942,-727.056,570.4705
19482,848.4307,-726.699,565.643
19483,848.4184,-730.068,569.5808
19484,849.1972,-734.433,569.0389
19485,843.6698,-733.169,562.9607
19488,840.7174,-732.998,559.9606
19490,840.3621,-734.731,562.5428
19491,839.853,-735.19,565.3975
19493,837.2162,-733.843,562.7313
19495,842.4527,-736.855,576.8035
19496,846.3786,-736.781,578.6684
19497,846.6019,-736.486,577.4249
19498,841.8165,-735.325,579.5836
19502,845.9029,-734.999,580.3647
19503,842.8162,-728.337,582.9013
19505,849.2669,-727.958,583.585
19506,852.2223,-734.632,573.7508
19508,854.6613,-727.223,575.2706
19509,856.9135,-727.225,578.8475
19510,852.7371,-727.703,583.9553
19511,829.5512,-728.775,581.5335
19513,820.0669,-728.795,580.6047
19515,816.7856,-728.415,580.3935
19519,820.2009,-732.056,542.3109
19520,816.3241,-732.365,541.5699
19521,816.3264,-729.712,539.4875
19522,841.3655,-731.506,577.912
19523,846.3453,-731.109,578.8638
19525,815.8776,-732.885,547.9351
19528,810.5511,-727.701,576.8712
19529,780.8196,-729.53,570.8369
19530,817.7874,-728.677,542.7016
19531,846.1612,-733.111,578.3173
19532,812.6983,-725.275,549.1837
19533,814.6809,-725.319,549.5151
19534,797.168,-727.412,539.4529
19535,778.4144,-730.402,570.2197
19539,809.5055,-723.195,541.5938
19540,769.8524,-725.365,567.2679
19542,787.5666,-724.543,547.5729
19545,830.9765,-725.89,554.6282
19549,850.8005,-727.839,581.5176
19551,851.5796,-727.625,577.1533
19552,810.1652,-728.586,573.8073
19553,814.0159,-728.694,574.404
19554,797.8808,-724.632,546.5927
19555,793.8335,-724.751,547.4733
19557,826.1449,-725.437,551.6396
19558,852.9378,-727.607,579.2602
19560,843.8554,-731.308,578.3879
19563,810.0169,-727.36,576.8074
19601,840.1122,-732.664,562.9876
19602,849.2898,-727.428,572.0353
19605,839.4497,-727.185,564.1668
19615,817.175,-723.653,543.8086
19627,784.4175,-725.747,555.0237
19629,785.0912,-731.318,553.8247
19636,795.5153,-724.34,545.6104
19637,796.6205,-722.916,540.4409
19644,795.63,-725.628,551.2553
19673,808.0927,-727.905,576.4734
