N,X,Y,Z
1,790.7725419490612,-725.2614695066939,550.3953480804654
2,798.9072729395976,-725.9177880774735,552.3308105432906
3,839.8959384847255,-728.0831626366895,572.4513081898217
4,764.3379677938219,-724.6047873443391,566.0318556919964
5,803.5734,-724.165,544.6446
6,782.2882462396759,-724.9335621725631,551.0310571037185
7,799.3339,-727.253,539.8635
8,781.334605024924,-734.9571023377373,569.66515136553
9,775.5399654602976,-725.8504052519519,576.7945187858494
10,771.6899900000886,-725.0176493987399,557.9986794998086
11,821.7547,-727.084,558.5739
12,790.5002365231676,-723.1954834523486,541.8908363090814
13,796.6781988146427,-727.6207860132802,565.3395843836424
14,770.9813831467427,-725.4336514751573,565.6433523412591
16,786.6500985810026,-726.893615647211,564.3789587510533
17,786.9647,-727.184,570.0614
18,839.3890469137209,-731.4072134837844,566.2460372161523
19,777.2043,-726.181,566.6197
20,836.6875322704077,-730.8146772727368,563.3551007400588
21,773.4896,-725.643,563.2757
22,812.9652728482928,-729.0768221667929,548.3322649191839
23,798.9776,-723.977,544.0328
24,814.9869771491511,-729.0638507000851,548.6838025866557
25,820.3399966894978,-727.86753272705,563.4576094308902
26,788.2927698861448,-729.5948830163082,554.2621277440026
27,772.4484488332561,-725.6266187189017,571.7777646829494
28,775.431902182593,-725.6662636367689,561.0844769039802
29,815.2988,-732.879,547.8369
30,787.1256133550452,-722.9911456376659,541.5996740183574
31,804.3456,-723.0,540.7169
32,782.1318670281045,-724.0609750994206,546.8394929292889
33,824.763042676283,-727.7123336121597,563.0145824566245
34,785.3908786940052,-729.0067612485815,551.2921041624008
35,844.3287,-727.925,573.6303
36,784.3071149518261,-729.6412582732562,557.2268076674452
37,773.4318,-725.011,556.1131
38,781.3968549165805,-729.1131712368308,554.2294883381497
39,766.2586176591528,-724.8669266670134,571.2658592769532
40,760.0369898741043,-723.9031201018643,571.4559903551952
41,835.0016395627373,-728.3670511843194,572.4526932715513
42,762.0170411930528,-724.0337760820582,575.4287641022345
43,761.9241,-724.307,568.6975
44,779.3918402143627,-726.2398814656565,563.9376289176454
45,852.7193169537245,-727.1172612993616,572.2313404973991
46,795.676906775206,-724.8678900694625,547.8400414463351
47,842.7603,-727.593,568.9487
48,776.605763760221,-726.0809119766146,573.5974421227996
49,820.7328,-726.013,553.1248
50,789.7989533264155,-724.2537803391062,546.0127928217144
51,839.3623,-728.498,582.5388
52,783.1095170830447,-726.7226093847671,566.8691809829382
53,834.7092,-728.664,582.0567
54,840.348918501554,-729.9065026825284,560.597977358872
55,810.3569,-721.711,537.252
56,850.345578182709,-731.0617965266885,572.2297554969114
57,824.6086,-728.815,581.0441
58,843.3325026085835,-730.1569662705596,563.6135899234026
59,830.1737,-727.39,562.1631
60,774.623420275046,-725.9264753722925,568.9468588592287
61,824.6428,-728.811,576.5336
62,850.7785422520084,-734.5370253572277,571.5020009081479
63,826.2888,-723.481,544.7175
64,833.8860623626497,-726.3244403292563,557.5210301094038
65,847.8145,-727.812,575.5223
66,836.7024737979026,-725.3331278194265,553.9556118550556
67,845.9096,-728.167,583.2283
68,783.793795157628,-726.8434022471852,574.4806594508865
69,801.8271,-728.113,569.2059
70,780.3710439706914,-726.4929070738426,574.1779830857967
71,801.199,-727.679,563.6898
72,763.5141594788407,-724.3504429976034,573.3281262208444
74,767.7658230168809,-724.909676522381,562.267189752387
75,802.8005,-728.304,574.759
79,797.0846870727929,-727.2736537156337,561.4274670679915
81,797.3848193101782,-727.9050563358622,578.5555823222851
83,792.4676,-726.956,560.6125
85,797.435205204909,-727.996519085029,574.2406326568511
87,813.3523,-724.443,546.0897
89,793.5467,-726.407,556.0726
91,792.0598,-727.572,569.7252
93,791.749,-727.327,565.1929
95,813.2289,-732.831,547.4915
97,808.5281,-724.337,545.3894
978,757.8871,-723.443,574.5986
984,777.8873,-726.313,571.0751
986,780.9143,-726.616,569.1252
988,783.0346,-726.84,571.8418
989,799.5695,-731.334,538.9263
1017,799.0906,-723.052,540.8329
1021,795.9297,-724.07,544.5364
1023,784.9489,-725.299,552.0566
1025,788.0495,-725.976,555.0745
3894,783.8741,-726.111,558.0187
6237,780.7604,-725.483,554.9767
12586,819.728,-723.681,544.241
13021,816.7817,-724.365,546.1629
13023,814.8589,-723.616,543.4193
13025,842.9736,-726.952,564.3083
13057,839.9622,-726.662,561.2669
13061,847.9279,-727.319,569.9222
15810,836.0881,-727.381,564.0624
15838,838.9259,-727.631,567.0931
15861,843.6982,-728.222,577.9222
15884,844.0921,-733.288,577.9762
17050,842.0365,-733.522,577.6364
18299,841.0054,-728.389,578.3372
18306,846.058,-728.123,579.2711
18308,852.0149906170521,-731.2901221123662,574.7816992190087
18309,851.7818,-727.534,575.9406
18403,813.0241,-728.059,576.8215
18410,810.0978,-730.79,574.7587
18412,815.903,-728.826,542.3357
18413,795.6443,-731.647,538.176
18631,785.862,-732.959,550.4772
18657,784.6807,-732.687,556.5436
18703,785.3441,-733.409,553.3746
18751,788.5616,-733.594,553.3644
18858,781.8844,-731.894,553.6571
18862,783.4284,-730.38,571.0905
18900,783.5075,-734.784,570.0805
18911,779.0262,-735.141,569.2239
19019,769.7645,-725.025,560.0831
19072,765.969,-724.806,564.2307
19082,780.2669,-726.393,577.1617
19086,765.0997790133156,-724.4731540102192,576.0020592955318
19108,769.9865,-725.151,576.3699
19111,802.3557,-728.21,578.9835
19115,807.274,-728.121,579.5196
19116,784.0224842770874,-726.7809160922509,577.4588568208783
19119,792.7288,-727.563,578.1651
19136,788.2311911683198,-727.1824646682584,577.7966961954502
19137,799.1581539726445,-721.1052327941145,534.9835154858782
19139,805.1881,-721.438,536.1183
19326,815.3576,-721.922,538.3632
19339,784.5128,-723.644,544.3262
19352,793.4537,-721.217,535.3007
19354,789.3794,-722.428,539.2478
19464,779.6785685827471,-724.4775685820767,549.4312110841306
19465,776.8293861451202,-724.7995746284042,552.4664038684394
19466,845.473573574207,-726.3640221247379,562.0870884852962
19467,842.4893211991147,-726.0636294416631,559.2354466264825
19468,839.7443969631822,-725.7403776815923,556.7057028779852
19470,833.3608036862433,-724.8255836551949,550.986236796731
19471,829.4615290692963,-724.1364799916015,547.5645481729455
19472,822.797393123351,-722.661182203074,541.5702461179595
19474,819.6194,-722.101,539.4425
19477,811.5261,-727.88,579.6059
19479,858.6592,-727.187,584.5879
19481,850.356677911208,-726.9163460136878,568.5820416836909
19482,848.0162332530957,-726.6520499646434,565.1446083638076
19483,848.5717961856599,-730.9277513487482,569.4740647752836
19484,849.1972,-734.433,569.0389
19485,843.6698,-733.169,562.9607
19488,840.7174,-732.998,559.9606
19490,840.3621,-734.731,562.5428
19491,839.853,-735.19,565.3975
19493,837.2162,-733.843,562.7313
19495,842.2828218814467,-736.4464594130989,577.5458422781987
19496,846.3786,-736.781,578.6684
19497,846.6019,-736.486,577.4249
19498,841.8165,-735.325,579.5836
19502,845.9029,-734.999,580.3647
19503,842.8162,-728.337,582.9013
19505,850.2207395954651,-727.8879091992267,583.6867828373584
19506,852.2223,-734.632,573.7508
19508,855.3689530707184,-727.2236284105059,576.3944807693156
19509,857.3148170385173,-727.2162642221094,580.1671541948242
19510,854.1815957386116,-727.5771392747297,584.1096013465233
19511,829.5556402260577,-728.774904446473,581.5339503928409
19513,820.0669,-728.795,580.6047
19515,816.7856,-728.415,580.3935
19519,820.2009,-732.056,542.3109
19520,816.3241,-732.365,541.5699
19521,816.3264,-729.712,539.4875
19525,815.8776,-732.885,547.9351
19528,810.5511,-727.701,576.8712
19529,780.8196,-729.53,570.8369
19530,817.7874,-728.677,542.7016
19531,846.1612,-733.111,578.3173
19532,812.6983,-725.275,549.1837
19533,814.6809,-725.319,549.5151
19534,797.168,-727.412,539.4529
19535,778.4143685046263,-730.4017556733386,570.2197511120143
19539,809.5063287736878,-723.1949026993868,541.5935926960454
19540,768.2535036276502,-725.1385581866203,568.0530167819177
19542,787.5666,-724.543,547.5729
19545,830.9765,-725.89,554.6282
19549,850.8005,-727.839,581.5176
19552,810.6352980733858,-728.5991847695032,573.8801458515048
19553,814.4596995551042,-728.7033145588349,574.5640363080566
19554,799.0417338856787,-725.0104656139707,548.1765919748195
19555,792.103542883693,-724.6720458349257,547.4104171702896
19557,825.3479058682082,-725.1753319491081,550.5153985591679
19558,854.0034843447555,-727.5314186399281,580.7833113481113
19560,843.8554,-731.308,578.3879
19563,810.0169,-727.36,576.8074
19601,839.8752372702886,-730.7042735153371,563.4093757749068
19602,850.0522778194329,-727.4604328446468,573.2302055490495
19605,839.4497,-727.185,564.1668
19615,817.175,-723.653,543.8086
19627,784.4175,-725.747,555.0237
19629,784.8614371835286,-729.4180316898286,554.2336143787284
19637,796.6205,-722.916,540.4409
19644,795.63,-725.628,551.2553
19673,808.0927,-727.905,576.4734
19687,780.466,-726.584,571.4575
19700,791.6883,-724.009,544.6924
19704,777.1632,-725.687,559.1313
19717,781.7156859687549,-726.2560521218898,561.2195940495237
19734,787.6450379422096,-726.5828123487655,559.8561964366914
19738,802.5379,-725.161,548.5239
19742,797.9192944997942,-726.7054204917866,556.9651553309186
19743,802.7531261377721,-726.1460852096271,553.1151832892973
19753,807.762373806336,-725.3408889790145,549.2380751418835
19754,802.1617793057702,-726.9966015665759,558.0418753419316
19773,797.00180990218,-727.8854741081782,569.6403600585579
19774,807.2007831047734,-726.3146547616906,553.68227416016
19781,806.6651,-727.188,558.6557
19787,806.4985,-728.263,568.7483
19789,811.6276,-726.347,553.8416
19793,788.2254,-727.298,574.1398
19795,811.3855,-727.235,558.7138
19802,806.3658327450742,-727.8357454821104,563.7048616894858
19803,815.8232577353837,-726.2781052801367,553.7662001017522
19805,792.5712,-727.656,574.0567
19807,816.1849,-727.208,558.6838
19811,811.1274053258201,-727.9232003146124,563.7552327903048
19815,806.9513,-728.466,573.1828
19817,810.9259,-728.384,568.8791
19820,815.8432448908048,-727.9437231250542,563.7647221748524
19825,815.8713,-728.471,569.21
19829,820.5326742705116,-728.3218873289377,567.5038395718411
19833,820.1025559939835,-728.6356554751395,571.5966275260453
19836,819.2416,-724.946,548.5843
19856,826.9204,-726.615,557.0474
19863,825.0669723638899,-728.2488190077697,567.4608712808239
19867,819.124491467138,-728.80093393976,576.2904290975928
19868,837.3305357983849,-726.5575122002473,559.79217904075
19870,824.9525,-728.62,571.9631
19873,830.062995920563,-728.0966997037177,567.3829020609517
19879,829.958400923868,-728.5265418562356,572.1727097928188
19889,835.0426446895033,-727.9267247540555,567.7609310322605
19893,829.812535412397,-728.7497148243012,576.916709826629
19919,835.0878,-728.617,577.4332
