M,type,N1,N2,N3,N4
73006410,QUAD,73011813,73011808,73011835,73011838.0
73006411,QUAD,73010847,73011467,73011493,73010861.0
73006413,QUAD,73012653,73010887,73011806,73010604.0
73006415,TRIA,73010606,73011824,73010922,
73006419,QUAD,73010924,73010880,73010861,73010873.0
73006429,QUAD,73011480,73010685,73011805,73012578.0
73006434,QUAD,73010844,73010796,73011495,73011509.0
73006455,QUAD,73010715,73010921,73011829,73012574.0
73006467,QUAD,73011570,73010706,73010751,73011795.0
73006480,QUAD,73010751,73011824,73010606,73010791.0
73006494,TRIA,73011821,73011819,73011885,
73006495,QUAD,73010608,73010911,73010863,73010907.0
73006499,QUAD,73010881,73010613,73012520,73012553.0
73006500,QUAD,73010791,73011792,73011795,73010751.0
73006501,QUAD,73011861,73011799,73010604,73011806.0
73006502,QUAD,73011479,73010608,73011468,73011476.0
73006503,TRIA,73011829,73011818,73010636,
73006506,QUAD,73010734,73010598,73011792,73010791.0
73006508,QUAD,73010718,73010667,73012574,73010715.0
73006512,TRIA,73010608,73010907,73011468,
73006514,QUAD,73010661,73010878,73010692,73010622.0
73006518,QUAD,73010715,73012666,73011502,73010718.0
73006521,TRIA,73010790,73010775,73010727,
73006523,QUAD,73010706,73010638,73011824,73010751.0
73006524,QUAD,73010758,73010759,73010775,73010790.0
73006525,QUAD,73010758,73010790,73010727,73010765.0
73006527,QUAD,73010734,73012694,73010905,73010598.0
73006529,TRIA,73010596,73010796,73010620,
73006530,QUAD,73010863,73010911,73010683,73011078.0
73006531,QUAD,73010881,73012578,73011805,73010613.0
73006532,QUAD,73011512,73010655,73010916,73010919.0
73006534,TRIA,73010655,73010890,73010694,
73006537,QUAD,73011876,73010661,73010622,73011822.0
73006538,QUAD,73010653,73010596,73010625,73011497.0
73006540,QUAD,73010672,73010713,73011467,73010847.0
73006542,QUAD,73011819,73011821,73010890,73010655.0
73006543,TRIA,73010622,73010922,73011613,
73006544,QUAD,73010890,73010617,73012553,73010694.0
73006545,TRIA,73010715,73011838,73012666,
73006546,QUAD,73012694,73010708,73011797,73010905.0
73006547,QUAD,73010599,73010937,73010935,73010920.0
73006549,QUAD,73011485,73010876,73011805,73010685.0
73006550,QUAD,73010696,73010604,73011799,73010705.0
73006552,QUAD,73011838,73011835,73010621,73010564.0
73006556,QUAD,73010796,73010596,73010653,73011495.0
73006557,QUAD,73012686,73010661,73011876,73010930.0
73006558,QUAD,73010796,73010844,73010916,73010620.0
73006560,QUAD,73010734,73010758,73010790,73010791.0
73006566,TRIA,73010759,73010758,73010765,
73006568,TRIA,73010841,73010834,73010795,
73006569,QUAD,73010824,73010827,73010834,73010841.0
73006570,QUAD,73010824,73010841,73010795,73010833.0
73006571,QUAD,73010796,73010824,73010841,73010844.0
73006573,TRIA,73010827,73010824,73010833,
73006574,TRIA,73010860,73010857,73010846,
73006578,TRIA,73010852,73010850,73010856,
73006579,QUAD,73010847,73010850,73010860,73010861.0
73006580,QUAD,73010850,73010860,73010846,73010856.0
73006581,QUAD,73010850,73010852,73010857,73010860.0
73006582,QUAD,73010608,73011479,73010713,73010672.0
73006583,QUAD,73012578,73010925,73010931,73011480.0
73006584,QUAD,73010868,73010881,73012553,73010617.0
73006585,QUAD,73010881,73010868,73010925,73012578.0
73006587,TRIA,73012574,73010625,73011835,
73006590,QUAD,73010564,73012663,73012666,73011838.0
73006593,QUAD,73011823,73011822,73010913,73010662.0
73006594,QUAD,73010655,73010694,73010620,73010916.0
73006599,QUAD,73010694,73011860,73010596,73010620.0
73006601,QUAD,73010878,73012694,73010734,73010692.0
73006602,QUAD,73011497,73010625,73012574,73010667.0
73006608,TRIA,73011613,73010922,73011774,
73006609,QUAD,73010920,73011819,73011513,73010599.0
73006616,QUAD,73011821,73010900,73010617,73010890.0
73006617,QUAD,73011512,73011513,73011819,73010655.0
73006619,QUAD,73010893,73012681,73010930,73010637.0
73006620,QUAD,73010637,73010643,73010909,73010893.0
73006624,TRIA,73011823,73011876,73011822,
73006625,QUAD,73010606,73010692,73010734,73010791.0
73006635,QUAD,73010683,73010903,73010934,73011078.0
73006636,QUAD,73010683,73010847,73010880,73010903.0
73006638,QUAD,73010878,73012686,73010708,73012694.0
73006642,QUAD,73010868,73010617,73010900,73010924.0
73006645,TRIA,73010878,73010661,73012686,
73006646,QUAD,73010880,73011511,73010935,73010903.0
73006647,QUAD,73012686,73010691,73010696,73010708.0
73006648,QUAD,73010708,73010696,73010705,73011797.0
73006651,QUAD,73011805,73010876,73010870,73010613.0
73006657,QUAD,73010844,73011509,73010919,73010916.0
73006659,TRIA,73010911,73010608,73010672,
