M,type,N1,N2,N3,N4
1,QUAD,15838,47,13025,19605.0
2,QUAD,89,1,129,160.0
3,QUAD,56,19483,13061,19602.0
4,QUAD,19,21,134,60.0
5,QUAD,19533,13021,87,19532.0
6,QUAD,19528,19553,19552,19563.0
8,QUAD,48,984,60,27.0
9,QUAD,157,107,106,19919.0
10,TRIA,66,8,19545,
12,QUAD,19815,218,188,75.0
13,QUAD,211,103,31,5.0
14,QUAD,23,1017,19637,1021.0
15,QUAD,10,59,88,64.0
16,QUAD,29,24,22,95.0
17,QUAD,46,91,19805,158.0
18,TRIA,121,78,19509,
19,QUAD,175,6237,19627,1023.0
20,QUAD,19868,15810,19605,13057.0
21,QUAD,156,118,19470,19471.0
22,QUAD,15861,19503,67,18306.0
23,TRIA,18306,15861,19560,
24,QUAD,97,87,13023,189.0
25,TRIA,1023,19627,1025,
26,QUAD,73,986,19687,988.0
27,TRIA,6237,3894,19627,
29,QUAD,145,19540,39,141.0
30,QUAD,42,196,40,978.0
31,QUAD,19466,19467,13057,13025.0
32,QUAD,219,19552,19553,169.0
33,TRIA,19495,17050,19498,
34,QUAD,126,1017,23,5.0
35,QUAD,98,18900,99,113.0
36,TRIA,82,110,19354,
37,QUAD,49,19836,19533,19803.0
38,QUAD,146,139,11,119.0
40,QUAD,85,81,19111,75.0
42,TRIA,19540,19072,4,
43,TRIA,161,9,48,
44,QUAD,19139,181,77,133.0
45,QUAD,19773,215,188,69.0
46,TRIA,19773,69,190,
47,QUAD,206,208,123,19542.0
48,QUAD,19534,18413,989,7.0
49,TRIA,111,19534,19637,
50,QUAD,119,138,131,19807.0
51,QUAD,15810,88,112,19889.0
52,QUAD,87,97,19753,19532.0
54,QUAD,18403,122,125,19553.0
55,TRIA,79,13,71,
56,QUAD,158,19805,19119,153.0
57,TRIA,94,105,207,
58,QUAD,165,83,93,164.0
59,QUAD,186,986,73,199.0
61,QUAD,83,89,160,19734.0
62,TRIA,91,46,159,
63,QUAD,195,18911,98,113.0
64,TRIA,201,17,202,
65,QUAD,219,19817,19787,218.0
67,TRIA,19542,123,143,
68,QUAD,220,19498,17050,15884.0
69,QUAD,19531,19502,220,15884.0
70,TRIA,216,15884,19560,
72,QUAD,17050,19495,214,15884.0
74,QUAD,19531,18306,19560,15884.0
75,TRIA,19115,19528,19563,
76,QUAD,76,115,15838,19889.0
77,QUAD,47,15838,115,213.0
79,QUAD,147,18299,15861,35.0
80,QUAD,19919,18299,147,157.0
81,TRIA,128,13061,130,
82,QUAD,128,213,35,65.0
84,QUAD,19563,19673,177,19115.0
85,QUAD,19503,15861,18299,51.0
86,QUAD,65,35,15861,18306.0
87,TRIA,142,19519,19520,
88,QUAD,182,19704,28,44.0
89,TRIA,18309,19602,65,
91,QUAD,19549,124,178,19505.0
92,TRIA,186,182,44,
93,QUAD,15884,214,19497,19531.0
94,QUAD,23,1021,19554,163.0
95,QUAD,124,18309,65,18306.0
96,QUAD,39,19540,4,43.0
97,QUAD,77,103,189,191.0
98,TRIA,120,19554,1021,
99,QUAD,113,99,18862,19529.0
100,QUAD,10,19545,19856,90.0
101,QUAD,134,14,19540,145.0
102,QUAD,140,129,19644,19554.0
103,TRIA,19515,122,19477,
104,TRIA,19700,12,192,
105,QUAD,19540,14,74,19072.0
106,QUAD,19602,45,19481,13061.0
107,QUAD,19717,16,180,3894.0
108,TRIA,129,1,19644,
109,QUAD,19532,22,24,19533.0
110,QUAD,19082,19116,68,70.0
111,QUAD,1017,126,100,102.0
112,QUAD,19856,19545,118,155.0
113,QUAD,30,192,12,19354.0
114,QUAD,155,205,49,154.0
115,QUAD,48,9,19082,70.0
116,QUAD,19629,36,3894,19627.0
117,QUAD,19483,56,62,19484.0
118,TRIA,141,39,196,
119,QUAD,196,39,43,40.0
120,QUAD,125,122,19515,19867.0
121,TRIA,984,19,60,
122,TRIA,148,18412,19530,
123,QUAD,19893,19511,104,106.0
124,QUAD,19879,19893,106,107.0
125,QUAD,107,32,137,19879.0
126,TRIA,10,90,59,
127,QUAD,59,19873,112,88.0
128,QUAD,33,19873,59,90.0
129,QUAD,19717,182,186,16.0
130,QUAD,86,174,19615,12586.0
131,TRIA,205,156,92,
132,QUAD,17,19793,203,202.0
133,TRIA,75,96,19815,
134,QUAD,75,19111,116,96.0
135,TRIA,183,63,184,
136,QUAD,121,19509,18309,19549.0
138,QUAD,31,103,77,181.0
139,QUAD,31,181,100,126.0
140,QUAD,101,102,100,19137.0
141,QUAD,149,102,101,19352.0
142,TRIA,194,109,19820,
143,QUAD,12,6,82,19354.0
144,QUAD,19637,1017,102,149.0
145,QUAD,19793,19136,200,203.0
146,QUAD,19339,19464,208,206.0
147,QUAD,13023,187,191,189.0
148,QUAD,19552,219,218,19815.0
149,QUAD,197,19825,109,194.0
150,TRIA,1021,111,19637,
151,QUAD,120,6,12,19700.0
152,QUAD,6,120,1021,19637.0
153,QUAD,82,6,19637,149.0
154,QUAD,19497,19496,19502,19531.0
155,QUAD,19803,209,217,131.0
156,QUAD,135,19781,19754,152.0
157,QUAD,18306,67,178,124.0
158,TRIA,5,31,126,
159,TRIA,139,146,25,
160,QUAD,109,19829,146,19820.0
161,QUAD,82,149,19352,110.0
162,QUAD,127,13061,19481,19482.0
163,QUAD,128,65,19602,13061.0
164,QUAD,47,213,128,130.0
165,QUAD,19528,19115,198,18403.0
166,QUAD,13025,47,130,127.0
167,QUAD,19560,15861,18299,132.0
169,QUAD,157,76,32,107.0
170,QUAD,77,191,55,133.0
171,QUAD,19734,160,1025,180.0
172,TRIA,21,14,134,
174,QUAD,3,93,83,19734.0
175,QUAD,19474,212,12586,19472.0
177,QUAD,19742,152,19754,168.0
178,QUAD,3,19734,180,16.0
179,QUAD,19773,13,164,159.0
180,QUAD,19615,212,187,13023.0
181,TRIA,19521,142,19520,
182,TRIA,19519,148,19530,
183,QUAD,18412,148,142,19521.0
184,TRIA,174,19530,114,
185,TRIA,151,19856,155,
