N,X,Y,Z
1,794.6970552463387,-725.9975240738377,553.5606067628119
2,798.387653800842,-725.6893600885372,551.4267617641066
3,789.5189014790068,-726.9245427000835,562.4240934406974
4,763.9966260209187,-724.5626776396051,566.4088008405055
5,803.5734,-724.165,544.6446
6,793.5454308047606,-723.453572037047,542.5721828079479
7,799.3339,-727.253,539.8635
8,833.6624334619042,-724.8612188164035,551.2587079164916
9,830.4417716871599,-726.5168153896907,557.6738889953552
10,832.2396274158802,-726.0877176562818,556.1125174693824
11,821.7547,-727.084,558.5739
12,814.3577036587063,-728.6919772434882,574.8628314167422
14,769.7395254911836,-725.2065570809341,563.7975509192045
15,819.7676616980729,-728.7048097034167,573.9509099130413
16,816.5117718547133,-728.7422621686028,575.702764993522
17,786.9647,-727.184,570.0614
18,839.2499891130084,-730.273422182322,566.5003640491673
19,777.2043,-726.181,566.6197
20,836.5316765170855,-729.9219019177439,563.5390025158297
21,773.4896,-725.643,563.2757
22,812.8771169350832,-727.8214394298699,548.6134134987791
23,798.9776,-723.977,544.0328
24,814.8827489415062,-727.7886196759786,548.9668836322451
25,821.526819923145,-727.7564097350967,563.2340653555028
26,788.2085745816871,-728.3423936014306,554.5432884355728
27,775.1360476868479,-725.9619605085743,568.638172171499
28,775.3118948854992,-725.6648262671389,561.2198640561134
29,815.2988,-732.879,547.8369
30,791.4695373866314,-724.5266982888638,546.9973658194251
31,804.3456,-723.0,540.7169
32,831.7355023833042,-728.1350264850241,569.0746871336944
33,823.6702212713046,-727.3402273736856,560.6593118101026
34,785.2314084167737,-727.6689643768333,551.5679418098211
35,844.6262139856136,-727.8957848214422,574.0009581300559
36,784.1821567864203,-728.6225068528382,557.4553295987497
37,773.4318,-725.011,556.1131
38,781.1995213845904,-727.9876327371969,554.4611621182335
39,764.4654442964076,-724.6283464296639,570.3050878845345
40,759.6313698626665,-723.8163091804172,572.0489069391675
42,790.0612714339087,-725.0047726759386,549.4499909970216
43,761.9241,-724.307,568.6975
44,778.7521344858158,-726.176989785859,564.2607346349639
45,852.8203420532599,-727.0858906346941,572.4472426734425
46,794.6694249115014,-727.7614339422253,571.9439388152824
47,842.7603,-727.593,568.9487
48,775.4018408573751,-725.9488962811915,572.6459294265468
49,820.7328,-726.013,553.1248
50,837.9565584454708,-728.0400695338287,571.051717270577
51,839.3623,-728.498,582.5388
52,821.9995236947829,-724.2970893514627,546.8419079389238
53,834.7092,-728.664,582.0567
54,840.23666518632,-728.9647163937013,560.7921464606862
55,810.3569,-721.711,537.252
56,793.6718168545001,-724.6858380252222,547.4182431182813
57,824.6086,-728.815,581.0441
58,843.2298498133194,-729.2402865403725,563.8122898758555
59,830.1737,-727.39,562.1631
60,848.2153336494388,-728.0172994428498,583.4735237303996
61,824.6428,-728.811,576.5336
62,789.7990084741665,-725.5437154120203,552.284533398549
63,826.2888,-723.481,544.7175
64,834.8039828879573,-726.7087912913782,560.0099420390728
65,847.8145,-727.812,575.5223
66,838.74296865957,-725.596645096363,555.8098085957693
67,845.9096,-728.167,583.2283
68,783.0184738401861,-726.749289468187,574.6187036870566
69,801.8271,-728.113,569.2059
70,780.3644343716071,-726.4865663735659,574.367347601599
71,801.199,-727.679,563.6898
72,811.713184028646,-726.7345244108524,556.0738062674029
73,784.0547790513237,-726.8738468892468,569.4420138979963
74,767.8814212680536,-724.9163465308138,562.1408677114007
75,802.8005,-728.304,574.759
76,834.6193056648834,-728.0640399609285,569.432158283722
77,807.1528878979003,-722.4572996998054,539.2698450124263
78,855.6921534866893,-727.1949630884807,577.3090428920162
79,797.8389689367536,-727.3611661865099,562.0080386730556
80,841.216505497973,-727.9722931000551,572.4277217792733
81,799.7884216906401,-728.0519914149379,578.7625906747688
82,793.1919243833759,-722.6725529762078,539.940342625447
83,792.4676,-726.956,560.6125
84,792.8704515551264,-725.2798832707653,550.2599436948523
85,797.2991987495332,-727.9754683487798,574.2888740373697
86,818.6893250193757,-726.3550287556421,543.4170608754132
87,813.3523,-724.443,546.0897
88,833.3097019615594,-727.385227915316,563.1701689377772
89,793.5467,-726.407,556.0726
90,828.3416213953482,-726.9535628689007,559.2822207334652
91,792.0598,-727.572,569.7252
92,768.0258322862263,-724.9888651607235,573.8720261395147
93,791.749,-727.327,565.1929
94,806.4495061382031,-727.7620570428865,563.6665446218265
95,813.2289,-732.831,547.4915
96,804.8448559286852,-728.149867878095,575.4212659393328
97,808.5281,-724.337,545.3894
98,781.2996431676017,-734.959887552533,569.6584684103648
99,783.4707824546807,-732.7397007637649,570.5493333852402
100,801.8595079207462,-722.1771135935371,538.238767210178
101,799.0513082181596,-721.1907845116003,535.2615480370029
102,798.903046396036,-722.1196996128134,538.0453315356759
103,806.3982157858563,-723.3608099493516,542.0441587701853
104,832.1309297132091,-728.7192725083974,581.795212157149
105,808.8545694103974,-727.8202282193645,563.7129504434547
106,830.0571474767595,-728.7325415439435,576.9603745197154
107,783.2110939048177,-732.4749582523915,553.5487695007918
109,815.9225582176848,-727.9216530988173,564.0688075152013
110,791.2422027006387,-721.8743210685335,537.4431541615271
111,796.536722254721,-725.7082688970988,542.0444371219626
112,832.2586279102507,-727.8126959678259,566.1784400611089
113,781.1312942021268,-733.0068811327686,570.0830718416063
114,817.3195170799461,-726.6709234848639,544.3119044160112
115,839.8588209100359,-727.81020387496,569.5985419389293
116,804.656896106536,-728.1655017824208,579.2277654065435
117,771.6274594057588,-725.017888110686,558.0663713874344
118,828.9178986820733,-725.5196789856061,552.8254256447284
119,819.2523418225959,-727.1397097946062,558.6232750518325
120,771.5421013519363,-725.5160463131028,569.2645470567649
121,799.4466232306949,-726.7158488626305,557.0528949169126
122,814.6886058856269,-728.2165339878462,578.402150012883
123,785.5332916820735,-730.2014644449486,551.0457707122256
124,848.777261406154,-727.9177270886304,579.7212161601803
125,792.1194737578486,-725.7638506394954,552.9288590827234
126,801.7109737721185,-723.026070516432,540.7750573058865
127,846.0758060881635,-727.0188975041518,566.7008610718412
128,846.0800144105357,-727.6301298808667,571.8259965532043
129,788.378815201989,-730.8748932020156,553.9747891487574
130,845.6852227207581,-727.4379127592136,569.4997125142537
131,816.9017965415334,-726.6968220256043,556.1003980546606
132,841.3763251113058,-730.235531467688,578.0850961128862
133,807.7705744552966,-721.5743982986953,536.6847276601861
134,771.5826663501161,-725.4765926284797,565.4366408207588
135,802.1418063880677,-726.8782967850279,557.714878703071
136,777.4560017056918,-726.1554461503848,574.2205333171217
137,828.8249654849124,-728.2028532259267,568.8393657620576
138,819.951240540003,-726.6078095745535,556.0275400151572
139,821.4698163983993,-727.4461094993752,560.9330451811834
140,785.0079883634866,-730.6297987797343,553.9727910244237
141,766.3639817538947,-724.8339112063063,572.0118190788497
142,818.1832389551615,-730.8353528225316,540.8406033955356
143,821.8397039379367,-724.7865089947546,548.6056118306968
144,811.3997579538369,-729.574934158518,575.6764729102193
145,769.7410996014909,-725.293210962601,567.6150440302112
146,818.9174720940658,-727.5391995006023,561.276551491308
147,837.3723011402777,-728.4129087107116,576.0552804215033
148,817.8672304434458,-730.3021777454874,542.3243658798489
149,787.9009237298025,-725.2578383290336,551.198270634026
150,766.0760874968122,-724.8409106945342,568.1202634465405
151,824.2790345583852,-726.854812686009,557.8279417168293
152,798.6722643207263,-727.0653281107598,559.5827880352355
153,794.9341330641871,-727.7238940743307,578.3502580879515
154,821.2377524800283,-726.5422143126631,555.8173692914397
155,823.8122436651227,-726.2903146551719,555.134568800317
156,825.502391839559,-725.3693126840163,551.5762516891049
157,836.6117356714739,-728.3237770396581,573.8466024045283
158,794.8691370851913,-727.8154485105601,574.1501966628767
159,794.0971654608218,-727.5871994659288,567.6107105985487
160,791.0400362396232,-726.2104686602776,555.6174771921646
161,773.0866178977406,-725.5414097253285,576.6069376699724
162,823.8844236685425,-727.6889023518432,563.1099655934336
163,801.3856194196204,-724.6024582647199,546.4216225322785
164,795.0363650041573,-727.5070926933479,565.1569382771668
165,795.2506295872364,-727.149717855793,561.1319565507773
166,763.1099335993731,-724.306647032673,572.9153468698566
167,779.6671117376366,-724.4172861158892,549.4530340466642
168,797.5109086156242,-726.1537575208005,553.9746525207796
169,784.7866176016629,-726.4531869069846,561.0437211626777
