M,type,N1,N2,N3,N4
1,QUAD,13025,19605,15838,47.0
3,QUAD,56,19483,13061,19602.0
4,QUAD,134,60,19,21.0
5,QUAD,19533,13021,87,19532.0
7,QUAD,12586,19836,92,63.0
8,QUAD,48,984,60,27.0
9,QUAD,157,107,106,19919.0
10,QUAD,136,66,8,19545.0
11,QUAD,61,171,41,57.0
13,QUAD,5,97,77,31.0
14,QUAD,23,1017,19637,1021.0
16,QUAD,22,95,29,24.0
18,TRIA,19509,80,78,
19,QUAD,175,6237,19627,1023.0
20,QUAD,19868,15810,19605,13057.0
21,TRIA,19471,156,19470,
22,QUAD,18306,15861,19503,67.0
23,TRIA,18306,15861,19560,
25,TRIA,1023,19627,1025,
26,TRIA,988,986,19687,
27,TRIA,6237,3894,19627,
28,QUAD,15,136,19545,10.0
29,QUAD,145,19540,39,141.0
30,TRIA,42,40,978,
31,QUAD,19466,19467,13057,13025.0
32,QUAD,19553,169,19817,19552.0
33,TRIA,19498,19495,17050,
34,QUAD,126,1017,23,166.0
35,QUAD,19535,18911,176,19529.0
37,QUAD,19836,19533,19803,49.0
38,QUAD,146,139,11,119.0
39,TRIA,92,19836,49,
40,QUAD,85,81,19111,75.0
41,TRIA,18299,19560,15861,
42,TRIA,19540,19072,4,
43,TRIA,161,9,48,
44,QUAD,133,19139,31,77.0
45,QUAD,75,69,19773,85.0
46,QUAD,69,71,13,19773.0
47,QUAD,19339,19464,123,19542.0
48,QUAD,989,7,19534,18413.0
49,TRIA,111,19534,19637,
50,QUAD,119,138,131,19807.0
51,QUAD,15810,88,112,19889.0
53,TRIA,19525,29,95,
54,QUAD,18403,122,125,19553.0
55,TRIA,79,13,71,
56,QUAD,158,19805,19119,153.0
58,QUAD,165,83,93,164.0
59,QUAD,3,16,84,73.0
60,QUAD,19532,87,97,19753.0
61,QUAD,89,160,19734,83.0
62,QUAD,159,91,19805,158.0
64,QUAD,17,91,93,73.0
65,QUAD,19817,19787,19815,19552.0
66,TRIA,10,90,59,
67,TRIA,19542,123,143,
68,QUAD,19502,19498,17050,15884.0
69,TRIA,19502,15884,19531,
70,TRIA,15884,19560,15861,
71,QUAD,19704,37,117,28.0
72,TRIA,19495,15884,17050,
73,TRIA,18306,19560,19531,
