M,type,N1,N2,N3,N4
73121283,QUAD,73125207,73125105,73125108,73125206.0
73121284,TRIA,73124976,73125289,73125218,
73121285,QUAD,73125050,73125041,73125059,73124977.0
73121286,QUAD,73124977,73125059,73125044,73125273.0
73121287,QUAD,73125275,73125273,73125044,73125257.0
73121288,QUAD,73125258,73124979,73125275,73125257.0
73121289,QUAD,73125188,73125226,73125201,73125187.0
73121290,QUAD,73125050,73124980,73125210,73125205.0
73121291,TRIA,73125258,73125240,73124984,
73121292,QUAD,73124984,73125240,73125287,73124986.0
73121293,QUAD,73124982,73124986,73125287,73125052.0
73121294,QUAD,73124977,73125042,73124980,73125050.0
73121295,TRIA,73125275,73125269,73125273,
73121296,QUAD,73125272,73125277,73125052,73125245.0
73121297,QUAD,73125042,73124977,73125273,73124981.0
73121298,TRIA,73125272,73125281,73125277,
73121299,QUAD,73125275,73124979,73125278,73125269.0
73121300,QUAD,73124985,73125211,73125210,73124980.0
73121301,QUAD,73125206,73124978,73124976,73125207.0
73121302,QUAD,73124990,73125051,73125208,73125211.0
73121303,QUAD,73124981,73125273,73125269,73125280.0
73121304,QUAD,73125054,73124998,73125239,73124978.0
73121305,QUAD,73124981,73124987,73124983,73125042.0
73121306,TRIA,73125228,73125205,73125210,
73121307,QUAD,73124985,73124983,73124988,73124993.0
73121308,QUAD,73125278,73125058,73125280,73125269.0
73121309,QUAD,73125211,73124985,73124993,73124990.0
73121310,QUAD,73124979,73125258,73124984,73124989.0
73121311,QUAD,73124991,73124987,73124981,73125280.0
73121312,QUAD,73125052,73125277,73125296,73124982.0
73121313,QUAD,73124983,73124987,73124997,73124988.0
73121314,QUAD,73124986,73125056,73124989,73124984.0
73121315,QUAD,73124993,73124988,73124998,73125054.0
73121316,QUAD,73124995,73125049,73125051,73124990.0
73121317,QUAD,73125055,73124982,73125296,73125216.0
73121318,QUAD,73125244,73125284,73125192,73125194.0
73121319,QUAD,73125058,73124994,73125048,73124991.0
73121320,QUAD,73124996,73124997,73124987,73124991.0
73121321,QUAD,73124993,73125054,73124995,73124990.0
73121322,QUAD,73124992,73125056,73125253,73125191.0
73121323,QUAD,73125043,73124992,73124999,73124994.0
73121325,QUAD,73124991,73125048,73125000,73124996.0
73121326,QUAD,73125049,73124995,73125206,73125220.0
73121327,TRIA,73124997,73124996,73125001,
73121328,QUAD,73124997,73125002,73124998,73124988.0
73121329,QUAD,73124999,73124992,73125191,73125003.0
73121330,QUAD,73125047,73125004,73125000,73125048.0
73121331,QUAD,73125001,73124996,73125000,73125006.0
73121332,QUAD,73125001,73125005,73125002,73124997.0
73121333,QUAD,73124998,73125002,73125270,73125239.0
73121334,QUAD,73125003,73125191,73125290,73125057.0
73121335,QUAD,73125046,73125007,73125004,73125047.0
73121336,QUAD,73125207,73124976,73125218,73125040.0
73121337,QUAD,73125006,73125000,73125004,73125008.0
73121338,QUAD,73125005,73125271,73125270,73125002.0
73121339,QUAD,73125005,73125001,73125006,73125009.0
73121340,QUAD,73125299,73125214,73125207,73125040.0
73121341,QUAD,73125045,73125225,73125007,73125046.0
73121342,QUAD,73125008,73125004,73125007,73125010.0
73121343,QUAD,73125009,73125274,73125271,73125005.0
73121344,TRIA,73125012,73125040,73125218,
73121345,QUAD,73125008,73125011,73125009,73125006.0
73121346,QUAD,73125010,73125007,73125225,73125256.0
73121347,QUAD,73125010,73125013,73125011,73125008.0
73121348,QUAD,73125291,73125274,73125009,73125011.0
73121349,QUAD,73125014,73125012,73125218,73125261.0
73121350,QUAD,73125261,73125259,73125015,73125014.0
73121351,QUAD,73125256,73125231,73125013,73125010.0
73121352,QUAD,73125011,73125013,73125276,73125291.0
73121353,QUAD,73125012,73125016,73125268,73125219.0
73121354,QUAD,73125018,73125016,73125012,73125014.0
73121355,QUAD,73125015,73125259,73125255,73125020.0
73121356,QUAD,73125013,73125231,73125223,73125276.0
73121357,QUAD,73125014,73125015,73125021,73125018.0
73121358,QUAD,73125016,73125022,73125301,73125268.0
73121359,QUAD,73125020,73125255,73125252,73125023.0
73121360,TRIA,73125016,73125018,73125022,
73121361,QUAD,73125020,73125024,73125021,73125015.0
73121362,QUAD,73125018,73125021,73125025,73125022.0
73121363,QUAD,73125027,73125023,73125252,73125241.0
73121364,QUAD,73125023,73125028,73125024,73125020.0
73121365,QUAD,73125301,73125022,73125026,73125286.0
73121366,QUAD,73125029,73125025,73125021,73125024.0
73121367,QUAD,73125026,73125022,73125025,73125247.0
73121368,QUAD,73125241,73125230,73125302,73125027.0
73121369,QUAD,73125030,73125028,73125023,73125027.0
73121370,QUAD,73125024,73125028,73125032,73125029.0
73121371,QUAD,73125026,73125224,73125213,73125286.0
73121372,QUAD,73125031,73125247,73125025,73125029.0
73121373,QUAD,73125247,73125203,73125224,73125026.0
73121374,QUAD,73125027,73125302,73125235,73125030.0
73121375,QUAD,73125263,73125203,73125247,73125031.0
73121378,QUAD,73125034,73125032,73125028,73125030.0
73121379,QUAD,73125029,73125032,73125033,73125031.0
73121380,QUAD,73125035,73125243,73125203,73125263.0
73121381,QUAD,73125033,73125036,73125263,73125031.0
73121382,QUAD,73125030,73125235,73125295,73125034.0
73121383,QUAD,73125037,73125033,73125032,73125034.0
73121384,QUAD,73125243,73125035,73125199,73125236.0
73121385,QUAD,73125263,73125036,73125038,73125035.0
73121386,QUAD,73125034,73125295,73125303,73125037.0
73121387,QUAD,73125226,73125036,73125033,73125037.0
73121388,QUAD,73125035,73125038,73125266,73125199.0
73121389,QUAD,73125038,73125036,73125226,73125201.0
73121391,QUAD,73125037,73125303,73125215,73125226.0
73121392,QUAD,73125267,73125038,73125201,73125039.0
73121394,QUAD,73125201,73125248,73125249,73125039.0
73121395,TRIA,73125039,73125053,73125267,
73121396,QUAD,73125053,73125039,73125249,73125209.0
73121397,TRIA,73125209,73125304,73125053,
73121398,TRIA,73125052,73125287,73125245,
73121399,QUAD,73124980,73125042,73124983,73124985.0
73121400,QUAD,73125210,73125211,73125182,73125181.0
73121401,QUAD,73125003,73125057,73125045,73125046.0
73121402,QUAD,73124999,73125003,73125046,73125047.0
73121403,QUAD,73125219,73125299,73125040,73125012.0
73121404,QUAD,73125058,73125278,73125043,73124994.0
73121405,QUAD,73124979,73124989,73125043,73125278.0
73121406,QUAD,73124994,73124999,73125047,73125048.0
73121407,TRIA,73125058,73124991,73125280,
73121408,QUAD,73124989,73125056,73124992,73125043.0
73121409,QUAD,73125056,73124986,73125055,73125253.0
73121410,TRIA,73125050,73125205,73125041,
73121411,TRIA,73125038,73125267,73125266,
