N,X,Y,Z
1,896.7644211765985,-748.2043515030108,638.6374781309207
2,879.5835430550615,-748.0523158665914,643.1291296264114
3,836.2735321943517,-741.5164060227863,654.3235466548429
4,875.8295192555352,-748.0321830692129,642.5409489211766
5,891.8722933514019,-756.0849709985912,639.2982516236407
6,866.0640901190999,-748.2783417453682,636.180349767182
7,838.2569797178662,-742.665079809086,651.7038491573352
8,870.6799708758887,-746.782047916742,649.2004641498236
9,912.5034971594363,-747.0210175995509,644.5442449399958
10,861.182859501579,-742.8863933686416,661.2281270912363
11,904.9622604434873,-747.8500058869087,636.8958003112741
12,891.894815605913,-745.5328726486607,658.740334593065
13,881.3470111142158,-748.6099663933131,635.9673262808178
14,888.1981425012387,-745.574355619056,658.270894425349
15,883.4518937143044,-743.3548807826843,664.2837998321327
16,860.829547576886,-741.8981134201271,664.1189901943517
18,867.1212962314721,-747.2177378187141,645.4338823425264
19,887.7869688906228,-756.207901477051,629.204585798481
20,884.4935612572078,-745.5806603926152,657.7829293121122
21,887.6090318000438,-757.1869735683372,629.7044821559352
22,877.064830901517,-745.478939805165,656.7861448535288
23,889.7737735865959,-747.4778468320702,648.0972888609585
24,865.2209326264096,-748.6822284919627,626.747013077705
26,928.0046036157256,-742.8960723019247,664.9195582296105
27,863.4753580082545,-746.3533132275401,648.8597768299464
28,872.8040790227953,-751.3201509464534,629.478363939664
29,859.5035027798567,-745.4789448894891,651.2402259514093
30,893.629122938162,-757.317151114792,633.2209799708368
31,896.1192418747844,-746.1897580403312,655.7140361627559
32,892.4244896661553,-746.2701456801491,655.3099128976663
33,853.8591653914459,-741.3932123861758,662.9501518561289
34,873.3394391459253,-745.3745633174457,656.3028400396058
35,857.772499176785,-746.1780694790991,647.3486582872318
36,869.6142804245577,-745.2171252259357,655.8482218373139
37,915.6430689537304,-743.5129701190777,665.7305466037287
38,862.1796085609728,-744.7851726978696,655.0484539672573
39,877.6532544186715,-748.6408082686978,635.139031115272
40,858.3782988906354,-744.5315397735587,654.6027980477588
41,871.8330391204372,-742.4515103626464,665.9309434956389
42,854.5063715974522,-744.2958760003055,653.8234428588299
43,852.440512549048,-747.156358289431,638.659021524971
45,860.5385576159201,-746.225245023914,648.326449016672
46,892.9320587774436,-746.8992621364162,651.8644127917044
49,897.4638386938502,-742.5359486833163,670.0087018542544
51,890.0984515799739,-754.6623473901935,631.5269366520891
52,917.9501788355975,-748.8518660346865,655.0308634095244
53,891.6787978434611,-748.4547636247029,626.8644548520721
54,911.3200851501505,-749.5694303843704,654.5716637156856
55,917.5020934552456,-746.2207425715372,649.712227502819
56,893.7170703265,-747.7948065101581,645.0509017772885
57,875.5288425436402,-742.571775031794,666.531520304609
58,926.4769608912728,-742.0645705811198,668.8636488427325
59,873.8875094231757,-746.1954665360148,652.9890676270333
60,927.5273927998177,-740.3915760270005,674.4837111212627
61,902.9174100768174,-745.2181910020867,660.0358153108197
62,862.0266823403198,-748.5099350126004,629.6769812224787
63,902.6138438383471,-747.9026924079882,639.2117659571193
64,842.515137455124,-740.3313353247479,661.0061598132187
65,880.9600218320899,-748.667564492565,623.7762240178474
66,874.115951230616,-748.7071481416833,622.9251146971177
67,863.5408850987915,-750.6686464116711,642.5519882005661
68,867.6412348832339,-748.5474769058417,633.0069629871181
69,855.0364881742172,-747.6474325021385,636.2428188433562
70,843.1460150128399,-743.5058201690242,651.3422420812713
71,856.6911790830018,-750.6965643998841,641.9962884884741
72,876.0204230093882,-743.6362118881195,663.3271926393277
73,898.05408730402,-743.5889417359167,666.5747777215996
74,846.9899334315835,-744.5059882976003,649.4543878535962
75,909.4885599694219,-744.0442058458866,664.4078226097419
76,905.9025137875234,-744.2407904158193,663.9845799324683
77,893.9191064407564,-748.0937334446472,641.9277999994505
78,862.7274855928896,-746.9054153039584,645.6666233063395
79,888.439631374419,-752.3575699315772,638.2568354743959
80,893.3798886038625,-747.402960475088,648.4208546003063
81,853.0995564911022,-745.5014553789433,648.1865653840104
82,889.4935175214398,-748.6013609361642,634.5235612821807
83,890.2671981802266,-747.8770923237727,644.784398665996
84,874.0974994776245,-748.6314941563152,634.6683945729316
85,897.0036439755702,-748.0185379655251,641.6152828787611
86,886.79197168097,-747.9672273103042,644.3234138949775
87,903.4499775463462,-745.9202600327761,656.5360418762708
88,913.8388440965775,-749.2833450435994,657.6689748265021
89,864.7763571085234,-748.509888719572,631.6163863355143
90,886.4804551082992,-754.1749660643782,630.2569539271133
91,887.2438103387918,-755.6554518971762,629.9972646163002
92,899.844719409358,-748.1154379500175,637.3647589864044
93,890.6910523698818,-757.5979754323037,631.234119432994
94,907.8025860600114,-742.0786455424586,671.5964623498443
95,924.3586461635454,-747.2523346844632,663.8186466266782
96,845.8212696951703,-743.2993310266924,653.3463655470275
97,924.8343229214013,-750.7731350120523,664.2637208294743
98,890.9837017108501,-755.7315344430419,629.9774845929223
99,915.0349815053652,-746.6471811314937,647.1321227903557
100,906.6456769324453,-745.0670744731602,660.3801834806206
101,895.2026780366132,-748.3593454333921,636.0217525895504
102,886.1801309019856,-747.5456243130836,647.662414859364
103,894.440156410578,-743.6370199796163,666.0470135245841
104,924.5119241974971,-744.3608482294484,658.9690992712838
105,879.2718989179222,-742.3933399045787,667.0890766672045
106,879.7417629347142,-743.4359154657237,663.7992731172087
107,896.6347759515385,-746.8067602204205,652.1973528215822
108,850.4225991760703,-741.1007640773064,662.3668197664565
109,851.159567102816,-742.1640162477346,659.5013380251527
110,897.3137379013239,-747.7054368304651,645.0103213735076
111,897.0749269615396,-747.30561227617,648.6183139430271
112,898.6569331029791,-744.5266232084712,663.1104415017487
113,910.8317948102774,-744.8952912164614,660.5192013381112
114,849.131094126142,-743.2560256110418,655.0705919414986
115,874.8466531009257,-748.7760013972019,631.3949996698409
116,904.4578767774433,-742.2574574591206,671.0870185638847
117,879.8870523669708,-748.7362273226697,627.3362422827585
118,865.898415950153,-745.0178840298141,655.4345776316733
119,878.4150634803613,-748.7545570592557,630.949962680872
120,870.8455310283113,-748.6050720926893,633.8950409412726
121,864.3662436740659,-747.8940142952933,639.452096835726
122,917.0728865050723,-745.565065379765,667.9639173727452
123,882.382389448937,-748.7135040208602,632.2182426744599
124,858.3664473264364,-748.1274844982402,633.1233116110066
125,880.7826385801573,-745.5463618794939,657.2848894733402
126,873.7617224045244,-754.9129573832098,627.0497926583374
128,856.3756416418811,-747.4059614122197,639.1239766714632
129,914.2220581475677,-744.5158984529702,661.5884559840116
130,881.340173603189,-746.3340870977559,653.9393242483038
131,908.5336815287684,-743.1328291596027,667.9802433026582
132,899.2454807998439,-745.3478948482874,659.621636359153
133,917.4364186128591,-744.1357850774988,662.6172142607267
134,881.9243815522201,-747.0204102396475,650.5627427828367
135,893.4071918547057,-751.0050709192359,632.8308665580364
136,893.2289069933842,-751.1675256351749,633.7311465077759
137,854.2900392755874,-742.3528129773644,660.2324651153704
138,895.9222705570919,-750.8526280779462,633.3167117536327
139,920.4940190840107,-743.5826907166705,664.3704639157459
140,918.2006058337425,-749.3926387270784,669.6766041055573
141,864.9037342499547,-743.1399742258986,661.7030537691412
142,864.4774178465204,-742.1111764369773,664.7234737983349
143,922.9585625027805,-742.4518078720461,668.3076944749552
144,915.1049811810625,-749.0779199633457,651.854818549407
145,862.8499823132131,-748.2151720489754,634.820222339038
146,847.544897654887,-742.0615215549168,658.1995872252172
147,901.5476115615968,-747.5840110836849,644.6757057731787
148,901.6345588873846,-743.4646766788052,667.0718272707288
149,905.1329620430461,-743.3094622331535,667.5407405588859
150,899.8019925999988,-746.0712427409122,656.1145549342023
151,849.8994288571673,-745.6123292429446,646.0719947671572
152,847.1007912634984,-745.7939071804286,643.5815346221398
153,900.3735674307209,-746.6676111153395,652.5506512603899
154,882.5487801548867,-747.5849935253096,647.1580539061079
155,887.6221652795024,-748.6403890943998,629.8848164191141
156,886.1088852136846,-748.653710826289,633.3861013540522
157,884.9436997772864,-748.558979367585,636.9155494191147
158,884.0190220021072,-748.3536965056735,640.3320436657102
159,883.2353799283264,-748.0274623566874,643.7438247737252
160,908.2754020452844,-746.7015146750325,650.3571125940804
161,919.4404824897294,-744.8474708052347,658.4499322386346
162,930.8020987503934,-741.1383159597647,670.9562314975124
163,927.1043361948742,-741.2824786505246,671.4904561702302
164,857.4646610082773,-742.5753002985837,660.8254842925821
165,906.3023019302105,-747.3189155026122,645.3398172969765
166,904.512832587253,-747.6550234114023,641.7694843793184
167,897.9002694272237,-748.2588618904313,634.7071872645424
168,887.6604560969903,-744.6377246268236,661.6101718083106
169,902.2890395241245,-744.3988708499444,663.5621004463624
170,895.0170834178816,-744.6226488493702,662.638620638279
171,891.350219350763,-744.6173257782517,662.1261646402015
173,904.0663701836303,-746.4888818954681,653.0421926897658
174,891.1868381946296,-748.5263491704061,629.4743236349566
175,893.8134439100454,-748.4363706208841,630.124329967604
176,854.688436722461,-743.2753648909514,657.6194155062825
177,855.4412678797257,-748.9705325443708,658.199450310046
178,855.7703581345601,-751.8002976019309,658.4681621778108
179,916.8190394590189,-745.1331581553807,669.0574140489134
180,915.5829157157519,-745.3938683323908,668.7889686931176
181,920.0406690837533,-744.7626938331008,669.7791892072323
183,861.5439710894925,-743.8353136755522,658.2628509289958
184,865.3603995190292,-744.1060159415132,658.6185126396757
185,869.0950127749578,-744.3159663746452,659.0682115683874
186,872.8146008014844,-744.4822638642806,659.5617953903394
187,876.533209422338,-744.599462104933,660.0772714489916
188,880.2487114737651,-744.6413723118933,660.5905859410612
189,883.9591849253769,-744.6403931023655,661.0948983397194
191,855.0965825887926,-746.1293157416037,657.9202966954842
192,909.8978365791537,-747.3542301020196,641.9029849552692
193,852.637861737673,-746.2916373897739,657.3612489441559
194,835.186597924505,-740.5680357463547,656.6071006184252
195,884.6913506542865,-748.6236293432488,624.808423417407
196,883.6411489293079,-748.7157406290884,628.5593573702804
197,911.0098577940116,-741.8818115662297,672.0812872493648
198,911.7534598742016,-742.9613987077108,668.3561813557258
199,888.8046674540246,-751.0102243042579,631.7973269085627
200,910.2544583475878,-745.6321205140899,657.0772988026938
201,900.9747276872507,-747.1720644040993,648.8233462040697
202,923.6964261081987,-741.5125877465719,671.4743029389087
203,877.2695015023799,-748.6924445309335,623.0799519393972
204,876.5249662583823,-748.7765501048165,626.0603174275544
205,873.7038877925802,-748.7728201642008,625.3976296256864
206,904.885673674788,-746.9552167547091,649.4097433578162
207,912.7450673458808,-743.7848567411924,665.0338868481103
208,870.3235001596543,-748.770971214894,626.5575076777684
209,852.3290105937646,-746.4377232037308,643.1185498168486
210,854.0968147282333,-747.0407668167105,640.5024859499181
211,909.768711481047,-746.9628387930264,647.330125930044
212,857.606218055354,-745.9773014936826,658.4918275712407
2406,900.0210571774585,-748.1611176520502,631.8377813568621
4287,840.0705,-742.206,654.3167
5024,838.6959,-741.192,656.7369
6514,843.0213,-742.03,656.3537
17165,857.3367,-743.416,658.2442
17753,875.3407,-748.85,628.5437
19004,860.4349,-747.736,639.0289
19013,856.0796,-747.065,641.6144
19108,925.7045,-742.746,666.544
19115,914.7934,-742.881,668.4251
19117,919.7859,-742.344,669.5463
19118,917.8777,-743.203,666.7065
19242,917.6054,-745.615,654.7369
19288,914.783,-746.235,651.5664
19336,913.3907,-745.456,657.3467
19408,910.7403,-746.11,654.2086
19410,922.82662519078,-747.8935618221236,661.1711182934235
19456,922.215,-744.311,660.5031
19512,894.1649,-748.298,639.314
