M,type,N1,N2,N3,N4
1,QUAD,63,85,147,166.0
2,QUAD,75,131,198,207.0
3,QUAD,4287,7,194,5024.0
4,QUAD,106,105,20143,15.0
5,QUAD,20226,20266,19564,82.0
6,QUAD,19410,95,97,20199.0
7,QUAD,26,20185,20285,19108.0
8,TRIA,45,27,78,
9,QUAD,19568,167,2406,20215.0
10,QUAD,72,57,105,106.0
12,QUAD,20360,41,57,72.0
13,QUAD,167,101,1,92.0
14,QUAD,20246,24,89,68.0
15,QUAD,25,19288,55,99.0
16,QUAD,43,210,128,69.0
17,QUAD,210,43,20159,209.0
18,QUAD,20222,20220,98,51.0
19,QUAD,27,20258,18,78.0
20,QUAD,176,191,212,17165.0
21,QUAD,151,152,44,47.0
22,QUAD,20259,8,20359,59.0
23,QUAD,70,74,20161,19826.0
24,QUAD,171,12,14,168.0
25,TRIA,101,19512,1,
26,QUAD,20266,20271,77,19512.0
27,TRIA,91,19606,21,
28,TRIA,101,167,19568,
29,QUAD,161,19456,104,20187.0
30,QUAD,19013,71,20384,20336.0
31,TRIA,20378,50,81,
32,QUAD,45,35,20331,29.0
33,QUAD,33,137,109,108.0
34,QUAD,4,20386,20370,20389.0
35,QUAD,201,111,107,153.0
36,QUAD,18,20256,20229,78.0
37,QUAD,20391,2,4,20389.0
38,TRIA,90,19606,91,
39,QUAD,22,187,188,125.0
40,QUAD,19242,161,20187,20181.0
41,QUAD,76,169,148,149.0
42,QUAD,168,14,20,189.0
43,QUAD,189,20,125,188.0
44,QUAD,19456,20285,95,19410.0
45,QUAD,187,22,34,186.0
46,QUAD,20329,19793,20336,19013.0
47,QUAD,20,20235,130,125.0
48,QUAD,20329,48,35,19793.0
49,QUAD,186,34,36,185.0
50,QUAD,23,20325,46,80.0
51,QUAD,177,20231,19822,178.0
52,QUAD,20258,8,20370,18.0
53,QUAD,19617,199,135,20265.0
54,QUAD,51,91,21,93.0
55,QUAD,20322,22,125,130.0
56,QUAD,36,118,184,185.0
57,QUAD,20200,20201,97,95.0
58,QUAD,183,38,40,17165.0
59,TRIA,28,20344,20230,
60,QUAD,32,31,107,46.0
61,QUAD,176,17165,40,42.0
62,QUAD,46,20325,20302,32.0
63,QUAD,111,127,56,80.0
64,QUAD,63,166,20203,11.0
65,TRIA,20148,204,203,
66,QUAD,173,153,150,87.0
67,QUAD,19108,58,20174,26.0
68,QUAD,20145,164,137,33.0
69,QUAD,76,149,131,75.0
70,QUAD,23,83,86,102.0
71,QUAD,84,120,20260,20385.0
72,QUAD,39,84,20385,20388.0
73,QUAD,13,39,20388,20390.0
74,QUAD,158,20253,20226,157.0
75,QUAD,133,172,20293,129.0
76,QUAD,19713,19624,126,19726.0
77,QUAD,20230,68,6,120.0
78,QUAD,20233,20234,19624,19779.0
79,QUAD,146,20061,108,109.0
80,QUAD,19013,210,209,20329.0
81,QUAD,132,20313,170,112.0
82,QUAD,165,160,211,190.0
83,TRIA,28,20234,20233,
84,QUAD,20148,20154,20246,20344.0
85,TRIA,210,19013,128,
86,QUAD,145,182,121,6.0
87,QUAD,20344,20246,68,20230.0
88,QUAD,48,20329,209,151.0
89,QUAD,196,155,20150,195.0
90,QUAD,17753,20344,20230,115.0
91,QUAD,20230,120,84,115.0
92,TRIA,20246,20154,24,
93,TRIA,119,17753,115,
94,QUAD,172,133,139,19456.0
95,QUAD,84,39,119,115.0
96,QUAD,163,202,20175,60.0
97,QUAD,20250,79,20206,5.0
98,QUAD,174,53,20150,155.0
99,QUAD,123,119,39,13.0
100,QUAD,19617,155,156,82.0
101,QUAD,157,20226,82,156.0
102,QUAD,20260,121,20229,20256.0
103,QUAD,69,128,19004,182.0
105,TRIA,179,20227,122,
106,TRIA,20344,28,17753,
107,TRIA,140,20197,20227,
108,QUAD,20195,20227,20197,20198.0
109,TRIA,24,62,89,
110,QUAD,132,150,31,20313.0
111,QUAD,124,182,145,17.0
112,QUAD,150,153,107,31.0
113,TRIA,129,20293,19336,
114,QUAD,73,103,20165,49.0
115,QUAD,75,207,129,113.0
116,QUAD,73,112,170,103.0
117,QUAD,133,129,207,37.0
118,QUAD,197,198,131,94.0
119,QUAD,20253,86,83,20271.0
120,TRIA,139,20285,19456,
121,QUAD,19118,37,19115,20296.0
122,QUAD,133,37,19118,139.0
123,TRIA,19118,20296,19117,
124,QUAD,20180,20296,19115,20179.0
125,QUAD,158,159,86,20253.0
126,QUAD,139,143,19108,20285.0
127,QUAD,200,20308,100,113.0
128,QUAD,100,76,75,113.0
129,QUAD,19117,20296,20180,20171.0
130,QUAD,139,19118,19117,143.0
131,TRIA,58,19108,143,
132,QUAD,202,143,19117,20171.0
133,QUAD,143,202,163,58.0
134,QUAD,19108,20200,95,20285.0
135,QUAD,149,116,94,131.0
136,QUAD,20289,160,20318,19408.0
137,QUAD,92,1,85,63.0
138,QUAD,58,163,162,20174.0
139,QUAD,20360,186,185,20373.0
140,QUAD,109,20383,114,146.0
141,TRIA,19606,91,19,
142,QUAD,199,90,91,51.0
143,QUAD,83,23,80,56.0
144,QUAD,103,170,171,20309.0
145,QUAD,119,123,196,117.0
146,QUAD,20309,171,168,20238.0
147,QUAD,50,42,20331,81.0
148,QUAD,20373,185,184,141.0
149,QUAD,20261,20322,130,134.0
151,QUAD,20391,20261,134,154.0
152,QUAD,100,20308,87,61.0
153,QUAD,146,114,96,6514.0
154,QUAD,6,68,89,145.0
155,QUAD,50,20378,114,20383.0
156,QUAD,76,100,61,169.0
157,QUAD,201,147,127,111.0
158,QUAD,184,118,38,183.0
159,QUAD,20373,141,142,20146.0
160,QUAD,80,46,107,111.0
161,TRIA,182,19004,121,
162,QUAD,118,20371,20368,38.0
163,TRIA,180,20227,179,
165,TRIA,182,124,69,
166,QUAD,179,20227,20197,181.0
167,QUAD,19004,128,19013,20336.0
168,QUAD,20296,179,122,19118.0
169,QUAD,2,20391,154,159.0
170,TRIA,20233,126,20234,
171,TRIA,74,70,96,
172,QUAD,20378,74,96,114.0
173,QUAD,48,151,47,81.0
174,QUAD,20390,2,159,158.0
175,QUAD,140,20227,20195,20196.0
176,QUAD,135,199,51,20222.0
177,QUAD,148,20177,116,149.0
178,QUAD,20265,135,138,19568.0
179,QUAD,19564,136,135,20265.0
180,QUAD,17165,176,137,164.0
181,QUAD,137,176,20383,109.0
183,QUAD,13,20390,158,157.0
184,QUAD,193,191,176,20383.0
185,QUAD,44,20161,74,47.0
186,QUAD,123,13,157,156.0
188,QUAD,155,196,123,156.0
189,QUAD,20293,172,161,19242.0
190,QUAD,19115,180,179,20296.0
191,QUAD,20296,179,181,19117.0
192,QUAD,190,192,20203,166.0
193,QUAD,20219,177,178,19818.0
194,QUAD,42,50,20383,176.0
195,QUAD,162,163,60,20176.0
196,TRIA,19456,161,172,
197,QUAD,177,191,193,20231.0
198,QUAD,10,183,17165,164.0
199,QUAD,19568,20215,175,20265.0
200,QUAD,192,190,211,9.0
202,TRIA,19617,174,155,
203,QUAD,17753,204,20148,20344.0
205,QUAD,20238,168,189,15.0
206,QUAD,15,189,188,106.0
207,QUAD,106,188,187,72.0
208,QUAD,72,187,186,20360.0
209,QUAD,160,206,173,20318.0
211,QUAD,20265,175,174,19617.0
213,QUAD,141,184,183,10.0
214,QUAD,117,196,195,65.0
215,TRIA,20233,17753,28,
216,QUAD,19115,198,197,20179.0
217,QUAD,37,207,198,19115.0
218,QUAD,206,201,153,173.0
219,QUAD,148,73,49,20177.0
220,QUAD,169,112,73,148.0
221,QUAD,61,132,112,169.0
222,TRIA,19624,20234,126,
223,QUAD,9,211,25,99.0
224,QUAD,113,129,19336,200.0
225,QUAD,25,211,160,20289.0
226,QUAD,165,190,166,147.0
227,QUAD,201,206,165,147.0
228,TRIA,20175,202,20171,
229,QUAD,87,150,132,61.0
230,QUAD,117,65,203,204.0
231,QUAD,204,17753,119,117.0
36628,QUAD,121,19004,20336,20229.0
36825,QUAD,15,20143,20167,20238.0
36826,QUAD,12,32,20302,14.0
38077,QUAD,19288,19242,20181,55.0
38307,TRIA,19242,19288,20288,
38569,QUAD,19512,101,19564,20266.0
38670,QUAD,82,19564,20265,19617.0
39403,QUAD,104,19456,20285,20185.0
39694,QUAD,19564,101,19568,20265.0
39695,QUAD,200,19336,20288,19408.0
39974,TRIA,20215,20213,175,
40077,QUAD,175,20213,53,174.0
40343,QUAD,20226,20253,20271,20266.0
40358,QUAD,85,1,19512,77.0
40369,QUAD,11,20224,92,63.0
40375,QUAD,20271,83,56,77.0
40397,QUAD,56,127,85,77.0
40399,TRIA,85,127,147,
40400,TRIA,165,206,160,
40404,QUAD,20289,19408,20288,19288.0
40405,TRIA,19288,25,20289,
40410,QUAD,19336,20293,19242,20288.0
40443,QUAD,20309,20238,20167,20163.0
40455,QUAD,20313,12,171,170.0
40458,QUAD,20165,103,20309,20163.0
40464,QUAD,20313,31,32,12.0
40466,QUAD,20318,173,87,20308.0
40472,QUAD,20308,200,19408,20318.0
40475,QUAD,14,20302,20235,20.0
40478,QUAD,20321,134,130,20235.0
40481,QUAD,20325,20321,20235,20302.0
40484,QUAD,102,20321,20325,23.0
40490,QUAD,209,20159,152,151.0
40492,QUAD,48,81,20331,35.0
40494,QUAD,19793,78,20229,20336.0
40497,QUAD,120,6,121,20260.0
40501,QUAD,62,17,145,89.0
40565,QUAD,22,20322,59,34.0
40569,QUAD,34,59,20359,36.0
40574,QUAD,20261,20259,59,20322.0
40587,QUAD,20258,27,20368,20371.0
40588,QUAD,20368,27,45,29.0
40589,QUAD,20368,29,40,38.0
40590,QUAD,8,20258,20371,20359.0
40595,QUAD,36,20359,20371,118.0
40596,QUAD,41,20360,20373,20146.0
40598,QUAD,141,10,16,142.0
40599,QUAD,164,20145,16,10.0
40617,QUAD,146,6514,64,20061.0
40620,QUAD,47,74,20378,81.0
40626,QUAD,29,20331,42,40.0
40627,QUAD,45,78,19793,35.0
40637,QUAD,64,6514,5024,20035.0
40641,QUAD,6514,96,70,4287.0
40665,QUAD,4287,70,19826,7.0
40669,QUAD,194,19851,20035,5024.0
40670,TRIA,6514,4287,5024,
40671,TRIA,5024,19843,6514,
40672,TRIA,19844,6514,4287,
40675,QUAD,191,177,20219,212.0
40678,QUAD,20384,71,19791,19816.0
40684,QUAD,19815,19794,19816,20384.0
40685,QUAD,20384,20336,19793,19815.0
40686,QUAD,20384,19816,19789,19790.0
40688,QUAD,19790,19004,20336,20384.0
40689,QUAD,19787,67,20384,19816.0
40690,QUAD,20384,67,20229,20336.0
40706,QUAD,20260,20256,20386,20385.0
40708,QUAD,20256,18,20370,20386.0
40711,QUAD,20385,20386,4,20388.0
40713,QUAD,20370,8,20259,20389.0
40714,QUAD,2,20390,20388,4.0
40716,QUAD,20389,20259,20261,20391.0
40717,QUAD,159,154,102,86.0
40718,QUAD,154,134,20321,102.0
40721,QUAD,20226,79,20250,20266.0
40724,QUAD,20211,20208,20250,5.0
40725,QUAD,20208,19512,20266,20250.0
40726,QUAD,51,93,30,20222.0
40728,TRIA,136,20222,135,
40729,QUAD,20222,30,20218,20225.0
40731,QUAD,91,51,98,19.0
40732,TRIA,20220,20222,20225,
40734,QUAD,135,20222,20225,138.0
40736,QUAD,92,20224,2406,167.0
40739,QUAD,20283,54,20190,20193.0
40740,QUAD,19408,54,20283,20288.0
40743,QUAD,20283,88,20192,20193.0
40749,QUAD,19336,88,20283,20288.0
40750,QUAD,20184,144,20283,20193.0
40752,QUAD,20288,20283,144,19288.0
40757,QUAD,20194,52,20283,20193.0
40759,QUAD,52,19242,20288,20283.0
