N,X,Y,Z
73124976,892.3087,748.4895,636.1227
73124977,863.7055,748.4002,633.8666
73124978,888.4804,748.6213,635.0373
73124979,854.2729,746.4562,644.2965
73124980,869.5758,748.7252,631.4145
73124981,865.5003,748.003,639.2363
73124982,844.2831,742.2624,656.2415
73124983,872.1779,748.4987,636.6562
73124984,849.2967,745.342,647.2781
73124985,873.8397,748.7629,632.5025
73124986,847.1967,743.8997,652.0974
73124987,870.1106,748.0116,641.0287
73124988,877.0594,748.5181,637.7646
73124989,853.7499,745.5619,648.5125
73124990,880.2567,748.8291,629.0243
73124991,867.5221,747.289,645.3364
73124992,857.4175,744.6886,653.7677
73124993,878.7086,748.7696,633.3753
73124994,862.4141,746.0253,650.1531
73124995,885.5005,748.7473,630.2034
73124996,872.0647,747.2777,646.9047
73124997,875.3133,747.9824,642.8533
73124998,882.0149,748.5486,637.9305
73124999,861.7604,744.8986,654.6643
73125000,871.1732,746.3742,651.5127
73125001,876.19,747.3165,647.7654
73125002,880.8703,748.0848,643.0655
73125003,861.1452,743.5396,659.2668
73125004,870.4144,745.2444,656.201
73125005,880.4308,747.4122,648.0308
73125006,875.455,746.4592,652.2588
73125007,869.7042,743.8942,660.8837
73125008,874.717,745.3581,656.9213
73125009,879.7491,746.536,652.8228
73125010,873.9989,744.0313,661.5985
73125011,879.0181,745.4415,657.5738
73125012,900.2486,747.993,640.8082
73125013,878.2938,744.1315,662.2768
73125014,898.5779,747.6504,645.9399
73125015,897.5125,747.0782,650.7569
73125016,904.9666,747.5829,643.6921
73125018,903.1216,747.317,647.5999
73125020,896.6479,746.2874,655.5151
73125021,902.1661,746.8001,651.9015
73125022,907.97,747.0793,647.6938
73125023,895.8841,745.2785,660.2467
73125024,901.3168,746.0558,656.4313
73125025,906.6987,746.5127,652.7646
73125026,912.0008,746.5995,649.9978
73125027,895.1595,744.0537,664.9412
73125028,900.6265,745.0806,661.0699
73125029,905.8259,745.801,657.1939
73125030,899.9781,743.883,665.7307
73125031,909.9974,745.5463,657.7417
73125032,905.325,744.8416,661.8146
73125033,910.0022,744.5688,662.4467
73125034,904.8382,743.6543,666.4976
73125035,918.4644,745.0559,657.8741
73125036,914.8308,744.2683,662.8999
73125037,909.8384,743.3521,667.2807
73125038,920.5579,743.821,663.4553
73125039,924.8423,741.9285,669.9529
73125040,897.7541,748.2857,636.0617
73125041,863.2393,748.6321,628.6382
73125042,867.7362,748.4599,635.2979
73125043,858.1875,745.8287,649.3191
73125044,856.756,747.9473,634.7908
73125045,864.7332,742.109,664.8486
73125046,865.413,743.7249,660.1208
73125047,866.0897,745.0958,655.4287
73125048,866.7943,746.2604,650.6567
73125049,887.0717,748.5938,625.6271
73125050,865.8876,748.6675,630.2702
73125051,881.8226,748.6808,624.1057
73125052,840.7475,742.1628,654.8019
73125053,930.4996,741.4579,670.0851
73125054,883.6946,748.7226,634.1957
73125055,848.3256,742.6052,657.0513
73125056,852.8061,744.3982,652.8846
73125057,860.4673,741.8524,664.1467
73125058,862.9212,746.8862,645.9439
73125059,860.2895,748.3943,631.4471
73125062,896.1638,756.8936,633.8358
73125105,895.8369,753.9243,633.5457
73125108,891.7298,754.5856,632.6734
73125116,892.1009,757.552,632.9379
73125177,896.6228,754.8768,630.7667
73125178,892.4484,755.4802,629.8685
73125179,876.2787,755.0527,626.1633
73125180,872.1268,755.7972,625.2751
73125181,871.4007,754.6744,627.9817
73125182,875.5089,754.0707,628.8935
73125183,857.4649,748.4251,658.6394
73125184,853.3598,748.9912,657.7264
73125185,852.8314,749.6455,660.6227
73125186,856.919,749.2514,661.4994
73125187,919.9538,747.6746,669.9506
73125188,915.8534,748.2503,669.0401
73125189,915.36,749.1415,671.9273
73125190,919.3858,748.3271,672.8273
73125191,856.9468,743.4006,658.1415
