N,X,Y,Z
3,778.9112,-694.228,581.634
5,776.3755,-693.151,584.473
7,815.3918,-698.206,581.4145
9,856.1404,-696.592,593.6429
11,824.3762,-698.649,581.4032
13,831.3584,-703.562,561.1976
15,831.4164,-699.659,561.3323
17,874.1695,-696.293,588.9897
19,794.594,-696.68,579.7771
21,870.226,-696.419,590.3599
23,787.5015,-695.776,580.0411
25,843.9893,-699.178,578.2465
27,833.9818,-699.345,577.1145
29,850.0015,-699.33,570.9834
31,851.3767,-699.251,567.7197
33,854.9222,-699.076,569.9961
35,780.7579,-693.826,584.5883
37,824.1831,-697.854,586.2188
39,845.6018,-696.951,592.9118
41,819.9196,-697.638,586.2145
43,849.2527,-699.267,574.4368
45,810.9529,-698.141,546.5132
47,844.551,-699.455,573.6659
49,857.0209,-698.919,568.1137
51,820.7085,-699.521,571.1296
53,809.7238,-699.053,570.7104
55,794.7974,-698.321,563.8403
57,815.3619,-698.866,576.4129
59,850.2454,-696.832,593.2354
61,851.0986,-697.712,588.5587
64,852.7578,-698.362,583.76
66,860.8568,-698.68,571.5003
68,815.5914,-699.344,570.8473
70,853.6687,-699.125,572.5012
72,836.3154,-699.397,558.5557
74,840.7978,-699.479,561.7426
76,858.8804,-698.495,579.4875
78,816.6534,-698.236,546.7014
80,846.5466,-697.87,588.1557
82,821.7796,-698.388,547.7173
84,801.0141,-695.244,589.7554
86,796.3106,-698.021,570.9918
88,860.9802,-697.758,585.1523
90,790.1628,-696.644,576.9234
92,835.3285,-699.763,567.1122
94,805.6221,-699.075,564.5708
96,792.8398,-697.375,573.8235
100,830.3127,-699.445,557.7112
102,831.4788,-698.523,549.6493
104,857.6759,-698.162,583.3987
106,854.9004,-697.604,588.4223
110,857.979,-697.738,586.588
114,864.4101,-697.43,586.04
116,866.8753,-696.629,590.4976
971,839.1043,-698.673,552.556
973,782.8855,-694.735,582.0371
975,800.4202,-700.953,584.2079
977,785.7248,-694.928,583.0035
979,798.1137,-696.613,582.2395
981,800.8701,-698.447,570.6105
994,795.237,-696.019,583.6
1001,800.4918,-696.446,584.337
1010,815.7289,-698.981,552.7905
1012,810.5706,-698.798,552.0668
1013,801.7877,-698.831,564.5796
1014,804.9651,-698.935,567.5918
1018,797.6787,-698.396,567.5846
1020,869.422,-701.182,586.2998
3858,869.2287,-697.03,586.7282
4803,863.5511,-696.898,590.2479
5064,858.5166,-697.286,589.5194
12505,865.2149,-697.96,580.8849
12935,860.1127,-698.651,575.4363
12937,857.0219,-698.932,572.4749
12941,853.221,-699.048,575.4548
12981,856.1382,-698.728,578.4023
15717,863.6453,-701.974,590.2966
15721,827.9336,-703.668,560.7076
15729,833.5397,-699.349,557.1828
15730,835.4075,-699.628,561.9003
15754,836.3511,-699.14,555.7157
15759,834.2838,-703.77,555.2526
15802,831.218,-699.189,554.987
16963,812.0259,-707.896,551.9425
16980,812.1583,-705.685,549.4052
18224,816.5651,-707.42,552.6029
18227,802.6181,-706.662,564.5133
18328,805.3138,-705.345,567.4337
18455,801.6024,-705.192,570.4361
18503,802.1762,-706.529,567.4548
18575,798.7334,-704.951,567.522
18621,800.1969,-702.534,586.7571
18623,800.8086,-704.576,584.15
18669,797.3498,-704.939,583.6468
18744,784.3659,-697.317,581.801
18776,785.7406,-696.54,573.9962
18829,788.8534,-697.315,570.5103
18924,788.3049,-693.861,588.8239
18937,792.4108,-694.349,589.1283
18990,782.1464,-695.429,578.017
18999,778.0766,-692.478,588.0466
19000,783.1189,-693.189,588.4335
19002,825.6909,-696.467,591.4998
19003,805.8275,-695.668,590.1013
19004,810.6195,-696.034,590.4433
19005,815.3196,-696.339,590.7771
19026,820.2118,-696.597,591.1238
19027,796.9925,-694.847,589.4639
19034,826.7437,-698.482,548.7045
19055,800.642,-698.715,557.2628
19057,804.8164,-698.642,552.5549
19062,807.6161,-698.43,549.3938
19065,811.7096,-699.391,563.8764
19244,798.3228,-698.628,559.875
19256,791.8556,-697.9,567.1438
19282,834.3909,-696.657,592.1589
19423,829.9134,-696.25,591.4718
19425,876.3387,-695.064,594.9607
19426,870.9004,-695.588,594.6246
19428,861.6233,-696.29,594.0165
19429,866.3664,-695.962,594.3322
19430,871.1727,-697.121,584.5945
19432,840.3775,-697.016,592.5464
19437,867.771,-697.849,579.6454
19438,865.852,-701.738,581.1484
19439,866.4228,-705.122,581.3845
19442,864.4813,-698.34,575.1269
19445,857.8408,-706.655,572.4094
19446,854.2791,-705.657,575.3909
19449,856.8504,-705.288,578.2326
19450,857.4141,-706.597,575.3006
19452,860.8746,-706.38,575.294
19453,859.878,-705.903,589.6426
19454,859.325,-703.851,592.0834
19456,864.0443,-705.463,590.0738
19457,863.8531,-705.505,591.3562
19458,863.4326,-703.42,592.6809
19459,869.573,-704.424,585.9652
19463,853.4218,-699.048,564.9933
19466,828.367,-707.404,560.6481
19467,835.7913,-703.523,561.8286
19468,835.7551,-707.371,561.6988
19469,836.121,-707.799,555.369
19471,835.4345,-698.525,550.4839
19472,833.3466,-708.09,554.9654
19474,842.4555,-698.895,555.5588
19475,849.6156,-699.089,561.7513
19476,847.0193,-699.062,559.554
19480,836.8493,-704.164,555.6015
19481,827.4676,-699.653,560.7715
19482,859.5017,-702.468,589.8149
19483,812.825,-699.097,554.8331
19484,798.349,-701.17,583.9051
19485,795.8736,-701.535,583.7207
19486,816.207,-703.793,552.6753
19487,812.1549,-704.218,552.0859
19491,820.3807,-699.341,556.222
19492,821.0021,-698.993,552.4074
19493,807.3963,-699.113,558.5354
19494,804.7427,-699.042,561.3546
19496,827.5634,-698.048,585.9054
19497,831.4295,-698.077,586.4112
19500,845.324,-699.53,569.1608
19503,825.2703,-699.459,557.4891
19505,806.0961,-698.963,556.4784
19506,826.0509,-699.083,553.3406
19507,822.6675,-699.649,561.2991
19508,810.6185,-699.235,558.2994
19509,809.3835,-699.273,561.2337
19511,861.5824,-700.143,590.1037
