N,X,Y,Z
73000555,831.6585,-702.239,562.8149
73000556,828.0532,-702.445,562.2961
73000557,835.1483,-702.049,563.317
73022884,861.2601,-699.612,590.3
73022885,858.723,-699.83,589.9323
73022886,863.934,-699.37,590.6879
73022887,861.5674,-699.69,588.2432
73022888,864.549,-697.167,588.1896
73022889,867.841,-696.483,591.0458
73022890,875.0178,-696.025,590.2401
73022891,871.2861,-696.238,590.9429
73022892,864.3183,-697.807,583.2316
73022893,861.2155,-698.048,582.8818
73022894,798.0398,-698.855,584.3634
73022895,795.5732,-699.072,583.995
73022896,800.5599,-698.768,584.7364
73022897,798.3392,-698.962,582.3816
73022898,813.5097,-701.594,551.9253
73022899,811.1539,-702.225,551.5685
73022900,816.0515,-701.542,552.2872
73022901,813.2705,-702.349,554.1137
73022902,865.8188,-701.541,581.1347
73022903,867.4792,-701.194,583.5455
73022904,869.4009,-700.727,586.3467
73038177,861.5669,-702.192,590.0496
73038178,861.3782,-703.635,592.3821
73038179,859.325,-703.851,592.0834
73038180,863.4326,-703.42,592.6809
73038181,859.4969,-702.409,589.7485
73038182,863.6369,-701.975,590.3508
73038183,796.0893,-702.964,586.1596
73038184,800.1969,-702.534,586.7571
73038185,800.4011,-701.089,584.4269
73038186,796.2612,-701.523,583.8247
73038187,798.3312,-701.306,584.1258
73038188,798.1749,-702.746,586.4629
73038189,834.8413,-705.736,552.6262
73038190,834.3896,-704.443,555.0099
73038191,836.9509,-705.515,552.9331
73038192,832.7911,-705.951,552.328
73038193,832.3141,-704.661,554.708
73038194,836.4652,-704.226,555.3119
73038195,813.7569,-704.177,552.0871
73038196,814.2226,-705.469,549.7055
73038197,815.8324,-703.96,552.3891
73038198,812.1583,-705.685,549.4052
73038199,816.3181,-705.249,550.0103
73038200,811.6813,-704.395,551.7852
73038201,831.8517,-702.169,561.3128
73038202,828.2464,-702.375,560.7939
73038203,835.3415,-701.979,561.8148
73038204,867.9339,-704.81,583.5779
73038205,866.4228,-705.122,581.3845
73038206,869.573,-704.424,585.9652
73038207,797.6787,-698.395,567.5847
73038208,801.3343,-698.682,567.5894
73038209,801.7877,-698.831,564.5796
73038210,787.9658,-696.453,576.4576
73038211,787.282,-696.945,572.2706
73038212,783.8559,-695.986,576.1051
73038213,784.4898,-695.347,580.1765
73038214,784.6001,-694.575,583.8592
73038215,788.1744,-695.071,583.8747
73038216,788.1033,-695.839,580.1159
73038217,792.0291,-697.393,572.9545
73038218,793.6004,-697.893,569.5266
73038219,790.7161,-697.696,568.4221
73038220,781.1492,-694.083,583.7718
73038221,777.385,-693.595,583.3404
73038222,775.2424,-692.264,587.3363
73038223,781.2286,-692.929,588.2893
73038224,780.5402,-694.857,579.8129
73038225,795.5309,-696.833,579.4872
73038226,791.797,-696.33,579.9338
73038227,791.8957,-695.604,583.6517
73038228,795.1641,-695.916,584.0473
73038229,793.4146,-698.141,565.3937
73038230,795.3239,-694.671,589.3422
73038231,798.4262,-694.993,589.5681
73038232,797.748,-696.135,584.4094
73038233,791.6754,-696.892,576.4428
73038234,784.5501,-693.381,588.5419
73038235,788.0566,-693.83,588.8054
73038236,795.5929,-697.511,574.9949
73038237,791.6818,-694.265,589.0746
