M,type,N1,N2,N3,N4
73039086,QUAD,73038404,73038443,73038396,73038399.0
73039087,QUAD,73038405,73038286,73038407,73038406.0
73039088,QUAD,73038245,73038238,73038239,73038265.0
73039089,QUAD,73038355,73038290,73038292,73038408.0
73039090,QUAD,73038409,73038402,73038316,73038410.0
73039091,QUAD,73038411,73038387,73038412,73038356.0
73039092,QUAD,73038371,73038408,73038413,73038372.0
73039093,QUAD,73038357,73038380,73038304,73038302.0
73039094,QUAD,73038247,73038267,73038269,73038244.0
73039095,QUAD,73038337,73038280,73038372,73038333.0
73039096,QUAD,73038281,73038241,73038257,73038414.0
73039097,QUAD,73038283,73038287,73038272,73038282.0
73039098,QUAD,73022889,73038415,73038416,73038294.0
73039099,QUAD,73038389,73038371,73038203,73038201.0
73039100,QUAD,73038199,73038196,73038195,73038197.0
73039101,QUAD,73038417,73038420,73038419,73038418.0
73039102,QUAD,73038418,73038419,73038208,73038375.0
73039103,QUAD,73038419,73038421,73038422,73038420.0
73039104,QUAD,73038207,73038421,73038419,73038208.0
73039105,QUAD,73038423,73038420,73038419,73038424.0
73039106,QUAD,73038424,73038419,73038208,73038209.0
73039107,QUAD,73038425,73038426,73038427,73038428.0
73039108,QUAD,73038426,73038380,73038412,73038427.0
73039109,QUAD,73022884,73038177,73038182,73022886.0
73039110,QUAD,73038419,73038420,73038430,73038429.0
73039111,QUAD,73038342,73038208,73038419,73038429.0
73039112,QUAD,73038428,73038432,73038431,73038427.0
73039113,QUAD,73038427,73038431,73038356,73038412.0
73039114,QUAD,73022902,73038330,73038344,73022903.0
73039115,QUAD,73022903,73038344,73038325,73022904.0
73039116,QUAD,73038288,73038290,73038433,73038289.0
73039117,QUAD,73038434,73038435,73038190,73038193.0
73039118,QUAD,73038435,73038436,73038194,73038190.0
73039119,QUAD,73038428,73038438,73038437,73038427.0
73039120,QUAD,73038427,73038437,73038387,73038412.0
73039121,QUAD,73038440,73038428,73038427,73038441.0
73039122,QUAD,73038441,73038427,73038412,73038312.0
73039123,QUAD,73038370,73038401,73038363,73038361.0
73039124,QUAD,73038177,73038394,73038442,73038181.0
73039125,QUAD,73038190,73038189,73038192,73038193.0
73039126,QUAD,73038191,73038189,73038190,73038194.0
73039127,QUAD,73022894,73038232,73038228,73022895.0
73039128,QUAD,73038197,73022900,73022898,73038195.0
73039129,QUAD,73038180,73038182,73038177,73038178.0
73039130,QUAD,73022896,73038338,73038232,73022894.0
73039131,QUAD,73038393,73038439,73038197,73038195.0
73039132,QUAD,73038336,73038365,73038366,73038209.0
73039133,QUAD,73038229,73038207,73038341,73038218.0
73039134,QUAD,73038218,73038341,73038236,73038217.0
73039135,QUAD,73038400,73038364,73038404,73038399.0
73039136,QUAD,73038400,73038374,73038366,73038364.0
73039137,QUAD,73038396,73038443,73038398,73038352.0
73039138,QUAD,73038399,73038396,73038352,73038353.0
73039139,QUAD,73038326,73038343,73038353,73038352.0
73039140,QUAD,73038373,73038209,73038366,73038374.0
73039141,QUAD,73038347,73038236,73038341,73038342.0
73039142,QUAD,73038370,73038374,73038400,73038401.0
73039143,QUAD,73038373,73038375,73038208,73038209.0
73039144,QUAD,73038444,73038327,73038328,73038445.0
73039145,QUAD,73038397,73038342,73038208,73038375.0
73039146,QUAD,73038353,73038343,73038363,73038401.0
73039147,QUAD,73038444,73038445,73038446,73038433.0
73039148,QUAD,73038252,73038249,73038361,73038362.0
73039149,QUAD,73038397,73038346,73038347,73038342.0
73039150,QUAD,73038277,73038278,73038327,73038444.0
73039151,QUAD,73038444,73038433,73038447,73038277.0
73039152,QUAD,73038375,73038305,73038354,73038397.0
73039153,QUAD,73038277,73038447,73038390,73038276.0
73039154,QUAD,73038348,73038232,73038228,73038225.0
73039155,QUAD,73038258,73038354,73038305,73038250.0
73039156,QUAD,73038339,73038338,73038232,73038348.0
73039157,QUAD,73038446,73038384,73038290,73038433.0
73039158,QUAD,73038355,73038447,73038433,73038290.0
73039159,QUAD,73038227,73038228,73038230,73038237.0
73039160,QUAD,73038381,73038382,73038292,73038385.0
73039161,QUAD,73038231,73038232,73038338,73038369.0
73039162,QUAD,73038388,73038276,73038390,73038448.0
73039163,QUAD,73038355,73038389,73038390,73038447.0
73039164,QUAD,73038254,73038388,73038448,73038255.0
73039165,QUAD,73038413,73038408,73038292,73038382.0
73039166,QUAD,73038414,73038448,73038390,73038389.0
73039167,QUAD,73038253,73038256,73038269,73038263.0
73039168,QUAD,73038408,73038371,73038389,73038355.0
73039169,QUAD,73038382,73038324,73038322,73038413.0
73039170,QUAD,73038317,73038315,73038316,73038402.0
73039171,QUAD,73038251,73038253,73038263,73038261.0
73039172,QUAD,73038255,73038448,73038414,73038257.0
73039173,QUAD,73038260,73038262,73038410,73038316.0
73039174,QUAD,73038262,73038267,73038268,73038410.0
73039175,QUAD,73038322,73038333,73038372,73038413.0
73039176,QUAD,73038403,73038402,73038409,73038449.0
73039177,QUAD,73038414,73038389,73038371,73038281.0
73039178,QUAD,73038332,73038383,73038314,73038386.0
73039179,QUAD,73038406,73038449,73038409,73038405.0
73039180,QUAD,73038256,73038246,73038244,73038269.0
73039181,QUAD,73038268,73038405,73038409,73038410.0
73039182,QUAD,73038287,73038248,73038264,73038272.0
73039183,QUAD,73038271,73038264,73038265,73038273.0
73039184,QUAD,73038286,73038405,73038268,73038266.0
73039185,QUAD,73038242,73038334,73038275,73038273.0
73039186,QUAD,73038386,73038314,73038311,73038335.0
73039187,QUAD,73038335,73038243,73038337,73038386.0
73039188,QUAD,73038272,73038270,73038368,73038282.0
73039189,QUAD,73038411,73038275,73038334,73038387.0
73039190,QUAD,73038271,73038274,73038376,73038270.0
73039191,QUAD,73038275,73038411,73038310,73038274.0
73039192,QUAD,73038283,73038284,73038407,73038286.0
73039193,QUAD,73038312,73038412,73038387,73038311.0
73039194,QUAD,73038310,73038411,73038356,73038309.0
73039195,QUAD,73038380,73038412,73038312,73038379.0
73039196,QUAD,73038412,73038380,73038357,73038356.0
73039197,QUAD,73038376,73038450,73038368,73038270.0
73039198,QUAD,73038368,73038450,73038451,73038367.0
73039199,QUAD,73038307,73038358,73038450,73038376.0
73039200,QUAD,73038358,73038359,73038451,73038450.0
73039201,QUAD,73038308,73038297,73038349,73038350.0
73039202,QUAD,73038452,73038344,73038330,73038331.0
73039203,QUAD,73038350,73038349,73038453,73038360.0
73039204,QUAD,73038349,73038294,73038416,73038453.0
73039205,QUAD,73038351,73038325,73038344,73038452.0
73039206,QUAD,73022891,73038300,73038415,73022889.0
73039207,QUAD,73038183,73038188,73038187,73038186.0
73039208,TRIA,73038207,73038209,73038208,
73039209,TRIA,73038210,73038212,73038211,
73039210,TRIA,73038218,73038219,73038229,
73039211,TRIA,73038221,73038224,73038220,
73039212,TRIA,73038213,73038224,73038212,
73039213,TRIA,73038217,73038236,73038233,
73039214,TRIA,73038293,73038190,73038288,
73039215,TRIA,73038302,73038304,73038303,
73039216,TRIA,73038322,73038324,73038323,
73039217,TRIA,73038299,73038295,73038325,
73039218,TRIA,73022897,73038187,73022894,
73039219,QUAD,73038353,73022901,73022898,73038352.0
73039220,TRIA,73038364,73038366,73038365,
73039221,TRIA,73038297,73038296,73022888,
73039222,TRIA,73038379,73038304,73038380,
73039223,TRIA,73038381,73038324,73038382,
73039224,TRIA,73038323,73038383,73038332,
73039225,QUAD,73038297,73038349,73022884,73022887.0
73039226,TRIA,73038197,73038439,73038199,
73039227,TRIA,73038181,73038442,73038179,
73039228,TRIA,73038185,73038184,73038378,
73039229,TRIA,73038186,73038391,73038183,
73039230,TRIA,73038194,73038436,73038191,
73039231,TRIA,73038193,73038192,73038434,
73039232,TRIA,73038182,73038180,73038395,
73039233,TRIA,73038200,73038198,73038392,
73039234,TRIA,73038313,73038379,73038312,
73039235,QUAD,73038296,73022892,73038344,73038325.0
