M,type,N1,N2,N3,N4
1,QUAD,421,19703,29,19713.0
2,QUAD,15834,75,6223,19624.0
3,QUAD,273,264,19713,29.0
4,QUAD,430,77,18530,433.0
5,QUAD,131,193,19695,19721.0
6,QUAD,79,18650,19559,18652.0
7,TRIA,465,19747,144,
8,QUAD,6,364,19466,62.0
9,QUAD,85,4833,6223,19634.0
10,QUAD,236,139,19633,285.0
11,QUAD,19485,103,67,18774.0
12,TRIA,138,19641,281,
13,TRIA,19787,364,6,
14,QUAD,469,213,19030,470.0
15,QUAD,462,43,318,319.0
16,QUAD,200,19787,6,137.0
17,QUAD,99,255,19559,18650.0
18,QUAD,10,59,416,425.0
19,QUAD,301,19698,275,298.0
20,QUAD,302,228,19692,303.0
21,QUAD,464,121,19790,129.0
22,QUAD,328,179,13,19675.0
23,QUAD,89,238,19388,92.0
24,QUAD,486,77,19398,477.0
25,QUAD,15834,305,168,75.0
26,QUAD,427,19440,106,40.0
27,QUAD,219,174,19434,45.0
28,QUAD,471,19032,19516,470.0
29,QUAD,398,19439,18859,401.0
30,TRIA,272,297,39,
31,QUAD,19754,355,196,136.0
32,QUAD,84,19491,92,167.0
33,QUAD,440,257,3,70.0
34,QUAD,202,200,137,113.0
35,QUAD,75,168,237,227.0
36,QUAD,16995,138,288,19590.0
37,QUAD,124,458,83,187.0
38,QUAD,19634,140,19626,85.0
39,QUAD,431,82,175,68.0
40,QUAD,395,401,18859,19454.0
41,QUAD,19764,473,4,83.0
42,QUAD,61,487,394,19453.0
43,QUAD,18530,246,373,433.0
44,QUAD,18,355,19754,19765.0
45,QUAD,16995,54,19402,19399.0
46,QUAD,380,73,345,381.0
47,QUAD,261,33,203,264.0
48,QUAD,115,428,19032,295.0
49,QUAD,19032,471,296,295.0
50,QUAD,196,128,360,455.0
51,QUAD,306,12,19385,307.0
52,QUAD,285,246,486,176.0
54,TRIA,19451,19473,1,
55,QUAD,156,245,159,27.0
56,QUAD,459,347,19482,78.0
57,QUAD,28,20,21,42.0
58,QUAD,37,116,58,87.0
59,QUAD,19753,460,14,376.0
61,QUAD,180,117,119,205.0
62,QUAD,16,110,105,19401.0
63,QUAD,58,116,47,198.0
64,QUAD,305,15834,12,306.0
65,QUAD,86,351,308,174.0
66,QUAD,198,47,366,365.0
67,QUAD,47,116,57,115.0
68,QUAD,174,308,17,19434.0
69,TRIA,466,19474,19448,
70,QUAD,19698,346,278,275.0
71,QUAD,18954,58,198,86.0
72,QUAD,58,18954,19011,87.0
74,QUAD,38,5,20,28.0
75,QUAD,45,49,260,219.0
76,QUAD,205,119,199,273.0
77,QUAD,112,19427,18810,111.0
78,QUAD,173,37,87,93.0
79,QUAD,283,237,222,19682.0
80,QUAD,361,405,19739,128.0
81,QUAD,24,459,270,2206.0
82,QUAD,172,233,18255,122.0
83,QUAD,108,407,252,251.0
84,QUAD,417,19422,95,178.0
85,QUAD,157,19530,18810,19427.0
86,TRIA,112,22,19427,
88,QUAD,18360,463,25,457.0
89,QUAD,344,98,19626,190.0
90,QUAD,397,63,18806,400.0
91,QUAD,77,431,68,19398.0
92,TRIA,479,19483,8,
93,QUAD,178,170,93,18967.0
94,QUAD,18255,233,16,56.0
95,QUAD,19483,141,152,8.0
96,QUAD,490,151,152,347.0
97,QUAD,105,110,91,19.0
98,TRIA,472,72,127,
99,QUAD,10,142,19410,59.0
100,QUAD,304,209,440,70.0
101,QUAD,427,40,57,491.0
102,TRIA,392,19486,269,
103,TRIA,286,197,195,
104,QUAD,19442,309,454,19443.0
105,QUAD,19516,353,26,19032.0
106,QUAD,19442,19445,453,309.0
107,QUAD,384,38,28,385.0
108,QUAD,385,28,42,386.0
109,QUAD,122,288,18253,19678.0
110,QUAD,18,480,19773,482.0
111,QUAD,3,247,175,70.0
112,QUAD,14,218,19733,376.0
113,QUAD,322,78,181,19396.0
114,QUAD,320,479,8,19315.0
115,QUAD,391,361,19770,404.0
116,QUAD,85,19626,98,97.0
117,QUAD,273,199,261,264.0
118,QUAD,12,36,19379,19385.0
119,QUAD,4833,80,36,19624.0
120,QUAD,441,433,19577,100.0
121,QUAD,170,178,350,111.0
122,QUAD,362,187,83,134.0
123,TRIA,54,16995,19590,
124,QUAD,73,125,297,345.0
125,QUAD,19492,465,144,19488.0
126,QUAD,491,57,116,37.0
127,QUAD,201,134,83,4.0
128,QUAD,236,488,19394,90.0
129,TRIA,19474,19451,19448,
130,QUAD,323,18532,202,113.0
131,QUAD,284,19379,36,80.0
132,TRIA,261,263,33,
133,QUAD,19394,88,287,90.0
134,QUAD,19403,19020,106,215.0
135,QUAD,55,190,64,139.0
136,TRIA,19754,312,19765,
137,QUAD,4833,85,97,80.0
138,QUAD,202,18532,134,201.0
139,TRIA,314,18650,79,
140,QUAD,19559,148,104,18774.0
141,QUAD,19485,10,425,437.0
142,QUAD,332,103,19485,437.0
143,QUAD,407,108,103,332.0
144,QUAD,99,340,186,9.0
145,QUAD,19483,479,97,98.0
146,QUAD,109,166,19624,4833.0
147,QUAD,218,14,311,313.0
148,QUAD,100,48,268,19497.0
149,QUAD,19092,19085,333,19497.0
150,TRIA,392,19488,19486,
151,QUAD,251,301,11,250.0
152,QUAD,19590,127,107,16995.0
153,QUAD,146,102,19687,126.0
154,QUAD,111,350,150,112.0
155,QUAD,114,327,64,140.0
156,QUAD,283,372,227,237.0
157,QUAD,114,140,19634,227.0
158,QUAD,392,269,19508,161.0
159,QUAD,135,188,132,19773.0
160,QUAD,54,478,118,19402.0
161,QUAD,348,173,93,170.0
162,QUAD,190,19626,140,64.0
163,QUAD,277,19496,239,120.0
164,QUAD,19559,148,147,18652.0
165,QUAD,462,31,96,461.0
166,QUAD,139,64,327,19633.0
167,QUAD,218,248,420,19733.0
168,TRIA,348,18810,19530,
169,QUAD,18650,191,148,19559.0
170,QUAD,18578,325,311,217.0
