M,type,N1,N2,N3,N4
1,QUAD,13,29,19713,19703.0
2,QUAD,15834,75,6223,19624.0
4,QUAD,18350,77,18530,19577.0
5,QUAD,131,193,19695,19721.0
6,QUAD,79,18650,19559,18652.0
7,QUAD,100,19577,18357,46.0
8,QUAD,19787,19028,19466,19469.0
9,QUAD,19634,19626,4833,6223.0
10,QUAD,18530,113,64,19633.0
11,QUAD,19485,103,67,18774.0
12,QUAD,84,37,58,85.0
13,QUAD,29,163,137,19713.0
14,QUAD,19787,19030,19516,19028.0
15,QUAD,19724,160,31,43.0
17,QUAD,19408,19559,18650,9.0
18,QUAD,10,59,19,91.0
19,QUAD,19698,13,19703,11.0
20,QUAD,158,19705,19692,23.0
21,QUAD,115,37,84,65.0
22,QUAD,19675,40,120,179.0
23,TRIA,81,18650,79,
24,QUAD,18530,77,19398,187.0
25,QUAD,75,15834,23,19692.0
26,QUAD,19440,106,65,18859.0
27,QUAD,18954,83,19434,45.0
28,QUAD,19032,19516,19030,76.0
29,QUAD,19530,157,19439,18859.0
30,TRIA,2,1,19473,
32,TRIA,80,19380,89,
33,QUAD,3,70,19585,19491.0
34,TRIA,92,182,141,
35,QUAD,19692,19682,178,75.0
36,QUAD,16995,19641,18253,19590.0
37,QUAD,18360,19577,18530,19633.0
38,TRIA,19474,19011,169,
39,TRIA,19390,68,82,
40,QUAD,18859,19454,63,19530.0
41,QUAD,124,19764,4,52.0
42,QUAD,19454,19453,61,63.0
43,QUAD,19778,71,69,19413.0
44,QUAD,19765,18,99,19754.0
45,QUAD,16995,54,19402,19399.0
46,QUAD,19790,34,73,39.0
48,QUAD,19808,47,19032,76.0
49,QUAD,34,19808,76,73.0
51,QUAD,27,159,12,19385.0
52,QUAD,132,129,19770,19773.0
53,TRIA,19474,2,19473,
54,TRIA,1,19451,19473,
55,QUAD,158,159,27,156.0
56,QUAD,78,19313,116,119.0
57,QUAD,28,20,21,42.0
58,TRIA,84,85,87,
59,QUAD,19742,95,96,19718.0
60,TRIA,19451,19474,19473,
61,TRIA,78,128,19301,
62,QUAD,16,110,105,19401.0
63,QUAD,58,37,47,86.0
64,QUAD,12,159,23,15834.0
