M,type,N1,N2,N3,N4
1,QUAD,19703,13,29,19713.0
2,QUAD,15834,75,6223,19624.0
3,QUAD,19801,15,7,17.0
4,QUAD,19398,18530,19577,18350.0
5,QUAD,19485,19668,19695,19721.0
6,QUAD,79,18650,19559,18652.0
7,QUAD,19497,19577,18357,19064.0
8,QUAD,19469,19787,19028,19466.0
9,QUAD,19634,19626,4833,6223.0
10,QUAD,19,19492,19487,19765.0
11,TRIA,67,18774,19485,
12,TRIA,19,19754,19492,
13,QUAD,19713,29,31,19718.0
14,QUAD,19787,19030,19516,19028.0
15,QUAD,19718,31,43,19724.0
16,TRIA,18357,19676,19687,
17,QUAD,19559,18650,9,19408.0
18,TRIA,16995,19400,19399,
19,QUAD,19698,13,19703,11.0
20,QUAD,23,35,19705,19692.0
21,QUAD,55,53,19483,19626.0
22,TRIA,19474,19033,19011,
23,TRIA,81,18650,79,
24,TRIA,47,19032,19808,
25,QUAD,75,15834,23,19692.0
26,QUAD,19440,19020,65,18859.0
27,QUAD,18954,83,19434,45.0
28,QUAD,19032,19516,19030,76.0
29,QUAD,19439,19440,18859,19530.0
31,TRIA,53,19395,19396,
32,QUAD,19483,53,19396,19482.0
33,QUAD,18350,19585,19491,3.0
34,TRIA,5,19553,18604,
35,QUAD,75,19692,19682,25.0
36,QUAD,16995,19641,18253,19590.0
37,QUAD,18360,19577,18530,19633.0
38,QUAD,19753,19764,18578,37.0
39,TRIA,55,19633,19394,
40,QUAD,18859,19454,63,19530.0
42,QUAD,19454,19453,61,63.0
43,QUAD,19778,71,69,19413.0
44,QUAD,19765,19770,19762,19.0
45,QUAD,16995,19590,19402,19400.0
46,TRIA,19790,73,39,
47,QUAD,81,18578,19407,19405.0
48,TRIA,76,19808,19032,
49,QUAD,73,19790,19808,76.0
50,TRIA,19415,19752,19383,
51,QUAD,23,15834,19385,27.0
52,QUAD,57,19790,19770,19773.0
55,QUAD,23,27,33,35.0
58,TRIA,19447,19474,19448,
59,TRIA,19474,19011,18954,
60,TRIA,19448,19474,19033,
61,QUAD,19033,19473,19450,19448.0
62,TRIA,19447,19033,19474,
63,QUAD,19033,19447,19451,19473.0
65,TRIA,19801,83,19807,
66,QUAD,47,19808,19807,83.0
67,QUAD,85,65,19032,47.0
68,QUAD,83,19801,17,19434.0
71,QUAD,47,83,18954,85.0
72,QUAD,19011,87,85,18954.0
73,QUAD,18859,65,85,87.0
75,QUAD,19011,18954,45,49.0
78,QUAD,19530,18859,87,93.0
79,QUAD,93,87,19011,18967.0
80,QUAD,49,19422,18967,19011.0
81,TRIA,93,18810,19530,
82,QUAD,19431,19439,19530,18810.0
83,QUAD,18967,95,18810,93.0
84,QUAD,95,18967,19422,19423.0
85,QUAD,19427,19431,18810,95.0
86,QUAD,95,19423,19425,19427.0
87,QUAD,19033,19467,18967,19011.0
88,TRIA,19473,19467,19033,
89,TRIA,19473,19451,19450,
90,QUAD,18806,18810,19530,63.0
39160,TRIA,19396,19301,19482,
39162,QUAD,53,55,19394,19395.0
39168,QUAD,19482,19301,2206,19313.0
39172,QUAD,19634,19633,55,19626.0
39173,TRIA,18530,19398,19392,
39174,QUAD,19390,19398,18350,3.0
39176,QUAD,19313,19315,19483,19482.0
39182,QUAD,25,18360,19633,19634.0
