N,X,Y,Z
1,711.803207,-861.709343,914.709302
2,714.094356,-861.675458,919.82186
3,713.717478,-861.740534,919.998869
4,713.211833,-861.826293,920.236716
5,711.428389,-861.781455,914.884995
6,710.921303,-861.877385,915.122568
7,713.257921,-855.790035,921.370216
8,712.183809,-855.964638,921.876914
9,710.449477,-855.858964,915.088444
10,709.378207,-856.060688,915.590404
11,665.99133,-854.708932,878.717178
12,661.037952,-854.708036,877.142854
13,659.602312,-854.604281,876.356637
14,662.487409,-853.13846,872.382542
15,660.853659,-854.894331,877.761874
16,656.097531,-855.946508,880.592439
17,660.990387,-854.949699,878.005098
18,662.318611,-855.504373,880.512547
19,661.513189,-856.168996,883.008747
20,657.040086,-856.519514,883.35182
21,662.795985,-855.559035,880.875484
22,669.054936,-856.450299,886.80974
23,663.081182,-855.47506,880.633943
24,664.060887,-856.737293,886.384982
25,662.432445,-855.574044,880.822661
26,647.96317,-856.773797,882.822993
27,653.392101,-856.918642,884.460274
28,655.008789,-857.451994,887.654111
29,650.637152,-857.678118,888.26743
30,707.853054,-855.655374,909.137118
31,705.903124,-855.886306,908.544635
32,702.998612,-856.195608,907.548345
33,703.631754,-855.836611,905.601784
34,694.332384,-855.549838,896.060594
35,700.679787,-854.85062,897.382646
36,690.249229,-857.115726,902.053443
37,703.831616,-855.087016,901.221658
38,702.877154,-855.913599,905.343709
39,701.93598,-856.431452,908.230381
40,699.237253,-856.69123,907.311207
41,633.942724,-858.363917,905.794178
42,631.41377,-858.179153,905.273553
43,627.426776,-857.877184,903.77568
44,630.637515,-858.117117,905.192886
45,630.811064,-858.15866,904.10902
46,631.58308,-858.218651,904.185993
47,652.877469,-858.066312,891.173931
48,664.426367,-858.607014,898.192044
49,652.739499,-858.177308,891.966788
50,666.748491,-857.70279,892.481648
51,660.619848,-857.413537,888.810252
52,643.858331,-858.957654,904.758827
53,643.536727,-858.942937,904.610268
54,648.00948,-859.107969,904.867201
55,636.290881,-858.517188,900.019712
56,638.63388,-858.317908,894.257616
57,647.955283,-858.42976,893.757679
58,650.352538,-858.908696,899.105177
59,645.661306,-858.9547,910.641625
60,641.326632,-858.631617,912.030977
61,640.352058,-858.777161,906.336449
62,645.319975,-859.008994,907.860827
63,672.951954,-859.181584,917.195054
64,671.043757,-859.202997,917.621358
65,671.221299,-859.256516,914.78862
66,706.498579,-856.743447,924.615835
67,704.503798,-856.899327,927.623079
68,701.689715,-857.294867,922.957078
69,680.88788,-854.375976,883.530959
70,683.70383,-852.857742,879.746788
71,685.795518,-854.152443,885.143714
72,676.32641,-856.13668,888.446672
73,679.914305,-855.862212,888.945907
74,679.723201,-856.020626,889.553861
75,680.487811,-855.990661,889.803991
76,680.678879,-855.832009,889.196082
77,682.635037,-855.131599,887.25184
78,678.498724,-857.596413,897.283314
79,681.397786,-856.13224,890.921328
80,681.20512,-856.283142,891.53055
81,678.151117,-856.40071,890.532064
82,678.343979,-856.25077,889.922678
83,713.794193,-855.504922,917.42854
84,627.439017,-857.644357,908.811197
85,626.459196,-857.756111,904.764317
86,628.689831,-857.872963,907.002796
87,632.065694,-858.023792,909.879535
88,622.815731,-857.216325,907.746516
89,670.792218,-853.001432,874.777675
90,666.480311,-852.964816,873.141684
91,625.777527,-857.780903,900.606552
92,626.632848,-857.80679,903.698371
93,622.109994,-857.361973,903.596988
94,620.285436,-857.031321,906.108479
95,645.959487,-858.857924,913.115829
96,650.592927,-859.031265,914.207897
97,636.695126,-858.353261,910.952495
98,627.257484,-857.828613,904.845566
99,628.799643,-857.917565,906.240097
100,629.261377,-858.055684,902.71918
101,629.341466,-858.070557,901.976945
102,659.748836,-859.358741,909.694536
103,655.226164,-859.150824,915.308007
104,675.485373,-859.136857,914.707807
105,675.120657,-859.145677,915.888248
106,672.191238,-859.236519,913.784905
107,674.178254,-859.169943,913.067421
108,671.830981,-859.241811,914.959968
109,671.585694,-859.251755,913.615977
110,675.72069,-859.12507,916.05823
111,676.081284,-859.115784,914.87546
112,685.592097,-858.572447,913.504202
113,674.340759,-859.155808,912.491353
114,673.841911,-859.053102,908.734131
115,705.657003,-856.01545,909.297084
116,701.792987,-856.766435,911.20929
117,702.752339,-856.324071,908.300964
118,706.936149,-855.235381,905.100768
119,695.171218,-855.239463,895.160733
120,697.48542,-854.530534,893.587941
121,675.779297,-859.071235,918.791719
122,673.132197,-859.190725,916.601805
123,683.248765,-858.771722,919.266123
124,676.704149,-858.995617,920.253646
125,709.019501,-856.431202,924.770402
126,709.076742,-856.341752,928.815161
127,706.723398,-856.719672,923.981382
128,706.602359,-856.734709,923.722702
129,711.129818,-856.135354,922.783135
130,710.318874,-856.232114,927.364795
131,719.471934,-854.865365,930.691196
132,718.962089,-854.923616,931.249752
133,718.198829,-855.039386,931.196127
134,719.50032,-854.864998,930.554889
135,712.359389,-855.964961,922.999324
136,715.721242,-855.423378,921.764812
137,717.614503,-855.212635,926.111599
138,713.641712,-855.721956,930.006837
139,713.655507,-855.802451,925.594809
140,711.536135,-856.070778,927.576248
141,719.472278,-854.871868,930.465451
142,682.281509,-855.157414,887.1767
143,682.169882,-855.092531,886.862413
144,680.840672,-854.617459,884.392262
145,683.877818,-855.840642,890.917025
146,711.642762,-856.067772,926.994223
147,710.423844,-856.230291,926.781421
148,709.5576,-856.361536,924.856697
149,713.124351,-855.877994,925.491013
150,711.031193,-856.157566,923.349724
151,691.44424,-853.693875,886.547138
152,691.79171,-855.05136,892.083831
153,685.602415,-854.345954,885.752542
154,690.959045,-855.372411,892.977406
155,685.356151,-854.412471,885.871796
