N,X,Y,Z
1,925.853378,744.58135,661.70303
2,928.209651,743.293854,666.646233
3,928.573226,743.312666,666.433952
4,925.491301,744.569809,661.915924
5,927.721981,743.267031,666.930945
6,925.001543,744.552671,662.203367
7,928.239877,737.180471,666.291471
8,927.204542,737.115845,666.895501
9,924.90296,738.765964,660.485958
10,923.868361,738.728842,661.093004
11,877.640043,744.099704,628.260372
12,871.090626,744.123367,626.387687
13,872.579322,744.123334,627.075979
14,873.70879,744.073544,621.982171
15,867.886438,743.92989,631.048464
16,872.437721,744.113124,627.733018
17,872.591152,744.109595,627.972527
18,872.465495,744.110569,627.884103
19,871.928602,743.881048,633.346583
20,869.025334,743.786071,633.789478
21,874.093022,744.050969,630.442364
22,859.938341,743.415907,633.945215
23,867.31747,743.305648,638.301439
24,865.468432,743.552251,635.199991
25,863.009167,742.984003,639.23609
26,921.82219,740.016246,654.905027
27,916.825002,740.569807,653.854627
28,919.817992,740.239158,654.530775
29,917.309502,740.823332,651.849666
30,907.260135,742.434981,643.246923
31,903.618001,741.916038,649.68928
32,913.728806,741.92906,643.900061
33,917.178225,741.34689,647.434253
34,916.532172,740.905801,651.673772
35,915.812356,740.515734,654.643047
36,913.0337,740.794722,654.013181
37,847.873006,737.34329,657.276047
38,841.25045,736.895292,655.629729
39,845.325018,737.099955,656.889602
40,844.550077,736.998051,656.845221
41,844.62687,737.355172,655.809201
42,845.397427,737.455786,655.849816
43,865.462628,742.731129,641.980913
44,865.386706,742.604212,642.779728
45,877.516194,742.25595,648.097205
46,879.390441,743.181196,642.227826
47,871.525334,743.430491,638.515821
48,874.534808,743.48243,638.758356
49,857.606864,739.031935,655.811737
50,861.734602,739.493525,655.688858
51,857.275215,739.032396,655.686341
52,849.702,739.300123,651.645118
53,851.548809,740.915849,645.925867
54,860.767748,741.944152,644.874793
55,863.581475,741.109243,649.969673
56,859.905587,737.536704,661.319749
57,855.734836,736.476022,662.837602
58,854.267182,738.124506,657.496524
59,859.323759,738.336942,658.698012
60,887.591698,738.211195,665.880747
61,885.659322,738.810069,663.713104
62,885.729576,737.952561,666.418354
63,921.738482,736.618828,670.105677
64,916.779914,737.20646,668.988593
65,920.003795,735.760465,673.155437
66,892.887133,743.685443,631.802381
67,897.919624,743.432571,632.96253
68,895.456066,743.526606,627.568091
69,888.664742,743.613668,637.301228
70,892.14475,743.478162,638.106555
71,892.292314,743.512523,637.467599
72,892.928434,743.44373,638.28761
73,894.897415,743.515139,635.462742
74,893.075959,743.47785,637.648626
75,891.493826,742.723216,646.026985
76,893.771923,743.301264,639.975565
77,893.920495,743.343292,639.337439
78,890.790695,743.479604,638.614351
79,890.642001,743.436595,639.25237
80,928.451966,738.05399,662.405898
81,894.537816,743.531198,635.4212
82,894.406941,743.540278,635.293214
83,895.072666,743.510961,635.377669
84,896.404275,743.273538,639.089286
85,842.987735,737.743349,653.8405
86,839.344053,737.550315,652.678665
87,840.458741,736.782977,655.587316
88,841.177123,736.535714,656.650093
89,842.824952,736.360496,657.908997
