N,X,Y,Z
73111280,862.706,749.289,642.6838
73111283,860.0222,749.1204,642.6351
73111286,913.7721,745.9309,654.9626
73111288,858.9206,746.0586,642.1175
73111290,859.8244,745.7548,658.923
73111295,925.2963,740.9444,662.0664
73111296,927.7275,740.0997,666.2512
73111297,896.6515,746.2789,639.7131
73111298,889.8151,749.9093,638.3456
73111299,890.1637,746.6548,638.226
73111300,882.9364,738.3316,661.3964
73111313,859.3499,742.465,658.773
73111321,917.0817,743.1361,652.4175
73111322,916.1715,745.1474,657.8881
73111331,903.1299,737.3702,665.4171
73111332,875.6844,738.3218,660.2917
73111333,902.1653,735.8663,670.4688
73111335,894.1306,741.4077,645.466
73111336,910.1244,738.0392,661.7861
73111337,855.0393,741.6497,637.992
73111348,925.1389,737.849,656.659
73111356,858.9296,743.4889,661.2478
73111357,919.971,742.4709,655.0796
73111360,854.9085,744.113,660.3513
73111361,922.3466,738.0272,657.3705
73111364,921.846,740.6166,669.973
73111366,922.2815,743.9074,670.3196
73111367,851.8621,739.4767,648.7239
73111368,921.4043,741.6457,672.5932
73111369,922.0131,737.9187,669.7719
73111370,918.2209,744.5392,669.4081
73111373,854.368,737.5615,656.8884
73111374,867.8249,742.8188,625.9877
73111375,859.4289,737.7271,658.09
73111378,917.036,738.8678,668.6665
73111379,916.7291,736.0086,668.4455
73111380,921.6234,735.3829,669.5581
73111381,871.4315,741.1198,647.092
73111382,870.7552,742.0881,639.9864
73111383,863.1001,739.6436,652.1148
73111384,909.623,736.811,666.7686
73111385,881.8694,736.5159,667.1557
73111387,896.5873,737.8462,663.9482
73111388,846.5905,739.6103,645.7359
73111389,886.3111,742.357,624.6787
73111390,917.3765,742.2719,671.6942
73111393,873.4818,748.5293,627.961
73111394,865.6032,742.0309,639.1851
73111395,851.2675,740.8663,641.4632
73111396,904.1199,738.6079,660.3523
73111397,875.5222,742.6215,634.0428
73111398,868.1108,738.1679,659.1334
73111399,874.2169,749.8645,625.5566
73111400,877.9859,751.1903,629.1635
73111401,877.523,747.8979,628.9049
73111402,872.7158,746.0619,627.6651
73111403,878.2894,749.2323,626.4657
73111404,873.9325,751.8232,628.2167
73111405,877.6527,745.3822,628.7564
73111406,877.531,742.7417,628.6633
73111407,872.3778,742.8078,627.43
73111408,868.2968,742.6439,632.686
73111409,840.6367,737.5524,651.1052
