M,type,N1,N2,N3,N4
73110829,QUAD,73111461,73111479,73111466,73111458.0
73110832,QUAD,73111433,73111418,73111421,73111434.0
73110835,QUAD,73111441,73111452,73111396,73111336.0
73110837,QUAD,73111403,73111401,73111393,73111399.0
73110838,QUAD,73111368,73111364,73111511,73111390.0
73110840,QUAD,73111452,73111449,73111496,73111396.0
73110842,QUAD,73111449,73111453,73111425,73111496.0
73110843,QUAD,73111364,73111366,73111370,73111511.0
73110844,QUAD,73111456,73111449,73111452,73111444.0
73110846,TRIA,73111440,73111374,73111407,
73110847,QUAD,73111398,73111502,73111497,73111332.0
73110849,QUAD,73111393,73111401,73111400,73111404.0
73110855,QUAD,73111462,73111280,73111466,73111459.0
73110856,QUAD,73111502,73111398,73111375,73111472.0
73110857,TRIA,73111364,73111368,73111366,
73110859,QUAD,73111437,73111509,73111556,73111438.0
73110861,QUAD,73111425,73111430,73111300,73111557.0
73110862,QUAD,73111510,73111415,73111426,73111516.0
73110865,QUAD,73111453,73111510,73111430,73111425.0
73110866,QUAD,73111416,73111495,73111469,73111439.0
73110868,QUAD,73111381,73111520,73111383,73111432.0
73110870,QUAD,73111367,73111419,73111373,73111446.0
73110871,QUAD,73111466,73111280,73111448,73111458.0
73110872,QUAD,73111457,73111428,73111379,73111384.0
73110874,QUAD,73111496,73111425,73111557,73111387.0
73110878,QUAD,73111384,73111331,73111333,73111457.0
73110881,QUAD,73111288,73111466,73111479,73111491.0
73110891,QUAD,73111466,73111479,73111490,73111467.0
73110899,QUAD,73111459,73111466,73111479,73111464.0
73110900,QUAD,73111420,73111433,73111434,73111414.0
73110902,QUAD,73111429,73111397,73111382,73111426.0
73110904,QUAD,73111283,73111280,73111466,73111288.0
73110905,QUAD,73111313,73111290,73111537,73111534.0
73110909,QUAD,73111360,73111356,73111313,73111534.0
73110912,QUAD,73111296,73111295,73111474,73111478.0
73110916,QUAD,73111467,73111487,73111280,73111466.0
73110917,QUAD,73111378,73111379,73111380,73111369.0
73110918,QUAD,73111510,73111516,73111523,73111430.0
73110920,QUAD,73111461,73111394,73111408,73111499.0
73110921,QUAD,73111477,73111475,73111295,73111296.0
73110926,QUAD,73111436,73111435,73111438,73111437.0
73110927,QUAD,73111514,73111297,73111299,73111298.0
73110929,QUAD,73111299,73111297,73111515,73111500.0
73110931,QUAD,73111525,73111321,73111518,73111526.0
73110932,QUAD,73111456,73111444,73111416,73111410.0
73110935,QUAD,73111522,73111504,73111321,73111525.0
73110938,QUAD,73111519,73111525,73111526,73111517.0
73110940,QUAD,73111519,73111322,73111522,73111525.0
73110942,QUAD,73111536,73111494,73111454,73111518.0
73110948,QUAD,73111536,73111526,73111517,73111528.0
73110949,TRIA,73111537,73111360,73111534,
73110950,QUAD,73111526,73111525,73111531,73111532.0
73110952,QUAD,73111516,73111381,73111432,73111523.0
73110958,TRIA,73111290,73111313,73111356,
73110959,QUAD,73111375,73111313,73111534,73111373.0
73110961,QUAD,73111558,73111373,73111419,73111445.0
73110962,TRIA,73111361,73111348,73111494,
73110963,QUAD,73111367,73111483,73111395,73111388.0
73110964,QUAD,73111535,73111357,73111525,73111522.0
73110965,QUAD,73111357,73111536,73111526,73111525.0
73110966,QUAD,73111369,73111364,73111511,73111378.0
73110968,QUAD,73111525,73111522,73111286,73111531.0
73110969,QUAD,73111520,73111464,73111446,73111383.0
73110970,QUAD,73111491,73111337,73111395,73111483.0
73110975,TRIA,73111370,73111390,73111511,
73110976,TRIA,73111393,73111404,73111399,
73110977,QUAD,73111474,73111492,73111348,73111361.0
73110979,TRIA,73111401,73111403,73111400,
73110980,QUAD,73111557,73111424,73111423,73111387.0
73110981,QUAD,73111438,73111556,73111389,73111413.0
73110984,QUAD,73111331,73111387,73111423,73111333.0
73110985,QUAD,73111405,73111406,73111407,73111402.0
73110986,QUAD,73111474,73111361,73111528,73111524.0
73110988,QUAD,73111402,73111393,73111401,73111405.0
73110989,TRIA,73111461,73111337,73111491,
73110997,QUAD,73111397,73111429,73111413,73111406.0
73110998,QUAD,73111524,73111380,73111478,73111474.0
73110999,QUAD,73111394,73111382,73111397,73111408.0
73111003,TRIA,73111490,73111382,73111394,
73111005,QUAD,73111380,73111431,73111476,73111478.0
73111007,QUAD,73111494,73111536,73111528,73111361.0
73111008,QUAD,73111413,73111429,73111500,73111438.0
73111009,QUAD,73111394,73111461,73111479,73111490.0
73111010,TRIA,73111410,73111437,73111515,
73111011,QUAD,73111435,73111436,73111434,73111433.0
73111013,TRIA,73111499,73111337,73111461,
73111015,QUAD,73111515,73111500,73111415,73111335.0
73111016,QUAD,73111520,73111490,73111479,73111464.0
73111017,QUAD,73111407,73111406,73111498,73111440.0
73111018,QUAD,73111406,73111407,73111408,73111397.0
73111019,QUAD,73111491,73111483,73111464,73111479.0
