N,X,Y,Z
1,890.479467,737.578411,667.177322
2,890.991062,736.124999,667.565574
3,891.347727,737.771776,667.653299
4,890.175995,736.150139,667.10808
5,891.597222,737.493413,668.509265
6,891.30977,736.141059,668.443763
7,890.547223,737.896635,667.19277
8,895.254766,746.709314,633.499527
9,895.339511,746.842845,633.482137
10,895.264988,746.712671,633.455924
11,895.329368,746.83892,633.526962
12,895.482713,746.880127,633.518047
13,895.472105,746.876649,633.5633
14,895.157645,746.456265,633.758823
15,895.203534,746.630049,633.674317
16,894.845815,743.58087,633.145493
17,894.403825,743.547563,635.109367
18,894.406941,743.540278,635.293214
19,894.537816,743.531198,635.4212
20,895.311539,746.454656,633.995812
21,895.18717,746.467433,633.908193
22,878.665799,751.174679,627.805072
23,878.687939,751.060924,627.90472
24,878.768,750.465209,627.207096
25,878.746386,750.579216,627.107258
26,878.544294,751.237824,627.737179
27,878.624356,750.642102,627.039548
28,878.479101,751.356375,628.095131
29,878.647801,751.132198,628.119266
30,878.607794,751.279103,628.120639
31,878.324681,751.190881,629.280658
32,878.365155,751.04435,629.279403
33,878.196434,751.268516,629.255354
34,873.522693,751.755233,628.199019
35,873.784975,751.846075,627.034318
36,873.376725,748.739117,626.690697
37,873.820008,751.775557,626.818647
38,873.465182,751.653022,628.394565
39,873.877918,751.183087,626.116067
40,873.856544,750.650144,625.828815
41,873.418293,751.439363,628.459218
42,872.867269,746.304849,627.311155
43,872.437721,744.113124,627.733018
44,872.579322,744.123334,627.075979
45,873.18154,747.26038,626.531286
46,873.70012,749.448185,625.688792
47,873.443648,751.421216,628.608248
48,873.566394,751.396227,628.694801
49,873.643757,751.753257,628.587935
50,873.74042,751.922681,628.261089
51,873.597414,751.884869,628.22595
52,858.851441,743.691578,661.253137
53,859.231784,743.585136,661.335867
54,859.38068,744.296662,661.123825
55,858.843376,743.642079,661.249204
56,859.002017,744.352217,661.03937
57,855.704426,743.374687,658.560215
58,855.827433,745.529134,659.349943
59,855.770252,745.426324,659.547101
60,855.960493,745.574141,658.769302
61,855.551562,744.73381,660.113204
62,855.440998,744.203792,660.286455
63,856.093875,745.578296,658.581985
64,855.837164,743.377122,658.372035
65,856.062865,743.354639,658.332152
66,856.318882,745.554101,658.541229
67,835.528438,733.217198,655.708923
68,835.332755,733.383767,655.503468
69,838.920806,734.819334,652.715485
70,838.678192,735.299704,652.453587
71,835.284595,733.708776,655.450079
72,842.343445,736.258155,649.672944
73,842.101162,736.727546,649.408809
74,845.790401,737.529868,646.584025
75,849.25671,738.631669,643.451637
76,845.548293,737.988823,646.31809
77,849.014403,739.080764,643.184433
78,852.737174,739.561441,640.279491
79,852.49435,740.001402,640.011352
80,856.229696,740.318585,637.06867
81,859.72214,740.901331,633.830353
82,855.983114,740.749629,636.802809
83,859.47587,741.325224,633.563144
84,863.213199,741.311268,630.566674
85,862.968075,741.728863,630.296997
86,866.698774,741.55022,627.281887
87,869.989486,741.73563,623.769161
88,866.455541,741.962104,627.009234
89,870.182401,741.620606,623.973619
90,869.934506,742.027344,623.70487
91,877.158066,748.811068,628.033197
92,874.90266,750.128202,626.130339
93,874.476058,749.204885,627.434877
94,877.58467,749.734466,626.728718
95,874.531753,750.572765,625.773326
96,874.535913,750.622473,625.779876
97,874.658659,750.595806,625.867682
98,874.657411,750.557242,625.865359
99,874.68224,750.569183,626.01675
100,874.678473,750.541066,626.019617
101,858.744875,742.960912,658.930537
102,859.038614,745.154836,659.148036
103,858.966088,742.895865,659.287926
104,859.259835,745.089792,659.505389
105,859.223357,745.118878,659.280183
106,858.930071,742.923075,659.062096
107,858.702661,743.72497,661.014166
108,858.824228,744.253343,660.84339
109,859.120975,745.045637,660.084753
