N,X,Y,Z
1,915.6067,-753.919,652.4803
2,897.9884106609613,-748.1160872946097,639.6802667137132
3,835.3538080759589,-740.8704204209276,655.8162122677462
4,846.9510360232267,-745.7789306093887,643.7226111937985
5,891.7084109026899,-756.1094361110282,639.261920904043
6,855.7002276356732,-744.203702200118,654.7165137920329
7,837.5819983636334,-742.3711631044907,652.3581224271193
10,927.9953915942561,-742.9001975818145,664.9154729918058
11,906.277031986283,-746.0130557994937,655.5841492647014
12,854.0257475941836,-745.2509444241815,649.7881402696881
13,883.3285300295556,-748.4323141977032,639.3409295466062
14,857.5202164025784,-745.1257654126679,651.8922151965187
15,883.5479986854649,-746.4856998837445,653.5421512841733
16,860.57966021297,-744.9134231190698,653.991481824274
17,883.393475228403,-748.7236354196924,628.2160051906699
18,872.8040790227953,-751.3201509464534,629.478363939664
19,887.8612543131684,-756.1978009530056,629.2211285487903
20,894.6196916034166,-746.9468530025883,651.3994633584283
21,887.455443910181,-757.1631744766784,629.6312714044694
22,863.3196870333782,-744.3949429357078,656.9458342125284
23,888.3091918122385,-747.5928371405103,647.393738553611
24,901.2969544722037,-747.0936656755432,649.5074151224591
25,887.8058,-752.204,631.6403
26,871.5943801401297,-745.6035794637482,654.7967511570753
27,877.6345167428158,-748.7179306577699,633.2175072027982
28,874.9540398913401,-744.7210971764919,659.222850698496
29,858.3677516510797,-744.1222888361513,656.1053503089469
30,878.7001549341355,-744.7239754112518,659.8607655095631
31,881.8877303493899,-743.4192659721987,663.8621067355687
32,876.3684754627371,-748.7716029959399,625.7940176621728
33,853.5888123321513,-741.3696259847029,662.9041581909689
34,882.399070233706,-744.7185773763523,660.4620928111383
35,856.4860217275359,-746.115955013677,647.0282080597465
36,886.0601183417306,-744.7142372994792,661.0257146929404
37,915.3672795818487,-743.7226420874589,664.8912598897756
39,879.6980195339462,-748.515616733145,637.9406560412676
40,873.5153550430656,-748.7094128710562,622.9604069482166
41,873.9242677697845,-742.5177991557296,666.2702781972728
42,893.459610620934,-757.3400993170369,633.1783637417295
43,857.9456646924501,-748.0677454049872,633.5175515129221
44,889.697265045157,-744.7339502903797,661.5845808368704
45,863.0641489288838,-745.8282194068903,651.1516955378053
46,900.2896796733554,-747.4373820215584,646.7401604640663
47,884.4558883296285,-748.6294250276954,624.7400985880532
48,895.964885655925,-747.8001888213792,644.7685281787034
50,911.7015623232625,-743.9439761793612,664.5278890612032
51,890.1757863510578,-754.6354433054946,631.5683768285473
52,851.767240089731,-744.1692997672019,653.1258667435234
53,891.8717723902665,-748.4504133828582,626.9000405101935
54,889.0881780138595,-747.9681054031324,644.2472306436424
55,914.4352841229323,-746.7501613059458,646.5099955987592
56,917.956600816068,-748.9121571207811,655.0363388827266
57,877.642566098923,-742.5279456369302,666.8531053225672
