M,type,N1,N2,N3,N4
1,QUAD,20284,11,9,20203.0
2,QUAD,50,131,19115,37.0
3,QUAD,4287,7,3,5024.0
4,QUAD,72,57,20143,31.0
5,QUAD,20226,20266,19564,82.0
6,QUAD,19410,95,97,20199.0
7,QUAD,10,20185,20285,19108.0
9,QUAD,19568,20279,2406,20215.0
12,QUAD,20360,41,57,72.0
13,QUAD,65,24,20344,32.0
15,QUAD,74,8,4,20161.0
16,QUAD,19004,43,19013,20336.0
17,TRIA,19013,43,20158,
18,QUAD,20222,20220,91,51.0
19,QUAD,45,20258,78,106.0
21,QUAD,2,79,20279,96.0
22,TRIA,20259,20371,20359,
23,QUAD,19826,70,74,20161.0
24,QUAD,52,12,8,74.0
25,QUAD,20159,20329,19013,20158.0
26,QUAD,20271,20273,19512,20266.0
27,TRIA,85,19606,21,
28,TRIA,96,20279,19568,
29,QUAD,20293,19456,98,20187.0
30,QUAD,19013,75,20384,20336.0
31,QUAD,6,14,12,52.0
32,QUAD,45,106,14,16.0
33,QUAD,33,20383,67,20061.0
34,TRIA,20233,19726,20234,
35,QUAD,60,107,20318,63.0
36,QUAD,20229,78,20258,20256.0
37,QUAD,92,6514,67,20378.0
38,TRIA,86,19606,85,
40,QUAD,19242,20293,20187,20181.0
42,QUAD,29,16,14,6.0
43,QUAD,20363,22,16,29.0
44,QUAD,19456,20285,95,19410.0
45,TRIA,20246,19004,71,
46,TRIA,19013,19793,20336,
47,QUAD,59,30,34,15.0
48,QUAD,19793,19013,20329,35.0
49,QUAD,20373,26,22,20363.0
50,TRIA,20,107,60,
52,TRIA,20230,18,20344,
53,QUAD,25,20222,20265,19617.0
54,QUAD,51,85,21,89.0
56,QUAD,20313,68,107,20.0
57,QUAD,20200,20201,97,95.0
58,QUAD,20,60,20325,20302.0
59,TRIA,24,65,40,
60,QUAD,20360,28,26,20373.0
61,QUAD,72,30,28,20360.0
62,TRIA,38,20174,10,
63,QUAD,31,34,30,72.0
64,QUAD,20145,17165,20383,33.0
65,QUAD,104,36,34,31.0
66,TRIA,20196,20197,20227,
67,QUAD,108,44,36,104.0
68,QUAD,12,35,20329,8.0
69,QUAD,20253,62,54,20271.0
70,QUAD,110,46,44,108.0
71,QUAD,84,20257,20260,20385.0
72,QUAD,39,84,20385,20388.0
73,QUAD,13,39,20388,20390.0
74,QUAD,13,20390,62,20253.0
76,QUAD,20234,19726,19713,19624.0
77,TRIA,18,20234,20344,
78,QUAD,20234,19624,19779,20233.0
80,QUAD,20344,20234,20233,17753.0
81,TRIA,48,20273,81,
82,QUAD,20154,20246,109,20156.0
83,QUAD,24,40,20156,109.0
84,QUAD,20344,24,109,20230.0
85,TRIA,32,20344,17753,
86,QUAD,20257,20230,109,20246.0
87,QUAD,20246,71,20260,20257.0
88,TRIA,50,77,131,
89,TRIA,94,20150,20149,
90,QUAD,17753,20344,20230,115.0
91,QUAD,20230,20257,84,115.0
92,QUAD,20308,68,93,127.0
93,QUAD,115,119,117,17753.0
94,QUAD,20150,94,17,47.0
95,QUAD,84,39,119,115.0
96,QUAD,100,117,119,123.0
97,QUAD,20250,83,20206,5.0
98,QUAD,19617,53,47,17.0
99,QUAD,123,119,39,13.0
100,QUAD,17,100,82,19617.0
101,QUAD,123,13,20253,20226.0
103,TRIA,20227,20195,20196,
104,TRIA,20227,20296,19115,
105,TRIA,19118,20296,20227,
108,QUAD,20195,20227,20197,20198.0
109,QUAD,20227,20197,19117,20296.0
110,QUAD,68,20313,103,93.0
111,QUAD,19336,20308,127,129.0
113,TRIA,129,20293,19336,
114,QUAD,77,73,20165,20177.0
115,QUAD,127,50,37,129.0
116,QUAD,129,133,19456,20293.0
117,QUAD,37,19118,133,129.0
118,QUAD,20179,19115,131,90.0
119,QUAD,93,77,50,127.0
120,TRIA,20285,19456,133,
121,QUAD,19118,37,19115,20296.0
122,QUAD,139,20285,133,19118.0
123,QUAD,19117,139,19118,20296.0
124,QUAD,20180,20296,19115,20179.0
125,QUAD,77,20177,90,131.0
126,QUAD,139,143,19108,20285.0
127,QUAD,79,2,87,20284.0
128,TRIA,19606,85,19,
129,QUAD,19117,20296,20180,20171.0
130,TRIA,139,19117,143,
131,QUAD,143,38,10,19108.0
132,QUAD,20171,20175,143,19117.0
133,QUAD,38,143,20175,66.0
134,QUAD,19108,20200,95,20285.0
135,QUAD,25,86,85,51.0
136,QUAD,23,20325,81,54.0
137,QUAD,32,94,20149,65.0
138,QUAD,20174,38,66,20176.0
139,QUAD,94,32,17753,117.0
140,TRIA,20383,20378,67,
141,TRIA,20222,25,51,
142,QUAD,48,81,20325,60.0
143,QUAD,20383,6,52,20378.0
144,QUAD,20165,73,110,20163.0
145,QUAD,19408,20289,63,20318.0
146,TRIA,92,74,70,
147,QUAD,77,93,103,73.0
148,QUAD,100,17,94,117.0
149,QUAD,100,123,20226,82.0
150,QUAD,20235,44,46,101.0
151,QUAD,108,104,105,20168.0
36628,QUAD,71,19004,20336,20229.0
36825,QUAD,31,20143,105,104.0
36826,QUAD,20302,20280,102,20235.0
38077,QUAD,19288,19242,20181,55.0
38307,TRIA,19242,19288,20288,
38569,QUAD,19512,96,19564,20266.0
38670,QUAD,82,19564,20265,19617.0
39403,QUAD,98,19456,20285,20185.0
39694,QUAD,19564,96,19568,20265.0
39695,QUAD,19408,20308,19336,20288.0
39974,QUAD,20213,20265,19568,20215.0
40077,QUAD,19617,20265,20213,53.0
40343,QUAD,20226,20253,20271,20266.0
40353,QUAD,2,96,19512,20273.0
40354,QUAD,62,20270,23,54.0
40358,QUAD,87,2,20273,48.0
40369,QUAD,20224,79,20284,20203.0
40375,QUAD,20271,54,81,20273.0
40381,QUAD,20280,23,20270,20321.0
40397,QUAD,60,63,87,48.0
40399,QUAD,20284,87,63,11.0
40400,QUAD,99,9,11,20289.0
40403,TRIA,63,20289,11,
40404,QUAD,20289,19408,20288,19288.0
40405,QUAD,19288,55,99,20289.0
40410,QUAD,19336,20293,19242,20288.0
40443,TRIA,101,20302,20235,
40455,QUAD,101,46,103,20313.0
40458,QUAD,73,103,46,110.0
40464,QUAD,20313,20,20302,101.0
40466,QUAD,68,20308,20318,107.0
40472,TRIA,19408,20318,20308,
40475,QUAD,15,34,36,102.0
40478,QUAD,20321,20261,59,15.0
40481,QUAD,20280,20321,15,102.0
40485,QUAD,20280,20302,20325,23.0
40490,QUAD,4,8,20329,20159.0
40492,QUAD,14,106,35,12.0
40494,QUAD,19793,78,20229,20336.0
40497,QUAD,71,20229,20256,20260.0
40501,QUAD,19004,20246,20154,43.0
40565,QUAD,20359,28,30,59.0
40569,QUAD,20371,26,28,20359.0
40574,QUAD,20261,20259,20359,59.0
40587,QUAD,20368,20370,20258,45.0
40588,QUAD,16,22,20368,45.0
40589,TRIA,29,17165,20363,
40590,QUAD,20371,20259,20370,20368.0
40595,QUAD,26,20371,20368,22.0
40596,QUAD,41,20360,20373,20146.0
40598,QUAD,20146,20373,20363,20147.0
40599,QUAD,17165,20145,20147,20363.0
40617,QUAD,20061,67,6514,64.0
40620,QUAD,20378,52,74,92.0
40626,QUAD,6,20383,17165,29.0
40627,QUAD,106,78,19793,35.0
40637,QUAD,5024,20035,64,6514.0
40641,QUAD,6514,92,70,4287.0
40665,QUAD,4287,70,19826,7.0
40669,QUAD,3,19851,20035,5024.0
40670,TRIA,6514,4287,5024,
40671,TRIA,5024,19843,6514,
40672,TRIA,19844,6514,4287,
40675,QUAD,20231,20219,17165,20383.0
40676,QUAD,19818,20219,20231,19822.0
40678,QUAD,20384,75,19791,19816.0
40684,QUAD,19815,19794,19816,20384.0
40685,QUAD,20384,20336,19793,19815.0
40686,QUAD,20384,19816,19789,19790.0
40688,QUAD,19790,19004,20336,20384.0
40689,QUAD,19787,69,20384,19816.0
40690,QUAD,20384,69,20229,20336.0
40702,QUAD,20163,110,108,20168.0
40704,QUAD,20235,102,36,44.0
40706,QUAD,20260,20256,20386,20385.0
40708,QUAD,20256,20258,20370,20386.0
40711,QUAD,20385,20386,20389,20388.0
40713,QUAD,20386,20370,20259,20389.0
40714,QUAD,20388,20389,20391,20390.0
40716,QUAD,20389,20259,20261,20391.0
40717,QUAD,20270,62,20390,20391.0
40718,QUAD,20391,20261,20321,20270.0
40721,QUAD,20226,83,20250,20266.0
40724,QUAD,20211,20208,20250,5.0
40725,QUAD,20208,19512,20266,20250.0
40726,QUAD,51,89,42,20222.0
40728,TRIA,20265,19564,20222,
40729,QUAD,20222,42,20218,20225.0
40731,QUAD,85,51,91,19.0
40732,TRIA,20220,20222,20225,
40734,QUAD,19568,20265,20222,20225.0
40736,QUAD,79,20224,2406,20279.0
40739,QUAD,20283,58,20190,20193.0
40740,QUAD,19408,58,20283,20288.0
40743,QUAD,20283,88,20192,20193.0
40749,QUAD,19336,88,20283,20288.0
40750,QUAD,20283,20193,1,20184.0
40752,QUAD,20283,20184,19288,20288.0
40757,QUAD,20194,56,20283,20193.0
40759,QUAD,56,19242,20288,20283.0
