M,type,N1,N2,N3,N4
73035638,QUAD,73038238,73038237,73038139,73038136.0
73035639,TRIA,73038007,73038249,73038320,
73035640,QUAD,73038081,73038008,73038090,73038072.0
73035641,QUAD,73038008,73038304,73038075,73038090.0
73035642,QUAD,73038306,73038288,73038075,73038304.0
73035643,QUAD,73038289,73038288,73038306,73038010.0
73035644,QUAD,73038219,73038218,73038232,73038257.0
73035645,QUAD,73038081,73038236,73038241,73038011.0
73035646,TRIA,73038289,73038015,73038271,
73035647,QUAD,73038015,73038017,73038318,73038271.0
73035648,QUAD,73038013,73038083,73038318,73038017.0
73035649,QUAD,73038008,73038081,73038011,73038073.0
73035650,TRIA,73038306,73038304,73038300,
73035651,QUAD,73038303,73038276,73038083,73038308.0
73035652,QUAD,73038073,73038012,73038304,73038008.0
73035653,TRIA,73038303,73038308,73038312,
73035654,QUAD,73038306,73038300,73038309,73038010.0
73035655,QUAD,73038016,73038011,73038241,73038242.0
73035656,QUAD,73038237,73038238,73038007,73038009.0
73035657,QUAD,73038021,73038242,73038239,73038082.0
73035658,QUAD,73038012,73038311,73038300,73038304.0
73035659,QUAD,73038085,73038009,73038270,73038029.0
73035660,QUAD,73038012,73038073,73038014,73038018.0
73035661,TRIA,73038259,73038241,73038236,
73035662,QUAD,73038016,73038024,73038019,73038014.0
73035663,QUAD,73038309,73038300,73038311,73038089.0
73035664,QUAD,73038242,73038021,73038024,73038016.0
73035665,QUAD,73038010,73038020,73038015,73038289.0
73035666,QUAD,73038022,73038311,73038012,73038018.0
73035667,QUAD,73038083,73038013,73038327,73038308.0
73035668,QUAD,73038014,73038019,73038028,73038018.0
73035669,QUAD,73038017,73038015,73038020,73038087.0
73035670,QUAD,73038024,73038085,73038029,73038019.0
73035671,QUAD,73038026,73038021,73038082,73038080.0
73035672,QUAD,73038086,73038247,73038327,73038013.0
73035673,QUAD,73038275,73038225,73038223,73038315.0
73035674,QUAD,73038089,73038022,73038079,73038025.0
73035675,QUAD,73038027,73038022,73038018,73038028.0
73035676,QUAD,73038024,73038021,73038026,73038085.0
73035677,QUAD,73038023,73038222,73038284,73038087.0
73035678,QUAD,73038074,73038025,73038030,73038023.0
73035680,QUAD,73038022,73038027,73038031,73038079.0
73035681,QUAD,73038080,73038251,73038237,73038026.0
73035682,TRIA,73038028,73038032,73038027,
73035683,QUAD,73038028,73038019,73038029,73038033.0
73035684,QUAD,73038030,73038034,73038222,73038023.0
73035685,QUAD,73038078,73038079,73038031,73038035.0
73035686,QUAD,73038032,73038037,73038031,73038027.0
73035687,QUAD,73038032,73038028,73038033,73038036.0
73035688,QUAD,73038029,73038270,73038301,73038033.0
73035689,QUAD,73038034,73038088,73038321,73038222.0
73035690,QUAD,73038077,73038078,73038035,73038038.0
73035691,QUAD,73038238,73038071,73038249,73038007.0
73035692,QUAD,73038037,73038039,73038035,73038031.0
73035693,QUAD,73038036,73038033,73038301,73038302.0
73035694,QUAD,73038036,73038040,73038037,73038032.0
73035695,QUAD,73038330,73038071,73038238,73038245.0
73035696,QUAD,73038076,73038077,73038038,73038256.0
73035697,QUAD,73038039,73038041,73038038,73038035.0
73035698,QUAD,73038040,73038036,73038302,73038305.0
73035699,TRIA,73038043,73038249,73038071,
73035700,QUAD,73038039,73038037,73038040,73038042.0
73035701,QUAD,73038041,73038287,73038256,73038038.0
73035702,QUAD,73038041,73038039,73038042,73038044.0
73035703,QUAD,73038322,73038042,73038040,73038305.0
73035704,QUAD,73038045,73038292,73038249,73038043.0
73035705,QUAD,73038292,73038045,73038046,73038290.0
73035706,QUAD,73038287,73038041,73038044,73038262.0
73035707,QUAD,73038042,73038322,73038307,73038044.0
73035708,QUAD,73038043,73038250,73038299,73038047.0
73035709,QUAD,73038049,73038045,73038043,73038047.0
73035710,QUAD,73038046,73038051,73038286,73038290.0
73035711,QUAD,73038044,73038307,73038254,73038262.0
73035712,QUAD,73038045,73038049,73038052,73038046.0
73035713,QUAD,73038047,73038299,73038332,73038053.0
73035714,QUAD,73038051,73038054,73038283,73038286.0
73035715,TRIA,73038047,73038053,73038049,
73035716,QUAD,73038051,73038046,73038052,73038055.0
73035717,QUAD,73038049,73038053,73038056,73038052.0
73035718,QUAD,73038058,73038272,73038283,73038054.0
73035719,QUAD,73038054,73038051,73038055,73038059.0
73035720,QUAD,73038332,73038317,73038057,73038053.0
73035721,QUAD,73038060,73038055,73038052,73038056.0
73035722,QUAD,73038057,73038278,73038056,73038053.0
73035723,QUAD,73038272,73038058,73038333,73038261.0
73035724,QUAD,73038061,73038058,73038054,73038059.0
73035725,QUAD,73038055,73038060,73038063,73038059.0
73035726,QUAD,73038057,73038317,73038244,73038255.0
73035727,QUAD,73038062,73038060,73038056,73038278.0
73035728,QUAD,73038278,73038057,73038255,73038234.0
73035729,QUAD,73038058,73038061,73038266,73038333.0
73035730,QUAD,73038294,73038062,73038278,73038234.0
73035733,QUAD,73038065,73038061,73038059,73038063.0
73035734,QUAD,73038060,73038062,73038064,73038063.0
73035735,QUAD,73038066,73038294,73038234,73038274.0
73035736,QUAD,73038064,73038062,73038294,73038067.0
73035737,QUAD,73038061,73038065,73038326,73038266.0
73035738,QUAD,73038068,73038065,73038063,73038064.0
73035739,QUAD,73038274,73038267,73038230,73038066.0
73035740,QUAD,73038294,73038066,73038069,73038067.0
73035741,QUAD,73038065,73038068,73038334,73038326.0
73035742,QUAD,73038257,73038068,73038064,73038067.0
73035743,QUAD,73038066,73038230,73038297,73038069.0
73035744,QUAD,73038069,73038232,73038257,73038067.0
73035746,QUAD,73038068,73038257,73038246,73038334.0
73035747,QUAD,73038298,73038070,73038232,73038069.0
73035749,QUAD,73038232,73038070,73038280,73038279.0
73035750,TRIA,73038070,73038298,73038084,
73035751,QUAD,73038084,73038240,73038280,73038070.0
73035752,TRIA,73038240,73038084,73038335,
73035753,TRIA,73038083,73038276,73038318,
73035754,QUAD,73038011,73038016,73038014,73038073.0
73035755,QUAD,73038241,73038212,73038213,73038242.0
73035756,QUAD,73038034,73038077,73038076,73038088.0
73035757,QUAD,73038030,73038078,73038077,73038034.0
73035758,QUAD,73038250,73038043,73038071,73038330.0
73035759,QUAD,73038089,73038025,73038074,73038309.0
73035760,QUAD,73038010,73038309,73038074,73038020.0
73035761,QUAD,73038025,73038079,73038078,73038030.0
73035762,TRIA,73038089,73038311,73038022,
73035763,QUAD,73038020,73038074,73038023,73038087.0
73035764,QUAD,73038087,73038284,73038086,73038017.0
73035765,TRIA,73038081,73038072,73038236,
73035766,TRIA,73038069,73038297,73038298,
73035767,QUAD,73038237,73038009,73038085,73038026.0
73035768,TRIA,73038017,73038086,73038013,
73035769,QUAD,73038086,73038284,73038277,73038247.0
73035770,QUAD,73038009,73038007,73038320,73038270.0
73035771,QUAD,73038222,73038321,73038277,73038284.0
73035772,QUAD,73038214,73038222,73038284,73038215.0
73035773,QUAD,73038315,73038223,73038234,73038278.0
73035774,QUAD,73038213,73038210,73038211,73038212.0
73035809,QUAD,73038218,73038265,73038268,73038219.0
73035812,QUAD,73038273,73038314,73038223,73038225.0
73035819,QUAD,73038314,73038274,73038234,73038223.0
73035860,QUAD,73038226,73038311,73038300,73038227.0
73035861,QUAD,73038253,73038225,73038223,73038243.0
73035862,QUAD,73038243,73038223,73038234,73038255.0
73035863,QUAD,73038231,73038227,73038300,73038306.0
73035864,QUAD,73038227,73038235,73038309,73038300.0
73035865,QUAD,73038229,73038224,73038227,73038233.0
73035866,QUAD,73038319,73038270,73038320,73038328.0
73035867,QUAD,73038226,73038227,73038224,73038285.0
73035868,TRIA,73038147,73038139,73038209,
73035869,TRIA,73038093,73038208,73038136,
73035870,QUAD,73038239,73038242,73038241,73038259.0
73035871,QUAD,73038255,73038244,73038267,73038274.0
73035872,QUAD,73038139,73038136,73038208,73038209.0
73035873,QUAD,73038227,73038231,73038282,73038224.0
73035874,QUAD,73038328,73038320,73038249,73038329.0
73035875,QUAD,73038291,73038301,73038270,73038320.0
73035876,TRIA,73038274,73038234,73038255,
73035877,QUAD,73038281,73038215,73038214,73038258.0
73035878,QUAD,73038228,73038235,73038227,73038224.0
73035879,QUAD,73038300,73038304,73038233,73038227.0
73035880,QUAD,73038263,73038260,73038213,73038212.0
73035881,QUAD,73038292,73038291,73038320,73038249.0
73035882,QUAD,73038325,73038254,73038307,73038316.0
73035883,QUAD,73038264,73038296,73038295,73038313.0
73035884,QUAD,73038313,73038298,73038297,73038264.0
73035885,QUAD,73038301,73038291,73038310,73038302.0
73035886,QUAD,73038219,73038220,73038221,73038218.0
73035887,TRIA,73038218,73038221,73038265,
73035888,QUAD,73038316,73038307,73038322,73038323.0
73035889,QUAD,73038310,73038291,73038292,73038290.0
73035890,QUAD,73038302,73038310,73038324,73038305.0
73035891,QUAD,73038322,73038305,73038324,73038323.0
73035892,QUAD,73038290,73038286,73038324,73038310.0
73035893,TRIA,73038212,73038211,73038263,
73035894,TRIA,73038214,73038217,73038258,
73035895,QUAD,73038217,73038214,73038215,73038216.0
73035896,QUAD,73038323,73038283,73038272,73038316.0
73035897,QUAD,73038316,73038272,73038261,73038325.0
73035898,TRIA,73038213,73038260,73038210,
73035899,TRIA,73038215,73038281,73038216,
73035900,TRIA,73038219,73038268,73038220,
73035901,QUAD,73038251,73038245,73038238,73038237.0
73035902,QUAD,73038286,73038283,73038323,73038324.0
73035903,QUAD,73038246,73038257,73038232,73038279.0
73035904,QUAD,73038093,73038136,73038139,73038147.0
73035905,QUAD,73038331,73038269,73038319,73038328.0
73035906,QUAD,73038248,73038331,73038328,73038329.0
73035907,QUAD,73038293,73038252,73038223,73038225.0
73035908,QUAD,73038252,73038294,73038234,73038223.0
