N,X,Y,Z
1,915.6067,-753.919,652.4803
2,898.4482805400403,-748.086612615297,639.9398123091361
3,835.4615338146135,-741.1269394214044,655.1333410730631
4,847.1387050384067,-745.8372712227969,643.5509989574617
5,891.8727800194987,-756.103106043011,639.2995620097192
6,854.6274474697665,-744.2449855530442,654.122329122203
7,837.8855062836757,-742.5492522606124,651.96089775327
8,850.2697756911001,-745.5563374106656,646.6382949089202
9,910.1416210168363,-747.3473961837659,642.1439516759134
10,929.1261629257777,-742.3621582135407,666.8923568399929
12,853.6951048535603,-745.3392997981546,649.2779121277295
13,883.1952257033636,-748.4097152291025,639.7618018239625
14,856.9794282202183,-745.1743590896999,651.4741782269003
15,883.2686399299928,-746.0777022995476,655.4897938626116
16,860.2647480250941,-744.9721189188348,653.6541976212951
17,883.1629365127117,-748.729662511896,628.2439615808108
18,872.8040790227953,-751.3201509464534,629.478363939664
19,887.8382658875162,-756.201163525868,629.215662390277
20,896.0835950826463,-746.6973193445526,652.9945586955224
21,887.5981189518752,-757.193510826557,629.69039347233
22,863.5310889559652,-744.4717864255798,656.751711566473
23,888.6387893718955,-747.4459886720604,648.5372841474153
25,887.8058,-752.204,631.6403
26,868.8565039787366,-745.0073189920845,656.5218836132777
27,877.4753132873587,-748.7125313925541,633.45803951274
28,873.8176592072779,-745.0624633362739,657.7039775091645
29,858.0821254475943,-744.1771025824158,655.8004594636275
30,878.217262199898,-745.1000969281858,658.6412268324272
31,881.7355963856386,-743.6046838143004,663.3110133311781
32,875.8586282266924,-748.7835153815671,626.0758129189512
33,851.4621668993045,-741.1981963197716,662.5448364487015
34,882.4720256068267,-745.1115795729146,659.4351489837018
35,856.3096937076575,-746.1524048862573,646.7827475168688
36,886.6945511189343,-745.0991866669158,660.1286597193757
37,915.2550727012186,-743.6217060382758,665.3625851902729
38,927.4061711491835,-741.5701157266521,670.4551274093893
39,879.4847911321614,-748.4951772932742,638.3718566216029
40,871.2436025292741,-748.7202399869989,623.1069044855435
41,872.293307409394,-742.471025317486,666.0062768896206
42,893.6334503157661,-757.3176680940511,633.3061044691502
43,856.4881050211503,-747.8842156464498,634.8866207489407
44,890.9293968709052,-745.0562340522367,660.7745956244021
45,862.4721918440473,-745.8442195227353,650.8871494155251
47,884.1750645303397,-748.6349232404808,624.658662980086
48,896.977796243092,-747.7231256666738,645.3869759344828
49,838.5687740363696,-739.8936035878219,660.3152286330522
50,911.6162477604563,-743.9211325631497,664.6397884861655
51,890.2267559019529,-754.6177424310246,631.5956464230053
52,851.2107125663116,-744.3782231950773,652.1225839114998
53,892.0809267920292,-748.4444319722132,626.9612184473363
54,889.3537588844325,-747.8945402302531,644.979330235106
55,916.7921287591965,-746.3680159239467,648.934197664211
56,917.9568607850119,-748.9145977713018,655.0365605359989
57,876.6856078066754,-742.5969908242445,666.7172525065912
58,911.3304856773051,-749.6314876820487,654.5781765662355
59,879.186570301413,-746.0921880797833,654.6688328136194
60,899.5216933470084,-747.2613119723562,648.6631052333897
61,867.8692453920884,-746.4368028966312,650.0080026088465
62,885.7350803488345,-748.0016976246711,644.2723473220433
65,875.9215919761198,-748.6979448057182,622.8052369713915
66,927.4028985070161,-740.4100630663584,674.4676583204391
67,847.9699108150206,-742.0841436374676,658.3517980114275
68,900.8224470076916,-745.8022480685988,657.4900029330389
69,863.5408850987911,-750.6686464116643,642.5519882005656
70,843.1017991208938,-743.4873219307495,651.4685119285058
71,864.8951881462752,-747.896558887898,639.7708849068329
72,877.3951839557034,-743.9316647438683,662.6897398421188
73,898.7649283360585,-743.728846664455,666.1650863400487
74,847.0783072440929,-744.4786627240636,649.6930386125618
75,856.6911790830005,-750.6965643998769,641.9962884884734
76,895.9300025293517,-750.9182457078484,633.3194608993251
77,903.7624353381332,-744.4853400234921,663.2227730079171
78,861.6292537763263,-746.7491163846365,646.0697154222817
79,901.2822615976659,-748.0333282731406,638.0532113497203
80,917.2928721476771,-744.9194245279191,667.6202181548405
81,892.9126647384913,-747.7863392042107,645.3947107253997
82,889.4194117483353,-748.6109806477365,634.4902736128337
83,888.4396750311955,-752.3587934931006,638.2569265249816
84,875.9328335233677,-748.5569407867499,636.7820281980952
85,887.1892828056662,-755.672606149448,629.9705455920581
86,886.2087059836749,-754.5790935530139,629.9733122224419
87,900.6122346336449,-747.767173212132,643.4437904189044
88,913.8461886100035,-749.346070208155,657.6742564128494
89,890.8104983958902,-757.6819247389683,631.231745491088
90,909.9462642060282,-741.956308479818,671.9219027738491
91,891.1996614983258,-755.7094840245675,630.0149307487286
92,845.8348205414723,-743.3042658092039,653.4798368115669
93,899.6421717422867,-744.8026862202548,662.0912972765682
94,879.4416455683298,-748.7658350764088,626.9833185128936
95,924.4021052852423,-747.232615877431,663.8939050036718
96,895.856155204924,-748.318225897953,636.6191900038016
97,924.8490950689358,-750.7672420937279,664.2892180390486
98,925.0040210200469,-744.2055568942172,659.721754026477
99,913.5973151034088,-746.886031946777,645.6480778479425
100,885.7480846046832,-748.6836627642098,633.083321012206
102,887.3805345378404,-746.053673469533,656.1728470479563
103,895.2456743291813,-744.9525597079415,661.3833861527648
104,886.0243978349827,-743.5820167417895,663.9508528535805
105,885.4093809808686,-742.0805813127631,667.710856921286
106,859.343458623004,-746.0155472786101,648.8108806574943
107,900.5022667316726,-746.6662988404327,652.7798096760491
108,890.2437956301321,-743.7039642071421,664.7216199766832
110,894.5114729176751,-743.8538393519369,665.4577568723163
111,923.4089394390777,-744.7665411386741,657.1570494922937
112,859.8858722203031,-748.3120481434006,631.6951366298963
113,895.9513522625299,-747.2720886398046,649.1962836762058
114,920.4601378207615,-744.6702032388489,659.1923202787823
