M,type,N1,N2,N3,N4
1,TRIA,36,25,13438,
2,QUAD,116,13472,13478,108.0
3,QUAD,13465,33,5,13428.0
4,TRIA,10816,7,10534,
5,QUAD,119,5,33,35.0
6,QUAD,13447,90,10816,13446.0
7,QUAD,100,13385,13386,114.0
8,QUAD,13404,26,54,61.0
9,QUAD,13387,58,9,13389.0
10,QUAD,13706,28,30,13711.0
11,QUAD,92,123,115,109.0
12,QUAD,107,43,41,97.0
13,QUAD,1325,100,114,1321.0
14,TRIA,45,13421,13422,
15,QUAD,31,22,13715,13719.0
16,QUAD,23,149,33,1.0
18,QUAD,10,13715,2,13443.0
19,QUAD,13715,22,18,2.0
22,TRIA,128,13471,6,
23,QUAD,32,21,13466,38.0
24,TRIA,13466,13453,38,
27,QUAD,74,44,13413,57.0
28,QUAD,104,74,56,20.0
30,TRIA,52,48,68,
31,QUAD,79,91,20,56.0
32,QUAD,149,23,19,13458.0
34,QUAD,139,14,76,133.0
36,TRIA,58,104,1325,
37,QUAD,104,58,13387,81.0
38,QUAD,141,14,31,24.0
39,QUAD,110,1325,1321,112.0
40,QUAD,6,13471,50,12999.0
41,QUAD,13470,50,53,13469.0
42,QUAD,50,13471,13468,53.0
43,QUAD,13470,29,12999,50.0
44,TRIA,59,65,13,
45,TRIA,13531,13457,47,
46,QUAD,52,68,65,59.0
47,TRIA,13474,13531,47,
48,QUAD,13531,13474,13411,13457.0
49,TRIA,13411,13474,47,
50,QUAD,13409,61,96,98.0
51,QUAD,13413,13417,55,57.0
52,QUAD,13698,80,77,13399.0
53,TRIA,13409,13404,61,
54,QUAD,81,44,74,104.0
55,QUAD,13531,63,55,13.0
56,QUAD,63,67,57,55.0
57,QUAD,96,61,59,13.0
58,QUAD,13541,54,26,13405.0
59,TRIA,135,102,141,
60,QUAD,13531,13,65,13474.0
61,QUAD,67,56,74,57.0
62,QUAD,52,59,61,54.0
63,QUAD,13474,69,63,13531.0
64,QUAD,52,54,4108,48.0
65,QUAD,69,73,67,63.0
66,QUAD,4108,13541,13540,75.0
67,QUAD,13693,82,80,13698.0
68,QUAD,56,67,73,79.0
69,QUAD,36,13434,13439,25.0
70,QUAD,48,4108,75,83.0
71,QUAD,13467,13540,13408,13424.0
72,QUAD,71,85,73,69.0
73,TRIA,87,13476,13460,
74,QUAD,75,13540,13467,89.0
75,QUAD,91,93,1321,20.0
77,QUAD,83,66,68,48.0
78,QUAD,41,79,73,85.0
79,QUAD,89,99,83,75.0
80,QUAD,13391,13398,13476,87.0
81,QUAD,101,85,71,95.0
83,TRIA,103,89,13467,
84,QUAD,13467,13424,13423,103.0
85,QUAD,105,93,91,43.0
86,QUAD,79,41,43,91.0
87,QUAD,99,62,66,83.0
88,QUAD,97,41,85,101.0
89,QUAD,89,103,113,99.0
91,QUAD,93,105,53,13469.0
92,QUAD,95,109,115,101.0
93,QUAD,117,105,43,107.0
94,QUAD,97,111,118,107.0
95,QUAD,45,103,13423,13421.0
96,QUAD,64,92,109,62.0
97,QUAD,111,97,101,115.0
98,QUAD,13468,53,105,117.0
100,QUAD,13393,106,13469,53.0
101,QUAD,107,118,125,117.0
102,QUAD,123,127,111,115.0
103,QUAD,13719,72,24,31.0
104,QUAD,13679,13685,125,118.0
105,QUAD,13464,4,32,38.0
106,QUAD,92,64,94,124.0
107,QUAD,53,13468,13401,13393.0
108,QUAD,45,13422,13473,13515.0
109,QUAD,127,13679,118,111.0
110,QUAD,76,102,126,46.0
