M,type,N1,N2,N3
1,TRIA,1,2,3
2,TRIA,4,5,6
3,TRIA,7,8,9
4,TRIA,7,9,4
5,TRIA,9,10,4
6,TRIA,10,11,4
7,TRIA,10,12,13
8,TRIA,10,13,14
9,TRIA,15,16,17
10,TRIA,15,17,18
11,TRIA,19,20,21
12,TRIA,21,22,23
13,TRIA,24,25,26
14,TRIA,25,27,26
15,TRIA,24,28,29
16,TRIA,30,31,32
17,TRIA,33,15,34
18,TRIA,15,35,34
19,TRIA,36,33,34
20,TRIA,37,36,34
21,TRIA,9,38,39
22,TRIA,40,9,39
23,TRIA,40,41,9
24,TRIA,42,43,44
25,TRIA,42,44,45
26,TRIA,46,44,43
27,TRIA,19,46,43
28,TRIA,20,19,43
29,TRIA,47,48,42
30,TRIA,45,47,42
31,TRIA,21,20,22
32,TRIA,38,23,22
33,TRIA,49,13,50
34,TRIA,13,51,50
35,TRIA,51,40,50
36,TRIA,47,52,48
37,TRIA,53,54,55
38,TRIA,56,53,55
39,TRIA,57,56,55
40,TRIA,58,57,55
41,TRIA,56,57,59
42,TRIA,60,57,58
43,TRIA,61,62,63
44,TRIA,64,65,63
45,TRIA,66,64,63
46,TRIA,62,66,63
47,TRIA,67,68,69
48,TRIA,15,67,69
49,TRIA,35,15,69
50,TRIA,70,57,60
51,TRIA,71,70,60
52,TRIA,72,61,60
53,TRIA,61,71,60
54,TRIA,62,61,72
55,TRIA,68,62,72
56,TRIA,56,59,73
57,TRIA,74,75,70
58,TRIA,71,74,70
59,TRIA,75,76,59
60,TRIA,76,73,59
61,TRIA,77,76,75
62,TRIA,78,77,75
63,TRIA,75,65,79
64,TRIA,74,65,75
65,TRIA,15,18,67
66,TRIA,18,80,81
67,TRIA,17,80,18
68,TRIA,66,67,18
69,TRIA,62,68,67
70,TRIA,66,62,67
71,TRIA,82,79,65
72,TRIA,64,82,65
73,TRIA,75,79,78
74,TRIA,76,77,83
75,TRIA,16,15,33
76,TRIA,37,84,36
77,TRIA,37,34,52
78,TRIA,85,86,46
79,TRIA,86,44,46
80,TRIA,12,10,87
81,TRIA,9,41,87
82,TRIA,10,9,87
83,TRIA,76,83,88
84,TRIA,64,89,90
85,TRIA,89,91,90
86,TRIA,82,64,90
87,TRIA,92,93,94
88,TRIA,66,89,64
89,TRIA,18,81,66
90,TRIA,81,89,66
91,TRIA,92,88,83
92,TRIA,16,84,17
93,TRIA,84,95,17
94,TRIA,95,80,17
95,TRIA,37,11,84
96,TRIA,11,95,84
97,TRIA,96,37,47
98,TRIA,96,47,97
99,TRIA,96,11,37
100,TRIA,52,47,37
101,TRIA,45,98,47
102,TRIA,98,99,47
103,TRIA,99,97,47
104,TRIA,100,101,102
105,TRIA,23,38,103
106,TRIA,38,104,103
107,TRIA,105,103,104
108,TRIA,105,104,106
109,TRIA,85,107,86
110,TRIA,108,109,102
111,TRIA,100,102,109
112,TRIA,110,111,102
113,TRIA,101,110,102
114,TRIA,4,112,109
115,TRIA,4,109,113
116,TRIA,113,109,108
117,TRIA,4,6,1
118,TRIA,4,114,5
119,TRIA,1,3,4
120,TRIA,4,113,115
121,TRIA,114,4,115
122,TRIA,116,117,97
123,TRIA,116,97,99
124,TRIA,116,118,117
125,TRIA,4,119,112
126,TRIA,4,11,119
127,TRIA,11,96,119
128,TRIA,106,120,105
129,TRIA,121,3,2
130,TRIA,122,123,38
131,TRIA,9,122,38
132,TRIA,123,104,38
133,TRIA,124,125,126
134,TRIA,124,127,128
135,TRIA,124,128,125
136,TRIA,9,127,122
137,TRIA,129,4,3
138,TRIA,7,4,129
139,TRIA,9,8,128
140,TRIA,127,9,128
141,TRIA,130,11,10
142,TRIA,130,95,11
143,TRIA,92,94,88
144,TRIA,131,132,133
145,TRIA,133,134,135
146,TRIA,132,89,133
147,TRIA,89,136,133
148,TRIA,133,135,131
149,TRIA,135,134,93
150,TRIA,134,94,93
151,TRIA,91,89,132
152,TRIA,80,137,138
153,TRIA,95,137,80
154,TRIA,81,139,89
155,TRIA,139,136,89
156,TRIA,138,139,81
157,TRIA,80,138,81
158,TRIA,137,140,138
159,TRIA,140,139,138
160,TRIA,10,14,130
161,TRIA,12,51,13
162,TRIA,49,14,13
163,TRIA,14,141,142
164,TRIA,143,141,14
165,TRIA,49,143,14
166,TRIA,144,130,14
167,TRIA,51,41,40
168,TRIA,144,137,130
169,TRIA,137,95,130
170,TRIA,144,140,137
171,TRIA,14,142,144
172,TRIA,144,142,29
173,TRIA,143,145,141
174,TRIA,146,31,30
175,TRIA,147,146,30
176,TRIA,147,148,146
177,TRIA,149,31,146
178,TRIA,150,148,147
179,TRIA,151,25,152
180,TRIA,25,150,152
181,TRIA,148,150,29
182,TRIA,29,153,154
183,TRIA,25,29,150
184,TRIA,154,155,149
185,TRIA,155,31,149
186,TRIA,29,154,148
187,TRIA,156,27,151
188,TRIA,27,25,151
189,TRIA,157,156,151
190,TRIA,157,158,156
191,TRIA,159,158,157
192,TRIA,145,160,142
193,TRIA,141,145,142
194,TRIA,160,161,142
195,TRIA,161,29,142
196,TRIA,144,29,140
197,TRIA,140,162,163
198,TRIA,164,140,163
199,TRIA,29,28,162
200,TRIA,140,29,162
201,TRIA,159,165,158
202,TRIA,165,159,139
203,TRIA,165,139,166
204,TRIA,140,164,167
205,TRIA,139,140,167
206,TRIA,166,139,167
207,TRIA,168,139,159
208,TRIA,169,139,168
209,TRIA,155,154,170
210,TRIA,154,171,170
211,TRIA,170,171,160
212,TRIA,172,160,145
213,TRIA,170,160,172
214,TRIA,154,153,171
215,TRIA,29,161,153
216,TRIA,24,29,25
217,TRIA,136,139,169
218,TRIA,173,73,174
219,TRIA,73,76,174
220,TRIA,173,174,175
221,TRIA,176,177,178
222,TRIA,177,179,178
223,TRIA,178,30,176
224,TRIA,30,32,176
225,TRIA,174,88,180
226,TRIA,88,94,180
227,TRIA,174,180,181
228,TRIA,180,134,182
229,TRIA,134,133,182
230,TRIA,180,182,183
231,TRIA,136,169,184
232,TRIA,136,184,182
233,TRIA,182,184,185
234,TRIA,168,159,186
235,TRIA,168,186,184
236,TRIA,184,186,187
237,TRIA,157,151,188
238,TRIA,157,188,186
239,TRIA,186,188,189
240,TRIA,152,150,178
241,TRIA,152,178,188
242,TRIA,178,190,188
243,TRIA,190,191,188
244,TRIA,180,183,192
245,TRIA,182,193,183
246,TRIA,73,173,56
247,TRIA,173,175,194
248,TRIA,88,174,76
249,TRIA,173,194,195
250,TRIA,178,150,147
251,TRIA,178,179,190
252,TRIA,178,147,30
253,TRIA,189,188,191
254,TRIA,196,175,174
255,TRIA,174,181,196
256,TRIA,180,192,181
257,TRIA,94,134,180
258,TRIA,182,133,136
259,TRIA,182,185,193
260,TRIA,168,184,169
261,TRIA,184,187,197
262,TRIA,185,184,197
263,TRIA,187,186,198
264,TRIA,186,159,157
265,TRIA,152,188,151
266,TRIA,186,189,198
267,TRIA,173,53,56
268,TRIA,199,53,173
269,TRIA,195,199,173
270,TRIA,199,200,54
271,TRIA,201,200,199
272,TRIA,199,54,53
273,TRIA,202,200,201
274,TRIA,203,202,201
275,TRIA,202,55,54
276,TRIA,200,202,54
277,TRIA,202,204,55
278,TRIA,203,204,202
279,TRIA,205,206,207
280,TRIA,69,206,205
281,TRIA,35,69,205
282,TRIA,208,206,69
283,TRIA,208,69,68
284,TRIA,209,210,58
285,TRIA,209,211,210
286,TRIA,210,60,58
287,TRIA,55,209,58
288,TRIA,72,212,68
289,TRIA,212,208,68
290,TRIA,60,213,72
291,TRIA,213,212,72
292,TRIA,210,213,60
293,TRIA,210,214,213
294,TRIA,203,209,204
295,TRIA,209,55,204
296,TRIA,211,209,203
297,TRIA,212,213,215
298,TRIA,213,214,215
299,TRIA,208,212,215
300,TRIA,210,211,214
301,TRIA,216,217,52
302,TRIA,52,217,48
303,TRIA,217,218,48
304,TRIA,48,219,42
305,TRIA,219,220,221
306,TRIA,222,221,223
307,TRIA,42,221,222
308,TRIA,43,42,222
309,TRIA,219,221,42
310,TRIA,224,216,52
311,TRIA,34,224,52
312,TRIA,218,219,48
313,TRIA,218,220,219
314,TRIA,225,226,207
315,TRIA,226,205,207
316,TRIA,226,224,34
317,TRIA,226,225,224
318,TRIA,216,224,225
319,TRIA,35,205,226
320,TRIA,34,35,226
321,TRIA,216,220,218
322,TRIA,216,218,217
323,TRIA,227,228,229
324,TRIA,230,227,229
325,TRIA,22,230,229
326,TRIA,20,43,222
327,TRIA,230,20,222
328,TRIA,223,230,222
329,TRIA,230,22,20
330,TRIA,230,223,227
331,TRIA,231,22,229
332,TRIA,228,231,229
333,TRIA,50,40,232
334,TRIA,50,232,233
335,TRIA,234,235,233
336,TRIA,232,234,233
337,TRIA,40,39,236
338,TRIA,237,234,232
339,TRIA,236,237,232
340,TRIA,40,236,232
341,TRIA,39,38,238
342,TRIA,231,228,239
343,TRIA,238,231,239
344,TRIA,239,237,236
345,TRIA,239,236,238
346,TRIA,238,38,231
347,TRIA,38,22,231
348,TRIA,39,238,236
349,TRIA,143,240,145
350,TRIA,241,240,143
351,TRIA,241,242,240
352,TRIA,49,241,143
353,TRIA,233,243,241
354,TRIA,49,50,233
355,TRIA,235,243,233
356,TRIA,233,241,49
357,TRIA,242,241,243
358,TRIA,244,240,242
359,TRIA,245,246,170
360,TRIA,172,245,170
361,TRIA,245,172,240
362,TRIA,172,145,240
363,TRIA,245,240,244
364,TRIA,245,244,247
365,TRIA,247,248,246
366,TRIA,247,246,245
367,TRIA,249,250,251
368,TRIA,249,251,31
369,TRIA,249,252,250
370,TRIA,250,253,254
371,TRIA,250,254,251
372,TRIA,32,251,254
373,TRIA,32,31,251
374,TRIA,155,249,31
375,TRIA,255,252,249
376,TRIA,255,249,155
377,TRIA,170,255,155
378,TRIA,248,252,255
379,TRIA,246,248,255
380,TRIA,170,246,255
381,TRIA,97,256,257
382,TRIA,97,257,96
383,TRIA,96,257,258
384,TRIA,96,258,119
385,TRIA,119,259,112
386,TRIA,112,259,260
387,TRIA,119,258,259
388,TRIA,112,260,109
389,TRIA,261,260,262
390,TRIA,263,260,261
391,TRIA,264,265,261
392,TRIA,264,266,265
393,TRIA,266,267,265
394,TRIA,109,260,263
395,TRIA,261,262,264
396,TRIA,109,263,100
397,TRIA,101,263,268
398,TRIA,101,100,263
399,TRIA,101,268,110
400,TRIA,268,269,110
401,TRIA,110,269,111
402,TRIA,111,269,270
403,TRIA,102,271,272
404,TRIA,102,272,108
405,TRIA,108,272,273
406,TRIA,108,273,113
407,TRIA,113,273,274
408,TRIA,113,274,115
409,TRIA,115,274,275
410,TRIA,114,115,275
411,TRIA,276,114,275
412,TRIA,276,5,114
413,TRIA,1,277,278
414,TRIA,1,6,277
415,TRIA,1,278,2
