M,type,N1,N2,N3,N4
195,QUAD,13460,13622,9,110.0
196,QUAD,110,264,87,13460.0
197,TRIA,12997,108,13478,
198,QUAD,1321,241,341,271.0
199,QUAD,86,88,193,212.0
200,QUAD,35,41,13737,244.0
201,QUAD,227,241,105,258.0
202,TRIA,13470,50,78,
203,QUAD,64,13540,298,75.0
204,QUAD,166,143,13473,165.0
205,QUAD,275,138,102,289.0
206,QUAD,318,197,46,322.0
207,QUAD,46,13515,13473,143.0
208,QUAD,95,179,188,189.0
209,QUAD,11,17,16,211.0
210,QUAD,179,71,187,188.0
211,QUAD,258,105,263,331.0
212,QUAD,122,114,217,218.0
213,QUAD,164,191,237,94.0
214,QUAD,318,142,164,94.0
215,QUAD,222,130,147,221.0
216,QUAD,57,208,96,55.0
217,TRIA,13466,32,321,
218,TRIA,172,13467,171,
219,QUAD,197,318,94,153.0
220,QUAD,148,197,153,313.0
221,QUAD,154,13421,112,132.0
222,QUAD,208,207,308,260.0
223,QUAD,156,278,279,117.0
224,QUAD,332,10819,172,13478.0
225,QUAD,104,149,248,170.0
226,QUAD,202,159,35,201.0
227,QUAD,41,35,159,15.0
228,TRIA,117,184,60,
229,QUAD,258,13469,203,227.0
230,QUAD,311,81,163,310.0
231,QUAD,236,20,79,239.0
232,QUAD,305,134,107,306.0
233,QUAD,140,166,165,13422.0
234,QUAD,103,22,247,256.0
235,QUAD,103,256,192,98.0
236,QUAD,13468,326,176,177.0
237,QUAD,68,178,188,187.0
238,QUAD,71,179,180,85.0
239,QUAD,85,180,181,27.0
240,QUAD,181,97,183,169.0
242,QUAD,324,269,168,195.0
243,QUAD,269,338,339,168.0
244,QUAD,162,205,234,235.0
245,QUAD,246,162,235,236.0
246,QUAD,257,22,103,255.0
247,QUAD,288,252,254,287.0
248,TRIA,121,114,13622,
249,QUAD,56,25,1,13434.0
250,QUAD,13472,91,243,12226.0
251,QUAD,159,202,251,33.0
252,QUAD,13419,192,256,144.0
253,QUAD,37,209,196,13465.0
254,QUAD,297,262,296,125.0
255,QUAD,246,228,245,162.0
256,QUAD,261,13429,34,198.0
258,QUAD,13398,13395,216,214.0
259,QUAD,13398,214,213,13391.0
260,QUAD,225,226,76,219.0
261,QUAD,201,35,10816,283.0
262,QUAD,158,202,201,119.0
263,QUAD,10534,315,25,194.0
264,QUAD,343,213,87,342.0
265,QUAD,213,343,344,13391.0
266,QUAD,44,308,309,233.0
267,QUAD,245,206,205,162.0
268,QUAD,38,209,210,13464.0
269,QUAD,74,207,208,57.0
270,QUAD,13395,157,217,216.0
271,QUAD,157,13394,218,217.0
272,QUAD,145,167,222,221.0
273,QUAD,167,24,223,222.0
274,QUAD,24,31,224,223.0
275,QUAD,31,250,247,224.0
276,TRIA,49,13475,13462,
