M,type,N1,N2,N3,N4
2,QUAD,13467,13540,13472,13478.0
3,QUAD,13465,33,5,13428.0
4,TRIA,10816,7,10534,
5,QUAD,5,33,35,27.0
6,QUAD,13447,10534,10816,13446.0
7,QUAD,1321,1325,13385,13386.0
8,QUAD,13404,70,54,61.0
9,QUAD,13387,58,9,13389.0
10,QUAD,13706,28,30,13711.0
12,QUAD,107,43,41,97.0
14,TRIA,45,13421,13422,
15,QUAD,31,22,13715,13719.0
16,QUAD,23,149,33,1.0
17,TRIA,13449,21,13466,
18,QUAD,10,13715,2,13443.0
19,QUAD,13715,22,18,2.0
20,TRIA,10819,13467,13478,
21,QUAD,13382,3,13470,50.0
22,QUAD,13471,8,13382,50.0
23,QUAD,38,13451,13449,13466.0
24,QUAD,13453,38,13466,21.0
25,QUAD,29,12999,50,13470.0
26,QUAD,50,12999,6,13471.0
27,QUAD,74,44,13413,57.0
28,QUAD,74,56,20,13599.0
29,TRIA,70,26,54,
30,QUAD,48,68,65,52.0
31,QUAD,79,91,20,56.0
32,QUAD,149,23,19,13458.0
33,TRIA,60,125,13691,
34,QUAD,139,14,76,133.0
35,TRIA,6,8,13471,
36,TRIA,58,13599,1325,
37,QUAD,13599,58,13387,13415.0
38,QUAD,141,14,31,24.0
39,QUAD,15,13460,1325,1321.0
41,QUAD,13470,50,53,13469.0
42,QUAD,50,13471,13468,53.0
43,TRIA,3,29,13470,
45,TRIA,13531,13457,47,
47,TRIA,13474,13531,47,
48,QUAD,13531,13474,13411,13457.0
49,TRIA,13411,13474,47,
50,QUAD,13,55,13417,13409.0
51,QUAD,13413,13417,55,57.0
53,QUAD,61,13,13409,13404.0
54,QUAD,13415,44,74,13599.0
55,QUAD,13531,63,55,13.0
56,QUAD,63,67,57,55.0
57,TRIA,13,61,65,
58,QUAD,13541,54,26,13405.0
60,QUAD,13531,13,65,13474.0
61,QUAD,67,56,74,57.0
62,QUAD,52,65,61,54.0
63,QUAD,13474,69,63,13531.0
64,TRIA,4108,48,52,
65,QUAD,69,73,67,63.0
66,QUAD,4108,13541,13540,75.0
68,QUAD,56,67,73,79.0
69,QUAD,25,13437,13434,13439.0
70,QUAD,48,4108,75,83.0
71,QUAD,13467,13540,13408,13424.0
72,QUAD,71,85,73,69.0
73,QUAD,13460,15,87,13476.0
74,QUAD,75,13540,13467,89.0
75,TRIA,91,1321,20,
76,QUAD,91,93,15,1321.0
77,QUAD,83,66,68,48.0
78,QUAD,41,79,73,85.0
79,QUAD,89,99,83,75.0
80,QUAD,13391,13398,13476,87.0
81,QUAD,101,85,71,95.0
82,QUAD,13469,87,15,93.0
83,TRIA,103,89,13467,
84,QUAD,13467,13424,13423,103.0
85,QUAD,105,93,91,43.0
86,QUAD,79,41,43,91.0
87,QUAD,99,62,66,83.0
88,QUAD,97,41,85,101.0
89,QUAD,89,103,113,99.0
90,QUAD,87,13469,39,13391.0
91,QUAD,93,105,53,13469.0
92,QUAD,95,109,115,101.0
93,QUAD,117,105,43,107.0
94,QUAD,97,111,118,107.0
95,QUAD,45,103,13423,13421.0
96,QUAD,64,123,109,62.0
97,QUAD,111,97,101,115.0
98,QUAD,13468,53,105,117.0
99,QUAD,113,103,45,13515.0
100,QUAD,13393,39,13469,53.0
101,QUAD,107,118,125,117.0
102,QUAD,127,115,109,123.0
103,QUAD,13719,72,24,31.0
104,QUAD,111,13679,13685,118.0
106,QUAD,123,64,46,129.0
107,QUAD,53,13468,13401,13393.0
108,QUAD,45,13422,13473,13515.0
109,QUAD,13679,111,115,127.0
110,QUAD,46,76,135,129.0
111,QUAD,129,131,127,123.0
112,QUAD,125,118,13685,13691.0
113,QUAD,60,13402,13401,13468.0
114,QUAD,13473,13422,42,133.0
115,QUAD,13687,13679,127,131.0
117,QUAD,13402,60,13691,13403.0
118,QUAD,131,129,135,137.0
119,QUAD,13694,13687,131,137.0
120,QUAD,42,13419,139,133.0
121,QUAD,14,141,135,76.0
122,QUAD,141,40,137,135.0
123,QUAD,137,40,13701,13694.0
124,QUAD,13440,7,13475,13442.0
125,QUAD,22,139,13419,18.0
126,QUAD,14,139,22,31.0
127,QUAD,28,13706,13701,145.0
128,QUAD,34,30,28,13463.0
129,QUAD,40,141,24,145.0
130,QUAD,13463,28,145,147.0
131,QUAD,13711,30,12,13430.0
132,QUAD,72,147,145,24.0
133,TRIA,34,12,30,
134,TRIA,37,13463,147,
135,QUAD,37,13465,13428,13429.0
136,QUAD,72,13719,19,23.0
137,QUAD,13737,35,33,149.0
138,QUAD,4108,52,54,13541.0
139,TRIA,49,10820,13477,
140,TRIA,13437,25,10534,
141,QUAD,49,13477,13541,4108.0
144,TRIA,13515,13456,51,
145,QUAD,13515,13473,13455,13456.0
146,TRIA,51,13473,13515,
147,TRIA,13473,51,13455,
151,QUAD,37,13463,13464,38.0
