M,type,N1,N2,N3,N4
73062175,QUAD,73063881,73064057,73064056,73064163.0
73062176,QUAD,73064067,73064376,73064056,73064057.0
73062177,QUAD,73063872,73064280,73063877,73064257.0
73063643,TRIA,73063670,73064215,73064361,
73063644,TRIA,73063947,73063946,73063896,
73063645,TRIA,73063940,73063941,73063882,
73063646,TRIA,73063951,73063928,73063905,
73063647,TRIA,73063912,73063918,73063925,
73063648,TRIA,73063664,73063640,73063639,
73063649,TRIA,73063904,73064056,73064376,
73063650,TRIA,73063907,73063666,73063910,
73063651,TRIA,73064358,73064347,73063887,
73063652,QUAD,73063938,73063927,73063655,73063642.0
73063653,TRIA,73063644,73063646,73063637,
73063654,QUAD,73063940,73064376,73064067,73064068.0
73063655,QUAD,73063936,73063873,73063668,73063669.0
73063656,QUAD,73063943,73063921,73064342,73063905.0
73063657,QUAD,73063882,73063941,73063663,73063934.0
73063658,QUAD,73063904,73064376,73063886,73063896.0
73063659,QUAD,73063884,73063874,73063873,73063936.0
73063660,QUAD,73063671,73063915,73063946,73063947.0
73063661,QUAD,73063670,73064047,73063927,73063938.0
73063662,QUAD,73064215,73063888,73064360,73064361.0
73063663,QUAD,73063886,73063882,73063934,73063883.0
73063664,QUAD,73063893,73064358,73063887,73063944.0
73063665,QUAD,73064018,73063667,73063935,73063665.0
73063666,QUAD,73063910,73064358,73063893,73063889.0
73063667,QUAD,73063953,73063900,73063928,73063924.0
73063668,QUAD,73064258,73064074,73063897,73063898.0
73063669,QUAD,73063640,73063664,73063952,73063641.0
73063670,QUAD,73063635,73063884,73063936,73063636.0
73063671,QUAD,73063666,73063662,73064358,73063910.0
73063672,QUAD,73063952,73063925,73063642,73063641.0
73063673,QUAD,73064342,73063898,73063944,73063887.0
73063674,QUAD,73063918,73064215,73063670,73063938.0
73063675,QUAD,73063945,73063874,73063884,73063932.0
73063676,QUAD,73063873,73063900,73063953,73063668.0
73063677,QUAD,73063665,73063632,73063633,73064018.0
73063678,QUAD,73063907,73063910,73063889,73064163.0
73063679,QUAD,73063886,73063883,73064073,73063896.0
73063680,QUAD,73063634,73063932,73063884,73063635.0
73063681,QUAD,73063947,73063922,73064050,73063671.0
73063682,QUAD,73063909,73063888,73063912,73063951.0
73063683,QUAD,73063669,73063637,73063636,73063936.0
73063684,QUAD,73063945,73063932,73063665,73063935.0
73063685,QUAD,73063874,73063943,73063900,73063873.0
73063686,QUAD,73063912,73063888,73064215,73063918.0
73063687,QUAD,73063888,73063909,73063662,73064360.0
73063688,QUAD,73063909,73063951,73063905,73064347.0
73063689,QUAD,73063940,73063882,73063886,73064376.0
73063690,QUAD,73064342,73063921,73064258,73063898.0
73063691,QUAD,73063945,73063935,73064258,73063921.0
73063692,QUAD,73063906,73063881,73064163,73063889.0
73063693,QUAD,73063634,73063632,73063665,73063932.0
73063694,QUAD,73063905,73063928,73063900,73063943.0
73063695,QUAD,73064053,73063944,73063898,73063897.0
73063696,QUAD,73063666,73063915,73064360,73063662.0
73063697,QUAD,73063943,73063874,73063945,73063921.0
73063698,QUAD,73063638,73063669,73063668,73063639.0
73063699,QUAD,73063952,73063924,73063912,73063925.0
73063700,QUAD,73063928,73063951,73063912,73063924.0
73063701,QUAD,73063924,73063952,73063664,73063953.0
73063702,QUAD,73063887,73064347,73063905,73064342.0
73063703,QUAD,73063907,73064163,73064056,73063904.0
73063704,QUAD,73063904,73063896,73063946,73063907.0
73063705,QUAD,73063922,73063947,73063896,73064073.0
73063706,QUAD,73063953,73063664,73063639,73063668.0
73063707,QUAD,73063918,73063938,73063642,73063925.0
73063708,QUAD,73063667,73064074,73064258,73063935.0
73063709,QUAD,73064347,73064358,73063662,73063909.0
73063710,QUAD,73063944,73064053,73063661,73063893.0
73063711,QUAD,73064047,73063670,73064361,73064049.0
73063712,QUAD,73063915,73063671,73064361,73064360.0
73063713,QUAD,73063946,73063915,73063666,73063907.0
73063714,QUAD,73063671,73064050,73064049,73064361.0
73063715,QUAD,73063661,73063906,73063889,73063893.0
73063716,QUAD,73064068,73064069,73063941,73063940.0
73063717,QUAD,73064069,73064071,73063663,73063941.0
73063718,TRIA,73064280,73063952,73063641,
73063719,TRIA,73063877,73063642,73063925,
73063720,TRIA,73063640,73064281,73063664,
73063721,QUAD,73063640,73063641,73064280,73064281.0
73063722,QUAD,73063935,73064258,73064276,73064278.0
73063723,QUAD,73063642,73063877,73064280,73063641.0
73063724,QUAD,73064253,73064163,73064056,73064249.0
73063725,QUAD,73064281,73064280,73063872,73064282.0
73063726,TRIA,73064021,73064025,73064253,
73063727,TRIA,73063994,73063992,73064276,
73063728,TRIA,73063986,73063987,73064278,
73063729,TRIA,73064027,73064022,73064249,
73063730,QUAD,73064253,73064249,73064022,73064021.0
73063731,QUAD,73063986,73064278,73064276,73063992.0
73063732,QUAD,73064276,73064278,73063987,73063994.0
73063733,QUAD,73064027,73064249,73064253,73064025.0
73063734,QUAD,73063634,73063723,73063880,73063932.0
73063735,QUAD,73064034,73064030,73063940,73063941.0
73064070,TRIA,73063653,73063632,73063651,
73064072,QUAD,73063633,73063632,73063653,73063654.0
73064073,QUAD,73063650,73063634,73063635,73063648.0
73064074,QUAD,73063648,73063635,73063636,73063647.0
73064075,QUAD,73063637,73063646,73063647,73063636.0
73064076,QUAD,73063645,73063638,73063639,73063649.0
73064077,QUAD,73063669,73063638,73063644,73063637.0
73064078,TRIA,73063638,73063645,73063644,
73064079,QUAD,73063655,73063643,73063641,73063642.0
73064080,QUAD,73063634,73063650,73063651,73063632.0
73064081,QUAD,73063640,73063652,73063649,73063639.0
73064082,QUAD,73063652,73063640,73063641,73063643.0
