N,X,Y,Z
1,749.224221,-754.051397,771.763495
2,751.893253,-754.162095,772.169203
3,751.673941,-754.725915,774.532871
4,749.22052,-754.731393,774.637586
5,748.919508,-754.284482,772.724285
6,749.052725,-754.080657,771.885769
7,751.880042,-754.79007,774.811909
8,752.243748,-754.804123,774.868141
9,760.027102,-755.205582,776.856222
10,758.808496,-756.288465,782.432077
11,748.002348,-755.814321,780.213501
12,761.615383,-756.258526,782.367333
13,769.630049,-756.475571,784.614685
14,768.424824,-757.260357,790.218901
15,725.256224,-754.836507,781.284309
16,735.050717,-755.623145,782.238873
17,736.013675,-755.849678,783.566237
18,734.82476,-756.332733,789.192064
19,744.705907,-753.6286,770.291078
20,747.882933,-753.202915,768.568581
21,748.741395,-753.829674,770.900037
22,751.869186,-753.50415,769.64768
23,752.777763,-753.995278,771.513827
24,773.444642,-757.78578,807.713452
25,775.736831,-757.6856,809.275587
26,773.383332,-757.769348,808.112624
27,773.304412,-757.764088,808.244158
28,773.408739,-757.792196,807.56358
29,776.891022,-757.811001,803.628341
30,792.622491,-756.931204,811.78491
31,794.545008,-756.951617,807.588155
32,797.691088,-756.58405,811.909851
33,733.789915,-755.310197,780.538251
34,727.122666,-754.011789,775.225629
35,724.422594,-754.505128,779.351117
36,735.517963,-755.207885,779.281831
37,737.217858,-755.064809,777.961857
38,756.791125,-754.040646,771.804934
39,761.342741,-754.677507,774.647817
40,765.61814,-755.318391,777.893605
41,762.07963,-755.710885,779.428038
42,738.873332,-752.763346,767.483217
43,743.811608,-752.963974,767.851481
44,743.086755,-753.764033,770.943398
45,742.97227,-753.781965,771.025213
46,744.534501,-753.6572,770.413453
47,738.435622,-753.981812,772.385868
48,734.052507,-752.85696,768.41958
49,773.752096,-756.389608,784.94162
50,769.731799,-755.899617,781.353567
51,763.339628,-756.015605,781.129692
52,730.148187,-753.390181,771.354553
53,709.819585,-753.084482,807.397608
54,708.907401,-753.029959,806.692944
55,709.61577,-753.355933,804.750398
56,711.641382,-753.330064,807.654886
57,716.40225,-754.494824,802.726609
58,711.929794,-754.042733,800.467137
59,717.659987,-754.516636,804.482175
60,714.312999,-754.532468,796.194761
61,720.953151,-755.319835,796.381961
62,722.895721,-755.49872,792.550445
63,724.944511,-755.739187,796.962368
64,732.499137,-756.386414,800.479405
65,724.809537,-755.712422,797.831945
66,733.65273,-756.51184,794.83222
67,724.067558,-755.319589,786.910214
68,719.263402,-754.914727,787.709797
69,721.819432,-754.807882,783.511215
70,718.137325,-754.804708,801.43507
71,720.821758,-755.292322,797.219485
72,716.759446,-754.82327,791.939995
73,716.661549,-754.006013,808.064171
74,720.874083,-755.297251,797.26706
75,719.391663,-754.84299,803.190579
76,721.690971,-754.629496,808.441928
77,727.970475,-755.697282,805.01597
78,728.03466,-755.734585,804.615017
79,728.114825,-755.75281,804.482238
80,745.608662,-757.082161,791.443565
81,744.43644,-757.261262,797.083666
82,728.265007,-755.771403,804.44379
83,728.005412,-755.689203,805.165723
84,736.778452,-755.535995,780.980978
85,744.457726,-753.779689,770.902796
86,744.172875,-753.825701,771.107328
87,760.355577,-755.96883,780.665599
88,726.72883,-755.198595,808.792086
89,743.28272,-757.135846,802.730808
90,735.504848,-756.393242,805.509433
91,735.636202,-756.399043,805.589685
92,728.136731,-755.696791,805.245697
93,735.382898,-756.32199,806.311974
94,731.774345,-755.711445,809.11808
95,746.797836,-756.599136,785.817805
96,744.176689,-754.427843,773.647964
97,744.05298,-754.38749,773.481332
98,742.884381,-753.916404,771.581845
99,742.968012,-753.945175,771.693287
100,745.175092,-753.890621,771.300211
101,745.346668,-753.862823,771.177756
102,748.012577,-754.242781,772.587341
103,752.902979,-754.03777,771.68108
104,754.118923,-754.270557,772.622217
105,752.824279,-754.163205,772.176047
106,753.033012,-754.232606,772.455607
107,744.358948,-753.817878,771.062518
108,748.058175,-754.286733,772.76874
109,744.827173,-754.405872,773.491518
110,748.018911,-753.996287,771.580958
111,748.144266,-754.039077,771.748194
112,744.727264,-754.440852,773.654445
113,748.222032,-754.311639,772.865795
114,748.820235,-754.321819,772.883763
115,748.634223,-754.330671,772.928197
116,744.055285,-754.006979,771.856348
117,744.264322,-754.078073,772.135179
118,744.218955,-754.03361,771.953642
119,744.538975,-754.447615,773.701558
120,752.869179,-754.208517,772.357652
121,752.018663,-754.203822,772.336589
122,754.115884,-754.432671,773.282418
123,754.202465,-754.297944,772.734128
124,752.915118,-754.41467,773.197765
125,752.629549,-754.463737,773.40155
126,752.72883,-754.425411,773.241946
127,754.00193,-754.452773,773.363889
128,752.416562,-754.776376,774.743235
129,751.717836,-754.76726,774.714009
130,757.603635,-757.073244,788.036322
131,735.610648,-756.355685,806.140613
132,735.67187,-756.391299,805.73938
133,741.885246,-756.561503,809.708966
134,736.826742,-756.166296,809.422873
135,735.532083,-756.338382,806.27317
136,746.94907,-756.89552,809.978413
137,756.414188,-757.556252,793.662038
138,755.241763,-757.735356,799.302113
139,754.087906,-757.609953,804.949246
140,766.062436,-757.922483,801.484693
141,779.253973,-757.148825,792.362461
142,778.063918,-757.631876,797.988199
143,777.689746,-756.774567,788.632673
144,767.235085,-757.743373,795.844606
145,781.54878,-757.044763,792.415783
146,790.022636,-757.23194,807.916471
147,787.549948,-757.205303,811.641562
148,786.038302,-757.450678,807.260033
149,790.159664,-757.240616,807.042378
150,782.474518,-757.407355,811.481645
151,772.319164,-757.599504,811.11774
152,777.397254,-757.538401,811.306655
153,782.349397,-757.609393,801.779792
154,786.175992,-757.459688,806.390165
155,791.277068,-757.163485,803.347261
156,773.155458,-757.763631,808.281056
157,767.241217,-757.591752,810.915682
158,765.912534,-757.808248,807.144684
159,762.164347,-757.516273,810.700892
160,782.824467,-757.478829,798.786167
161,781.094282,-757.608984,800.038901
162,773.277582,-757.796687,807.482569
163,766.039292,-757.842731,806.346769
164,765.889765,-757.83996,806.383572
165,765.78145,-757.810542,807.063909
166,765.746297,-757.816777,806.914087
167,765.809884,-757.834063,806.515148
168,757.089455,-757.374242,810.473395
169,752.017414,-757.166891,810.232826
170,787.880166,-757.229002,799.204068
171,784.080404,-757.494162,800.523248
172,784.790312,-757.179796,795.73833
173,711.635011,-753.171943,807.987946
174,722.427799,-754.55963,808.832422
175,721.79734,-754.158428,808.966273
176,798.425791,-756.035475,812.488103
177,793.316012,-756.396624,812.362263
178,787.606241,-757.053127,812.005652
179,788.202023,-756.683347,812.217317
180,733.254972,-755.695237,809.551371
181,731.964449,-755.244744,809.652437
182,744.107734,-756.561232,810.175313
183,742.159392,-756.095284,810.253052
184,754.977749,-757.142468,810.725213
185,752.37582,-756.696733,810.785227
186,765.856727,-757.425764,811.212851
187,762.607003,-757.037613,811.261534
188,776.736022,-757.399485,811.641343
189,772.845962,-757.107407,811.68523
190,783.084967,-756.896644,812.054973
191,777.965936,-757.037632,811.87713
192,737.058825,-755.700374,809.962109
193,747.265319,-756.427919,810.526927
194,716.726254,-753.531379,808.582695
195,711.664514,-752.851146,808.16736
196,726.877015,-754.730173,809.321587
197,757.490004,-756.900409,811.029839
198,767.725951,-757.106994,811.480001
199,709.741927,-752.604946,807.888953
200,708.566651,-752.847755,806.710111
201,708.405591,-752.496639,806.690512
202,708.765235,-752.981162,805.623484
203,709.174622,-752.777863,804.409466
204,709.288042,-753.171088,804.541913
205,724.10488,-754.307506,779.168216
206,721.362662,-754.22108,783.257368
207,723.962508,-753.919836,779.114834
208,718.810027,-754.327432,787.438357
209,711.018874,-753.702772,801.329569
210,712.788988,-754.123805,798.123644
211,711.485631,-753.460587,800.143188
212,716.437516,-754.630965,791.741207
213,714.595985,-754.433356,794.926669
214,713.865897,-753.947442,795.888174
215,716.309304,-754.236546,791.650956
216,729.861369,-752.779358,770.948627
217,731.863609,-752.854248,769.325221
218,733.051053,-752.711935,768.549015
219,734.357841,-752.604256,767.932268
220,733.900427,-752.249809,767.991109
221,738.842863,-752.15124,767.043423
222,743.866988,-752.735592,767.526475
223,743.901286,-752.35093,767.418415
224,727.795329,-753.606887,773.665
225,726.735554,-753.413804,774.89718
226,725.929764,-753.988752,776.345165
227,748.023494,-752.591288,768.145614
228,752.058344,-752.892259,769.237359
229,751.992048,-753.278152,769.336371
